seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition
16074013,5,2,0.3,0.1,31376373,8352516,2490,5623797,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074013,10,1,0.02,0.02,70048863,15974168,36396,5016505,1,3,4,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074013,10,2,0.3,0.1,70048863,16704574,36396,5232583,0.25,1,5,3,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074014,5,1,0.02,0.02,34939784,8718670,2500,4290292,2,4,2,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074014,5,2,0.3,0.1,34939784,8139327,2500,5714660,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074014,10,1,0.02,0.02,65544822,15354670,36289,5650146,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074014,10,2,0.3,0.1,65544822,16085076,36289,6388124,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074015,5,1,0.02,0.02,36697653,9088689,2496,5004999,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074015,5,2,0.3,0.1,36697653,8509346,2496,6898252,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074015,10,1,0.02,0.02,72358247,15350071,36480,5661374,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074015,10,2,0.3,0.1,72358247,16080477,36480,6624659,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074016,5,1,0.02,0.02,33549229,9083279,2580,4351837,1,3,4,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074016,5,2,0.3,0.1,33549229,8503936,2580,6702664,0.5,2,4,3,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074016,10,1,0.02,0.02,67472858,16065023,36856,5066676,0.25,1,4,2,1,1,0,0,5,0,0,0,0,0,0,0,low-uncertainty
16074016,10,2,0.3,0.1,67472858,16795429,36856,5545901,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074017,5,1,0.02,0.02,36815429,8275668,2460,5938252,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074017,5,2,0.3,0.1,36815429,7696325,2460,5241451,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074017,10,1,0.02,0.02,73893851,16324133,36657,5977333,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074017,10,2,0.3,0.1,73893851,17054539,36657,5829195,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074018,5,1,0.02,0.02,33850305,8636858,2450,5221663,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074018,5,2,0.3,0.1,33850305,8057515,2450,5463879,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074018,10,1,0.02,0.02,67548849,16217005,36425,6680029,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074018,10,2,0.3,0.1,67548849,16947411,36425,6504117,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074019,5,1,0.02,0.02,36318436,8330255,2450,5001916,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074019,5,2,0.3,0.1,36318436,7750912,2450,4310791,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074019,10,1,0.02,0.02,71545960,15822643,36289,3960478,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074019,10,2,0.3,0.1,71545960,16553049,36289,4836914,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074020,5,1,0.02,0.02,35072448,8983998,2466,5932639,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074020,5,2,0.3,0.1,35072448,8404655,2466,6309314,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,high-uncertainty
16074020,10,1,0.02,0.02,62524800,15606064,36572,4555220,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074020,10,2,0.3,0.1,62524800,16336470,36572,6605340,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074021,5,1,0.02,0.02,33123077,8230975,2484,5203693,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074021,5,2,0.3,0.1,33123077,7651632,2484,6487751,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074021,10,1,0.02,0.02,70300905,15429679,36201,4949067,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074021,10,2,0.3,0.1,70300905,16160085,36201,4584877,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074022,5,1,0.02,0.02,32854835,8743064,2460,6380009,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074022,5,2,0.3,0.1,32854835,8163721,2460,4744124,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074022,10,1,0.02,0.02,65763379,15791784,36565,6325752,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074022,10,2,0.3,0.1,65763379,16522190,36565,4961865,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074023,5,1,0.02,0.02,33623727,8183702,2484,5390109,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074023,5,2,0.3,0.1,33623727,7604359,2484,6680512,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074023,10,1,0.02,0.02,77186480,15569380,36359,4186574,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074023,10,2,0.3,0.1,77186480,16299786,36359,6387790,0.25,1,3,2,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074024,5,1,0.02,0.02,35589273,8969075,2478,5282987,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074024,5,2,0.3,0.1,35589273,8389732,2478,4616461,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074024,10,1,0.02,0.02,64823906,16009984,36418,5222356,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074024,10,2,0.3,0.1,64823906,16740390,36418,5831866,1,3,4,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074025,5,1,0.02,0.02,36252268,8197919,2546,5651364,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074025,5,2,0.3,0.1,36252268,7618576,2546,6004184,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074025,10,1,0.02,0.02,68451427,15925015,36422,5189410,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074025,10,2,0.3,0.1,68451427,16655421,36422,4831693,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074026,5,1,0.02,0.02,32727764,8488922,2552,4041925,2,4,4,3,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074026,5,2,0.3,0.1,32727764,7909579,2552,6508657,2,4,5,3,1,1,0,0,2,0,0,0,0,0,0,0,high-uncertainty
16074026,10,1,0.02,0.02,67557356,16234019,36617,5683232,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074026,10,2,0.3,0.1,67557356,16964425,36617,4583761,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074027,5,1,0.02,0.02,36177201,8047785,2460,3960525,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074027,5,2,0.3,0.1,36177201,7468442,2460,6397762,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074027,10,1,0.02,0.02,70850925,15481146,36576,5958573,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074027,10,2,0.3,0.1,70850925,16211552,36576,5791788,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074028,5,1,0.02,0.02,32843775,8720944,2484,5327865,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074028,5,2,0.3,0.1,32843775,8141601,2484,4672037,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074028,10,1,0.02,0.02,61028312,15758807,36517,3855031,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074028,10,2,0.3,0.1,61028312,16489213,36517,5909482,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074029,5,1,0.02,0.02,32102877,8287721,2490,6218212,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
