point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
NOMINAL,6dof,5,ring2,Stressed,State-event,0.258283048305801,0.0049339219275114,0.293869593462303,0,3,0,all seeds,42.5777777777778,0,42.5777777777778,42.5777777777778,42.5777777777778,2043.73333333333,25.5111111111111,0.432133212231305,NaN,0,1.01536523240509,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Stressed,Causal-v3,0.118483116534142,0.000432076854606373,0.451970457466941,0,3,0,all seeds,182.877777777778,109.144444444444,193.792222222222,210.163888888889,237.45,11397.6,218.966666666667,0.189449591280654,0.30926430517711,0,1.01532420142864,NaN,0,3,3,0,1,1,1,1,EXP09A,exp09a-locked
ACK,6dof,5,ring2,Moderate,P10,0.097605644154186,0.00144468632823804,0.477695186064958,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.154951256433545,NaN,0,1.01535013382906,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Moderate,P20,0.0750822605208074,0.000495102788249218,0.505019548963128,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.117789887980624,NaN,0,1.01535095395302,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Moderate,State-event,0.17080290383827,0.00780353453759136,0.386855866748014,0,3,0,all seeds,43.2333333333333,0,43.2333333333333,43.2333333333333,43.2333333333333,2075.2,25.9444444444444,0.273745685740236,NaN,0,1.01532479189702,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Moderate,Causal-v3,0.0879568234941242,0.000225480695017152,0.489491251350107,0,3,0,all seeds,139.788888888889,111.388888888889,150.927777777778,167.636111111111,195.483333333333,9383.2,234.1,0.139530729639721,0.229509536784741,0,1.01535240734751,NaN,0,3,3,0,0,0,0,1,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Stressed,P10,0.146835451030239,0.00250473864571539,0.41593123461177,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.23621374508023,NaN,0,1.01534505679682,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Stressed,P20,0.111961508781459,0.000938557017850895,0.460241976561254,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.178700575234635,NaN,0,1.01531020935167,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Stressed,State-event,0.258283048305801,0.0049339219275114,0.293869593462303,0,3,0,all seeds,42.5777777777778,0,42.5777777777778,42.5777777777778,42.5777777777778,2043.73333333333,25.5111111111111,0.432133212231305,NaN,0,1.01536523240509,NaN,0,3,3,0,0,0,0,0,EXP07B,exp07b-locked
ACK,6dof,5,ring2,Stressed,Causal-v3,0.118483116534142,0.000432076854606373,0.451970457466941,0,3,0,all seeds,182.877777777778,109.144444444444,193.792222222222,210.163888888889,237.45,11397.6,218.966666666667,0.189449591280654,0.320526793823794,0,1.01532420142864,NaN,0,3,3,0,1,1,1,1,EXP07B,exp07b-locked
