seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16040002,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113378654697,113378654697,2014855,4058814,503813888,NaN,NaN,NaN,NaN,NaN,1,1,18,0.98025,0,0,0,0,NaN,NaN,NaN,2273,2051,3385,4324,36162,20061,0,16101,3921,17,10217,10217,0,0,34,34,0,0,0,0,0.553614082957747,0.353547325502698,1,0,0
16040002,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113378654697,113378654697,3002229,4058814,503813888,NaN,NaN,NaN,NaN,NaN,1,1,18,0.98025,0,0,0,0,NaN,NaN,NaN,2273,2051,3385,4324,36162,20061,0,16101,3921,17,10217,9730,487,0,34,33,1,0,0,0,0.553614082957747,0.353547325502698,1,0,0
16040002,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113378654697,113378654697,2670725,4057741,503215758,NaN,NaN,NaN,NaN,NaN,1,1,20,0.96725,0,0,0,0,NaN,NaN,NaN,2329,2095,3358,4424,37070,19704,1149,16217,3869,31,10088,10088,0,0,68,64,0,4,0,2,0.553133812963856,0.355537015477388,1,0,0
16040002,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113378654697,113378654697,2004003,733704,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,400,179,179,579,2253,2253,0,0,799,637,2798,2798,0,0,1432,1248,0,184,0,134,0.167648532867425,0.14809468311616,1,0,0
16040002,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113378654697,74561517047,2282117,4403443,500872751,1,2,420,0,0,0,1,NaN,0.8735,0,0,0,0,NaN,NaN,NaN,2473,2033,3442,4506,37748,21026,259,16463,3494,106,9347,9347,0,0,216,216,0,0,0,0,0.525072323320813,0.367406545326402,1,0,0
16040002,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113378654697,113378654697,2015273,4059055,503691804,NaN,NaN,NaN,NaN,NaN,1,1,18,0.9785,0,0,0,0,NaN,NaN,6,2274,2057,3389,4331,36231,20151,0,16080,3914,20,10202,10202,0,0,41,41,0,0,0,0,0.553442557959929,0.354164815494843,1,0,0
16040002,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113378654697,113378654697,2015276,4058541,516185957,NaN,NaN,NaN,NaN,NaN,1,1,18,0.9695,0,0,0,0,221,220,NaN,2283,2051,3403,4334,36264,20232,0,16032,3878,25,10105,10105,0,0,55,55,0,0,0,0,0.550355107999203,0.370631215285382,1,0,0
16040003,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30312718947,30312718947,1319555,540078,177147363,NaN,NaN,NaN,NaN,NaN,1,1,14,0.978,0,0,0,0,NaN,NaN,NaN,1102,792,1129,1894,6352,3800,0,2552,1956,16,4696,4696,0,0,33,33,0,0,0,0,0.48855000970727,0.456084266424546,1,0,0
16040003,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30312718947,30312718947,2306929,540078,177147363,NaN,NaN,NaN,NaN,NaN,1,1,14,0.978,0,0,0,0,NaN,NaN,NaN,1102,792,1129,1894,6352,3800,0,2552,1956,16,4696,4444,252,0,33,33,0,0,0,0,0.48855000970727,0.456084266424546,1,0,0
16040003,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30312718947,30312718947,1975425,539833,177086893,NaN,NaN,NaN,NaN,NaN,1,1,16,0.9785,0,0,0,0,NaN,NaN,NaN,1113,814,1121,1927,6490,3756,200,2534,1957,16,4695,4695,0,0,34,34,0,0,0,0,0.490801968778904,0.45852388875215,1,0,0
16040003,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30312718947,30312718947,1319109,589358,137695735,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,400,159,159,559,1395,1395,0,0,799,502,1998,1998,0,0,1033,927,0,106,0,106,0.279117816045306,0.259288065331195,1,0,0
16040003,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30312718947,20670336552,1586817,1021707,175607232,1,2,421,0,0,0,1,NaN,0.776,0,0,0,0,NaN,NaN,NaN,1297,870,1231,2167,7436,4547,269,2620,1552,184,3891,3891,0,0,368,364,0,4,0,4,0.461338837591692,0.427997332447778,1,0,0
16040003,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30312718947,30312718947,1319673,540221,177132357,NaN,NaN,NaN,NaN,NaN,1,1,14,0.977,0,0,0,0,NaN,NaN,2,1102,795,1134,1897,6364,3812,0,2552,1954,17,4692,4692,0,0,35,35,0,0,0,0,0.48855000970727,0.456084266424546,1,0,0
16040003,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30312718947,30312718947,1319676,523945,178459582,NaN,NaN,NaN,NaN,NaN,0,1,14,0.8625,0,0,0,0,220,219,NaN,1182,953,1278,2135,7284,4612,0,2672,1725,125,4219,4219,0,0,252,242,0,10,0,8,0.480730707375208,0.44601300502085,1,0,0
16040003,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113401272830,113401272830,2014855,4035992,503306141,NaN,NaN,NaN,NaN,NaN,1,1,15,0.96575,0,0,0,0,NaN,NaN,NaN,2308,1987,3194,4295,35659,19557,0,16102,3863,28,10065,10065,0,0,67,65,0,2,0,2,0.547782233031931,0.349053370559864,1,0,0
16040003,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113401272830,113401272830,3002229,4035992,503306141,NaN,NaN,NaN,NaN,NaN,1,1,15,0.96575,0,0,0,0,NaN,NaN,NaN,2308,1987,3194,4295,35659,19557,0,16102,3863,28,10065,9568,497,0,67,61,4,2,0,2,0.547782233031931,0.349053370559864,1,0,0
16040003,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113401272830,113401272830,2670725,4038514,503259987,NaN,NaN,NaN,NaN,NaN,1,1,18,0.96675,0,0,0,0,NaN,NaN,NaN,2350,2027,3181,4377,36419,19392,984,16043,3867,28,10085,10085,0,0,66,64,0,2,0,2,0.551006902990912,0.351969295522772,1,0,0
16040003,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113401272830,113401272830,2004003,731866,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,400,184,184,584,2288,2288,0,0,799,622,2798,2798,0,0,1372,1250,0,122,0,92,0.16627633288488,0.147511498123579,1,0,0
