seed,N,syncPeriodSec,guardFactor,maxOffsetSec,maxDriftPpm,safeGuardSec,guardTimeSec,dataAirtimeSec,slotDurationSec,frameDurationSec,transmissions,collisionFrames,temporalOverlapPairs,offeredAirtimeSec,busyTimeSec,offeredUtilization,channelUtilization,maxClockEquationResidual,collisionWitnessValid,guardAtOrAboveBound,clockDrawHash,configHash,realizationHash
16031003,10,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0416704380175207,2880,0,0,8.84736,8.8473599999999,0.73728,0.737279999999992,0,1,0,136592064,16894318,7267947428
16031003,10,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0453205840233609,2647,0,0,8.131584,8.13158399999991,0.677632,0.677631999999992,0,1,1,136592064,17624346,6500444285
16031003,10,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0489707300292012,2450,0,0,7.5264,7.52639999999991,0.6272,0.627199999999993,0,1,1,136592064,17305803,6043142036
16031004,5,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.01536,3875,3164,1891,11.904,11.6081503176514,0.992,0.96734585980428,8.88178419700125e-16,1,0,64026050,70500030,7865904256
16031004,5,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0173850810032401,3419,168,84,10.503168,10.4991997303177,0.875264,0.874933310859807,8.88178419700125e-16,1,0,64026050,71310062,7167818879
16031004,5,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0180601080043202,3299,0,0,10.134528,10.1345279999999,0.844544,0.844543999999991,8.88178419700125e-16,1,1,64026050,70531501,6855215901
16031004,5,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0187351350054002,3179,0,0,9.765888,9.76588799999989,0.813824,0.813823999999991,8.88178419700125e-16,1,1,64026050,70801511,6521619845
16031004,5,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.01536,3906,3145,1583,11.999232,11.8013061533444,0.999936,0.983442179445369,0,1,0,64026050,11570856,8988011074
16031004,5,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0208352190087603,2880,0,0,8.84736,8.8473599999999,0.73728,0.737279999999992,0,1,0,64026050,11663798,6751430959
16031004,5,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0226602920116805,2648,0,0,8.134656,8.13465599999991,0.677888,0.677887999999992,0,1,1,64026050,12393826,6259459681
16031004,5,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0244853650146006,2450,0,0,7.5264,7.52639999999992,0.6272,0.627199999999993,0,1,1,64026050,12075283,5597392970
16031004,10,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.03072,3876,3099,1869,11.907072,11.5919096891674,0.992256,0.96599247409728,8.88178419700125e-16,1,0,131526407,135988718,8554076001
16031004,10,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0347701620064803,3420,86,43,10.50624,10.5039432916278,0.87552,0.875328607635651,8.88178419700125e-16,1,0,131526407,136798750,7546867891
16031004,10,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0361202160086403,3300,0,0,10.1376,10.1375999999999,0.8448,0.84479999999999,8.88178419700125e-16,1,1,131526407,136020189,7295080196
16031004,10,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0374702700108004,3180,0,0,9.76896,9.76895999999989,0.81408,0.814079999999991,8.88178419700125e-16,1,1,131526407,136290199,7039553512
16031004,10,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.03072,3906,3681,2048,11.999232,11.4630257806901,0.999936,0.955252148390841,0,1,0,131526407,16098543,9473682923
16031004,10,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0416704380175207,2880,0,0,8.84736,8.8473599999999,0.73728,0.737279999999992,0,1,0,131526407,16191485,7232534122
16031004,10,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0453205840233609,2648,0,0,8.134656,8.13465599999991,0.677888,0.677887999999992,0,1,1,131526407,16921513,6513167568
16031004,10,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0489707300292012,2450,0,0,7.5264,7.52639999999992,0.6272,0.627199999999993,0,1,1,131526407,16602970,6033847446
16031005,5,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.01536,3876,3287,2027,11.907072,11.614977681734,0.992256,0.967914806811166,8.88178419700125e-16,1,0,64951625,70539260,7892843763
16031005,5,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0173850810032401,3420,112,56,10.50624,10.5047949747086,0.87552,0.875399581225716,8.88178419700125e-16,1,0,64951625,71349292,7106323944
16031005,5,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0180601080043202,3300,0,0,10.1376,10.1375999999999,0.8448,0.84479999999999,8.88178419700125e-16,1,1,64951625,70570731,6844829726
16031005,5,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0187351350054002,3180,0,0,9.76896,9.76895999999989,0.81408,0.814079999999991,8.88178419700125e-16,1,1,64951625,70840741,6509105942
16031005,5,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.01536,3906,3413,2309,11.999232,11.8013689708505,0.999936,0.983447414237538,0,1,0,64951625,11044423,8879088925
16031005,5,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0208352190087603,2880,0,0,8.84736,8.8473599999999,0.73728,0.737279999999992,0,1,0,64951625,11137365,6759385567
16031005,5,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0226602920116805,2648,0,0,8.134656,8.13465599999991,0.677888,0.677887999999992,0,1,1,64951625,11867393,6232477550
16031005,5,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0244853650146006,2450,0,0,7.5264,7.52639999999992,0.6272,0.627199999999993,0,1,1,64951625,11548850,5622618092
16031005,10,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.03072,3872,3119,1861,11.894784,11.5637730100646,0.991232,0.963647750838716,8.88178419700125e-16,1,0,136404785,139531264,8579539816
16031005,10,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0347701620064803,3416,184,92,10.493952,10.491121451555,0.874496,0.87426012096292,8.88178419700125e-16,1,0,136404785,140341296,7578956227
16031005,10,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0361202160086403,3296,0,0,10.125312,10.1253119999999,0.843776,0.843775999999991,8.88178419700125e-16,1,1,136404785,139562735,7279629197
16031005,10,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0374702700108004,3176,0,0,9.756672,9.75667199999989,0.813056,0.813055999999991,8.88178419700125e-16,1,1,136404785,139832745,7039280003
