time_s,seed,epsilonPosition_m,maxNormalizedControlRisk,violatingLinksThisStep,controlAwareTxThisStep,formationRMS_m
2.94,27020001,0.4,5.11174834359516,10,1,0.301293631157237
2.96,27020001,0.4,5.40955785982199,10,3,0.294857083178151
2.98,27020001,0.4,5.70674303744035,10,1,0.288275502258642
3,27020001,0.4,10.2229311667486,10,6,0.281530936003648
3.02,27020001,0.4,10.2252914206209,10,1,0.274853615041541
3.04,27020001,0.4,10.2322957748291,10,0,0.268373882220684
3.06,27020001,0.4,10.2437268601856,10,3,0.262098846524658
3.08,27020001,0.4,9.59973220577295,10,0,0.256040394030079
3.1,27020001,0.4,9.62834641056874,10,6,0.250202704775534
3.12,27020001,0.4,9.66028507535273,10,1,0.244588334490349
3.14,27020001,0.4,9.69475121262761,10,1,0.239140368538999
3.16,27020001,0.4,9.73114521069997,10,2,0.233863151328124
3.18,27020001,0.4,9.76902248439324,10,0,0.228761284482096
3.2,27020001,0.4,9.80805392370421,10,6,0.223840978052031
3.22,27020001,0.4,9.84799452510613,10,1,0.219106945080934
3.24,27020001,0.4,9.88866016465985,8,1,0.214492354576139
3.26,27020001,0.4,9.92991090063545,8,2,0.210025404002643
3.28,27020001,0.4,9.97163909308863,8,0,0.205717753275527
3.3,27020001,0.4,10.0137609515579,9,5,0.20156114243595
3.32,27020001,0.4,10.0562104887521,9,1,0.197561667972085
3.34,27020001,0.4,5.60745714453187,6,1,0.193721756424878
3.36,27020001,0.4,5.80830335885935,7,3,0.190040793828304
3.38,27020001,0.4,6.00570481073111,7,0,0.186528568891052
3.4,27020001,0.4,2.74917397444515,8,0,0.183188866376941
3.42,27020001,0.4,2.9147810931785,8,3,0.180025245752663
3.44,27020001,0.4,3.06611147239256,8,2,0.17702502011341
3.46,27020001,0.4,3.21053171694854,7,3,0.174185949075332
3.48,27020001,0.4,3.18447958239529,7,0,0.171511149074326
3.5,27020001,0.4,3.35301615541127,7,0,0.169004195015803
3.52,27020001,0.4,3.5194883491772,7,3,0.166667366627681
3.54,27020001,0.4,3.68350275164831,8,2,0.164502738882633
3.56,27020001,0.4,3.84136607918533,7,3,0.162500802258757
3.58,27020001,0.4,3.99441540665086,7,0,0.160655481381217
3.6,27020001,0.4,3.16480118355627,7,0,0.158966408431514
3.62,27020001,0.4,3.31823731586188,7,3,0.157435048868112
3.64,27020001,0.4,3.468893162771,7,1,0.156062573425242
3.66,27020001,0.4,3.62325401297987,9,5,0.154834744592441
3.68,27020001,0.4,3.77420309203291,9,0,0.153752928058757
3.7,27020001,0.4,3.92165668655432,9,0,0.152796922631393
3.72,27020001,0.4,4.06561539560808,9,3,0.151968605648679
3.74,27020001,0.4,4.20613482869497,9,1,0.151269483661596
3.76,27020001,0.4,4.3433053575594,8,5,0.15069503736253
3.78,27020001,0.4,4.47723810614029,9,1,0.150238217312115
3.8,27020001,0.4,2.00577202220695,8,0,0.149871556840662
3.82,27020001,0.4,2.12814858118365,9,3,0.149597260868002
3.84,27020001,0.4,2.24407076457228,9,0,0.149417199912448
3.86,27020001,0.4,2.35374936733846,9,1,0.149321422147994
3.88,27020001,0.4,2.31446269250695,9,4,0.149309002767105
3.9,27020001,0.4,2.44474332093967,7,1,0.149366196452468
3.92,27020001,0.4,2.59257219567594,7,0,0.149483499739166
3.94,27020001,0.4,2.73466628306228,7,3,0.149663906541828
3.96,27020001,0.4,2.87125331350749,6,1,0.149903849020398
3.98,27020001,0.4,3.0026119801286,6,2,0.150205764311416
4,27020001,0.4,1.76659725430597,6,1,0.150571705693478
