seed,method,topology,N,scenario,RMSE,AOI,MINEVAL,NDATA,NACK,MISSION,VIOL,FORMFAIL,SAFEFAIL,numEdges,meanDegree,minDegree,lambda2,nChannels
2,P20,sparse4,20,Moderate,0.195621380242168,0.118155799167776,0.401645038361749,51600,0,30,0,1,0,48,4.8,4,0.89697385380051,86
3,P20,sparse4,20,Moderate,0.195630984093005,0.118060748157066,0.401629142033751,51600,0,30,0,1,0,48,4.8,4,0.89697385380051,86
1,State-event,sparse4,20,Moderate,0.460790379460178,0.292928204803244,0.154004984847258,9522,0,30,0,1,1,48,4.8,4,0.89697385380051,86
2,State-event,sparse4,20,Moderate,0.447313511941026,0.287860507361173,0.163024073771148,9561,0,30,0,1,1,48,4.8,4,0.89697385380051,86
3,State-event,sparse4,20,Moderate,0.455790008951004,0.291008174386921,0.154174233972819,9530,0,30,0,1,1,48,4.8,4,0.89697385380051,86
1,Causal-v3,sparse4,20,Moderate,0.239629508094671,0.143533574129227,0.358067254846213,32520,25937,30,0,1,0,48,4.8,4,0.89697385380051,86
2,Causal-v3,sparse4,20,Moderate,0.240616418235896,0.144163867942462,0.35244078169043,32537,25819,30,0,1,0,48,4.8,4,0.89697385380051,86
3,Causal-v3,sparse4,20,Moderate,0.239853988896588,0.143428806792979,0.353783781771285,32507,25997,30,0,1,0,48,4.8,4,0.89697385380051,86
1,P10,sparse6,20,Moderate,0.288990356608504,0.154835340306466,0.308403460574038,37200,0,30,0,1,0,66,6.6,6,1.61242402873909,124
2,P10,sparse6,20,Moderate,0.28887387130633,0.154907855029152,0.313913323669097,37200,0,30,0,1,0,66,6.6,6,1.61242402873909,124
3,P10,sparse6,20,Moderate,0.289859713477233,0.155650581582725,0.310185316187807,37200,0,30,0,1,0,66,6.6,6,1.61242402873909,124
1,P20,sparse6,20,Moderate,0.219845451802021,0.118124285839852,0.379257924548945,74400,0,30,0,1,0,66,6.6,6,1.61242402873909,124
2,P20,sparse6,20,Moderate,0.220034635569856,0.118233277665465,0.381416516602084,74400,0,30,0,1,0,66,6.6,6,1.61242402873909,124
3,P20,sparse6,20,Moderate,0.219996219724611,0.118253640385573,0.381279121839235,74400,0,30,0,1,0,66,6.6,6,1.61242402873909,124
1,State-event,sparse6,20,Moderate,0.513193454347651,0.294699540007617,0.0857357164084389,13177,0,30,0,1,1,66,6.6,6,1.61242402873909,124
