scenario,scenarioLabel,originalMacType,arm,methodLabel,armKind,schedulerMode,n,nEligible,meanRMSE,safeFailures,divergences,meanOfferedUtil,meanTrueAoI,meanNodeGoodputHz,minNodeGoodputHz,meanMaxStarvationSec,meanMaxVirtualDeficit,meanCollisions,meanEndogenousCollisions,priorityDiffersFifo,fifoComparableDecisions,priorityDiffersFifoFraction
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0932264635266711,0,0,0.559166666666642,0.0835391297480849,12.4144444444444,8.40277777777778,0.392366666666667,49.1666666666667,0,0,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.260913249957041,30,0,0.457699999999987,0.265395403932718,4.75972222222222,3.45555555555556,1.2261,184.066666666667,725.233333333333,725.233333333333,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0923793052493327,0,0,0.560533333333309,0.0823517333965094,12.455,8.11944444444444,0.417866666666667,46.4333333333333,0,0,23402,34434,0.679618981239473
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0921049845937191,0,0,0.55504444444442,0.0822103766879885,12.2875,8.26666666666667,0.409333333333333,48.4,0,0,18642,33958,0.548972259850403
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.119457165003776,0,0,0.399999999999993,0.110562268024955,8.84555555555555,6.96111111111111,0.52,37.2333333333333,0,0,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.102536229364419,0,0,0.499999999999982,0.0934508410329304,11.0425,8.73055555555555,0.426666666666667,46,0,0,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.172828900565265,0,0,0.25,0.164987127852799,5.52777777777778,4.31944444444444,0.741333333333334,23.8333333333333,0,0,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.13758922758214,0,0,0.333333333333334,0.129536128879413,7.35888888888889,5.75555555555556,0.556,31.6666666666667,0,0,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.082345408830516,0,0,0.316636111111111,0.119142067440575,8.57222222222222,7.21111111111111,0.526666666666667,97.6333333333333,394.9,394.9,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0527024456935836,0,0,0.232322222222222,0.0696355260733369,11.1361111111111,9.53055555555556,0.269366666666667,15.9,0,0,0,0,0
