scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.915,12.0716666666667,-0.156666666666666,-0.227654858567573,-0.0856784747657598,30,1,0
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.40277777777778,8.38333333333333,0.0194444444444449,-0.15537862973118,0.194267518620069,30,1,0
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.4273,0.405466666666666,0.0218333333333337,-0.0176416612725128,0.0613083279391802,30,1,0
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0615186511227169,0.0607455017004011,0.000773149422315743,6.06709761515928e-05,0.00148562786847989,30,1,0
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.2799,0.283433333333334,-0.00353333333333333,-0.00554022453804367,-0.00152644212862299,30,1,1
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0845719550396166,0.0838953381241938,0.000676616915422878,-0.000691794176394527,0.00204502800724028,30,1,0
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.915,12.1,-0.18500000000001,-0.259185102418168,-0.110814897581851,30,1,0
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.40277777777778,8.10277777777778,0.3,0.140367841182468,0.459632158817532,30,1,1
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.4273,0.413733333333333,0.0135666666666669,-0.0290203424157633,0.0561536757490972,30,1,0
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0613444825091473,0.0607455017004011,0.000598980808746236,-0.000155975222815713,0.00135393684030818,30,1,0
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.25,0.283433333333334,-0.0334333333333337,-0.0349162430366296,-0.0319504236300378,30,1,1
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0850178735949879,0.0838953381241938,0.00112253547079413,-0.000225117581788905,0.00247018852337717,30,1,0
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,10.6238888888889,12.1,-1.47611111111111,-1.55227418240832,-1.39994803981391,30,1,0
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.68611111111111,8.10277777777778,0.583333333333333,0.37952994678864,0.787136719878026,30,1,1
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.443333333333334,0.413733333333333,0.0296000000000001,-0.0204302337403031,0.0796302337403033,30,1,0
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,RMSE,lower,0.0613444825091473,0.0615186511227169,-0.000174168613569507,-0.00106262530599086,0.00071428807885185,30,1,0
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,OFFERED_UTIL,lower,0.25,0.2799,-0.0299000000000004,-0.0317090906433398,-0.0280909093566609,30,1,1
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0850178735949879,0.0845719550396166,0.000445918555371256,-0.00120477665007335,0.00209661376081586,30,1,0
