seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
7,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.42142589291734e+15,1.1694130222566e+15
8,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.17681925559292e+15,1.77122241898851e+15
9,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,3.52641823707388e+15,1.43725196717923e+15
10,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.42417264048688e+15,905496342827099
11,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,8.21844410526524e+15,8.86164039925052e+15
12,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,134636756429275,1.78538751722172e+15
13,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.52837766734396e+15,8.54957230128495e+15
14,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.33492398818352e+15,1.20828425750691e+15
15,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,7.7710254396783e+15,1.20278804859696e+15
16,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.1765613730968e+15,1.17139212757552e+15
17,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.31328043396169e+15,1.64473200496905e+15
