seed,variant,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
18,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
19,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
20,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
1,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
2,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
3,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
4,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
5,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
6,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
7,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
8,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
9,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
10,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
11,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
12,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
13,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
14,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
15,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
16,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
17,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
18,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
19,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
20,A3 AoI-adaptive,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,0,0,0,0
1,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
2,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
3,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
4,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
5,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
6,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
7,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
8,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
9,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
10,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
11,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
12,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
13,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
14,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
15,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
16,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
17,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
18,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
19,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
20,A4 Full-ACK,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,1,3028,0,0,0
1,A0 Periodic10,Moderate,0.0960259893809011,0.12400936748719,0.47785913848352,0.155004541326067,10,0.798611111111111,0,0,0,0
2,A0 Periodic10,Moderate,0.0968678630280984,0.128955598110938,0.471613624287095,0.156276112624887,10,0.793888888888889,0,0,0,0
3,A0 Periodic10,Moderate,0.0962523239750553,0.125141790765879,0.479090311196507,0.156457765667575,10,0.799444444444444,0,0,0,0
4,A0 Periodic10,Moderate,0.0966404016057977,0.129411941964147,0.476882604003336,0.156472903421132,10,0.791388888888889,0,0,0,0
5,A0 Periodic10,Moderate,0.095147613470612,0.124656930437893,0.479290403576128,0.154959128065395,10,0.801111111111111,0,0,0,0
6,A0 Periodic10,Moderate,0.0965068324509708,0.130081187553363,0.472796842650827,0.156223130487436,10,0.797222222222222,0,0,0,0
7,A0 Periodic10,Moderate,0.0947685613523486,0.124568891829857,0.482730849249562,0.153293975174084,10,0.806111111111111,0,0,0,0
8,A0 Periodic10,Moderate,0.0958901498175371,0.126317572166155,0.483561412737212,0.155140781108084,10,0.7975,0,0,0,0
9,A0 Periodic10,Moderate,0.0958017751273025,0.131201727092437,0.47123703892431,0.154459582198002,10,0.805833333333333,0,0,0,0
10,A0 Periodic10,Moderate,0.0966147586790971,0.127880242383455,0.480357265609056,0.156162579473206,10,0.799166666666667,0,0,0,0
11,A0 Periodic10,Moderate,0.0967264668224502,0.128740674199258,0.480089488944282,0.156722676354829,10,0.793055555555556,0,0,0,0
12,A0 Periodic10,Moderate,0.0950731157658311,0.12952985450232,0.479699502578633,0.154429306690887,10,0.804166666666667,0,0,0,0
13,A0 Periodic10,Moderate,0.0961132141232468,0.128840975595616,0.47614289461117,0.154981834695731,10,0.8,0,0,0,0
14,A0 Periodic10,Moderate,0.0960347996573322,0.122820452677375,0.480986296821616,0.155398122918559,10,0.800277777777778,0,0,0,0
15,A0 Periodic10,Moderate,0.0944036927302251,0.123591504518656,0.480014506458398,0.154580684226461,10,0.801944444444444,0,0,0,0
16,A0 Periodic10,Moderate,0.0950210099170565,0.122636119282821,0.481428805939021,0.153657281259461,10,0.807777777777778,0,0,0,0
17,A0 Periodic10,Moderate,0.0959750442331409,0.12991338947523,0.482356879374612,0.154769906145928,10,0.807777777777778,0,0,0,0
18,A0 Periodic10,Moderate,0.0948561309974695,0.127420438941537,0.47941350643804,0.153369663941871,10,0.810555555555556,0,0,0,0
19,A0 Periodic10,Moderate,0.0953297012460734,0.125016589395225,0.485308865898067,0.15562518922192,10,0.803611111111111,0,0,0,0
