seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019022,n20-ring2,N20 ring2,20,0,0,0,0,1918,0,0,0,1,32,10198305284021,339932749474,187625226
16019022,n5-aloha,N5 ALOHA,5,293,293,100,293,387,293,0,0,2,32,666681134096,21200409140,153304594
16019023,n5-csma,N5 CSMA,5,52,52,16,52,745,52,0,0,2,32,666831379887,21199201132,152862088
16019023,n10-ring2,N10 ring2,10,69,69,31,69,1670,69,0,0,2,32,2586848316471,84900576019,161813364
16019023,n20-ring2,N20 ring2,20,1,1,0,1,1914,1,0,0,2,32,10201275948096,339919591000,187625228
16019023,n5-aloha,N5 ALOHA,5,304,304,123,304,394,304,0,0,2,32,666831379887,21199201132,153304596
16019024,n5-csma,N5 CSMA,5,64,64,20,64,732,64,0,0,2,32,667200901786,21198429180,152862090
16019024,n10-ring2,N10 ring2,10,82,82,36,82,1665,82,0,0,2,32,2586576464817,84912557301,161813366
16019024,n20-ring2,N20 ring2,20,4,4,0,4,1852,4,0,0,2,32,10202644328829,339936165608,187625230
16019024,n5-aloha,N5 ALOHA,5,307,307,100,307,395,307,0,0,2,32,667200901786,21198429180,153304598
16019025,n5-csma,N5 CSMA,5,57,57,25,57,746,57,0,0,2,32,667011710251,21199508067,152862092
16019025,n10-ring2,N10 ring2,10,72,72,31,72,1734,72,0,0,2,32,2585358544715,84930331648,161813368
16019025,n20-ring2,N20 ring2,20,0,0,0,0,1841,0,0,0,1,32,10200298650390,339959693746,187625232
16019025,n5-aloha,N5 ALOHA,5,336,336,103,336,448,336,0,0,2,32,667011710251,21199508067,153304600
16019026,n5-csma,N5 CSMA,5,59,59,19,59,740,59,0,0,2,32,666961259936,21209872034,152862094
16019026,n10-ring2,N10 ring2,10,82,82,30,82,1692,82,0,0,2,32,2586753086402,84921968904,161813370
16019026,n20-ring2,N20 ring2,20,4,4,0,4,1933,4,0,0,2,32,10200860294722,339914606452,187625234
16019026,n5-aloha,N5 ALOHA,5,303,303,103,303,385,303,0,0,2,32,666961259936,21209872034,153304602
16019027,n5-csma,N5 CSMA,5,61,61,19,61,748,61,0,0,2,32,667554834464,21210937754,152862096
16019027,n10-ring2,N10 ring2,10,82,82,32,82,1686,82,0,0,2,32,2587189586386,84908730839,161813372
16019027,n20-ring2,N20 ring2,20,2,2,0,2,1871,2,0,0,2,32,10200314893152,339860755368,187625236
16019027,n5-aloha,N5 ALOHA,5,320,320,130,320,412,320,0,0,2,32,667554834464,21210937754,153304604
16019028,n5-csma,N5 CSMA,5,62,62,25,62,731,62,0,0,2,32,667138101186,21214729848,152862098
16019028,n10-ring2,N10 ring2,10,93,93,36,93,1648,93,0,0,2,32,2586666065322,84910844271,161813374
16019028,n20-ring2,N20 ring2,20,0,0,0,0,1950,0,0,0,1,32,10201403606491,339907333505,187625238
16019028,n5-aloha,N5 ALOHA,5,306,306,108,306,394,306,0,0,2,32,667138101186,21214729848,153304606
16019029,n5-csma,N5 CSMA,5,57,57,25,57,748,57,0,0,2,32,667365499650,21208992663,152862100
16019029,n10-ring2,N10 ring2,10,83,83,30,83,1690,83,0,0,2,32,2586314833060,84900504911,161813376
16019029,n20-ring2,N20 ring2,20,2,2,0,2,1947,2,0,0,2,32,10200636584810,339893783323,187625240
