seed,scenario,scenarioLabel,N,candidateOrdinal,selectionRank,decisionTime,windowEnd,realizedHorizon,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,actualTargetReached,shadowTargetReached,actualTargetAdmitted,shadowTargetAdmitted,suppressedEntries,actualConfirmedEntries,shadowConfirmedEntries,positiveLeadEntries,actualCensoredEntries,shadowCensoredEntries,meanLeadSeconds,maxLeadSeconds,ackAirtimeCost,dataAirtimeSaved,netAirtimeBenefit,accountingResidual,dataAttemptsSaved,collisionsSaved,trueAoIIntegralBenefit,estimatedAoIIntegralBenefit,controlLossIntegralBenefit,minimumSeparationBenefit,actualInvariantViolations,shadowInvariantViolations,actualDiverged,shadowDiverged,TRACE_HASH_EXACT,CHANNEL_STATE_HASH
16019016,n20-ring2,N20 ring2,20,1,1,8.879,9.64,0.761000000000001,8,3,2067125,0.119999999999999,0.740094338021508,0,0,1489823348,12138004554,1,1,1,0,3,3,3,3,0,0,0.00200000000000067,0.00200000000000067,0.002,-0.0239999999999974,-0.0259999999999962,1.11022302462516e-15,-6,-5,0.00137391304347823,0.00735217391304348,2.52859657980809e-05,-2.24659577360842e-05,0,0,0,0,10197988420940,339939897007
16019034,n20-ring2,N20 ring2,20,2,2,9.536,10.3,0.764000000000001,17,2,3077662,0.0999999999999996,0.747189131529706,0,0,1643594437,12150439280,1,1,1,0,2,2,2,0,0,0,0,0,0.002,0.00399999999999956,0.00200000000000067,1.10848830114918e-15,1,0,0,0,0,0,0,0,0,0,10199413335197,339884241375
16019054,n20-ring2,N20 ring2,20,1,3,8.753,9.52,0.766999999999999,2,2,1707285,0.0999999999999996,0.740867904734336,0,0,1586724408,12136187251,1,1,1,0,2,2,2,0,0,0,0,0,0.002,0.00399999999999956,0.00199999999999889,-6.67868538251071e-16,1,0,0,0,0,0,0,0,0,0,10200402752262,339867761353
16019060,n20-ring2,N20 ring2,20,3,4,9.732,10.5,0.768000000000001,2,2,3187662,0.119999999999999,0.746244236879859,0,0,1604413389,12143751857,1,1,1,0,2,2,2,0,0,0,0,0,0.002,0,-0.00200000000000067,-6.67868538251071e-16,0,-1,0,-0.00148695652173914,0,0,0,0,0,0,10198747705132,339905187727
16019008,n5-aloha,N5 ALOHA,5,155,1,8.011,8.78,0.768999999999998,4,1,2356553,0.0200000000000005,0.49239635862579,0,0,390507320,631796975,1,1,1,0,1,1,1,0,0,0,0,0,0.002,0,-0.00199999999999889,1.11022302462516e-15,0,-1,0,-0.00488888888888878,0,0,0,0,0,0,667211050936,21200392219
16019014,n5-aloha,N5 ALOHA,5,156,2,8.035,8.8,0.765000000000001,5,2,2162315,0.0199999999999996,0.377242713317681,0,0,349294790,627305752,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0,-0.0279999999999969,-0.0279999999999969,0,-7,-7,0.00102222222222197,-0.00246666666666693,4.76184985256809e-05,-2.81284503167445e-06,0,0,0,0,666251768613,21188447081
16019021,n5-aloha,N5 ALOHA,5,151,3,8.025,8.78,0.754999999999999,3,1,1847862,0.0199999999999996,0.446965554716137,0,0,336714066,629433084,1,1,1,0,1,1,1,1,0,0,0.672999999999998,0.672999999999998,0.014,0.19199999999998,0.17799999999998,-2.22044604925031e-16,48,49,0.0463555555555556,0.0733333333333333,0.000468235581792144,0.0047113091420603,0,0,0,0,667569780031,21203323409
16019016,n5-aloha,N5 ALOHA,5,158,4,8.004,8.76,0.756,3,1,1847853,0.0199999999999996,0.42234640415077,0,0,347151193,633279746,1,1,1,0,1,1,1,1,0,0,0.163,0.163,0.005,0.0879999999999903,0.0829999999999904,1.11022302462516e-16,22,22,0.0126444444444443,0.0222222222222221,6.57521349919131e-05,0.00177438855252676,0,0,0,0,667120575406,21196507142
16019029,n5-aloha,N5 ALOHA,5,150,5,8.017,8.78,0.763,3,2,1957443,0.0199999999999996,0.436205509910104,0,0,348739868,627620816,1,1,1,0,2,2,2,2,0,0,0.0440000000000005,0.0440000000000005,-0.002,-0.123999999999986,-0.121999999999987,-2.22044604925031e-16,-31,-43,-0.0164888888888889,-0.0286666666666665,9.65523172126288e-06,0.000753355649754262,0,0,0,0,667365499650,21208992663
16019009,n5-aloha,N5 ALOHA,5,166,6,8.001,8.76,0.759,4,1,2356652,0.0199999999999996,0.37539726376236,0,0,357987032,626930249,1,1,1,0,1,0,1,0,1,0,0,0,-0.013,-0.163999999999982,-0.150999999999982,-1.11022302462516e-16,-41,-45,-0.0396222222222222,-0.108577777777778,-0.000122049628094542,0,0,0,0,0,666935544791,21189026181
