cell,contrast,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,ACK_ATTEMPTED,305.916666666667,317.5,-3.64829396325459,-11.5833333333333,-32.2738325352394,9.10716586857268,12,0,1
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,RMSE,0.0772025827193697,0.0834881425479703,-7.52868567532093,-0.00628555982860057,-0.0144753697854986,0.00190425012829745,12,0,1
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,MEAN_TRUE_AOI,0.112831214298876,0.11979454578957,-5.81272832147668,-0.00696333149069471,-0.0223021536531775,0.00837549067178807,12,0,1
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,OFFERED_UTIL,0.750027777777736,0.7724444444444,-2.90204257767536,-0.0224166666666644,-0.0443939100835868,-0.000439423249742079,12,0,0
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,CHANNEL_UTIL,0.481951388888905,0.493715277777798,-2.38272733666283,-0.0117638888888924,-0.0202003290595558,-0.00332744871822908,12,0,0
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,COLLISION_FRAMES,1823.25,1894.5,-3.76088677751386,-71.25,-151.735942608995,9.23594260899512,12,0,1
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,DATA_ATTEMPTED,2154.25,2220.5,-2.98356226075208,-66.25,-136.831497754931,4.33149775493065,12,0,1
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,ACK_ATTEMPTED,306.666666666667,305.916666666667,0.245164805230182,0.75,-16.1910555782659,17.6910555782659,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,RMSE,0.077408450240371,0.0804981789501368,-3.83825913835845,-0.00308972870976577,-0.0094902649631098,0.00331080754357826,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,MEAN_TRUE_AOI,0.108703703703704,0.112371475953565,-3.26397087760715,-0.00366777224986172,-0.014951410440235,0.00761586594051158,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,OFFERED_UTIL,0.74611111111107,0.764604166666623,-2.41864436028072,-0.0184930555555535,-0.0489142704548746,0.0119281593437676,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,CHANNEL_UTIL,0.478236111111127,0.491284722222242,-2.65601809315211,-0.0130486111111149,-0.0277854593871613,0.00168823716493143,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,COLLISION_FRAMES,1812.75,1867.25,-2.9187307537823,-54.5,-162.15771315071,53.1577131507105,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,DATA_ATTEMPTED,2137.91666666667,2193.91666666667,-2.55251262961978,-56,-152.672286133335,40.672286133335,12,0,1
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,ACK_ATTEMPTED,323.666666666667,317.5,1.94225721784778,6.16666666666667,-15.0758608395563,27.4091941728896,12,0,1
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,RMSE,0.0903058428733434,0.0970011271916921,-6.9022747592589,-0.00669528431834881,-0.00752987445086316,-0.00586069418583446,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,MEAN_TRUE_AOI,0.0814925373134327,0.0877552712627338,-7.13659004090007,-0.00626273394930111,-0.00712459806296873,-0.00540086983563349,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,OFFERED_UTIL,0.634340277777746,0.728104166666633,-12.877812431448,-0.0937638888888867,-0.107650648478893,-0.0798771292988801,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,CHANNEL_UTIL,0.550569444444479,0.621298611111165,-11.3840857522907,-0.0707291666666862,-0.0764479450917396,-0.0650103882416329,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,COLLISION_FRAMES,492.75,867.75,-43.2152117545376,-375,-419.488253722932,-330.511746277068,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,DATA_ATTEMPTED,1861.58333333333,1911.91666666667,-2.63261125397726,-50.3333333333333,-93.9975538180004,-6.66911284866629,12,0,0
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,ACK_ATTEMPTED,84.25,829,-89.8371531966224,-744.75,-757.33295961284,-732.16704038716,12,0,0
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,RMSE,0.0903058428733434,0.0908628057924786,-0.612971296976293,-0.00055696291913521,-0.00175438248954043,0.000640456651270008,12,0,1
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,MEAN_TRUE_AOI,0.0814925373134327,0.0816891731817104,-0.240712276326075,-0.000196635868277651,-0.00101980332269978,0.000626531586144474,12,0,1
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,OFFERED_UTIL,0.634340277777746,0.652249999999966,-2.74583705975025,-0.01790972222222,-0.0284533532243454,-0.00736609122009462,12,0,0
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,CHANNEL_UTIL,0.550569444444479,0.55984722222226,-1.65719814433549,-0.00927777777778107,-0.014549918076367,-0.00400563747919515,12,0,0
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,COLLISION_FRAMES,492.75,536.583333333333,-8.16897033700886,-43.8333333333333,-76.1161542783868,-11.5505123882799,12,0,0
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,DATA_ATTEMPTED,1861.58333333333,1919.16666666667,-3.0004342162397,-57.5833333333333,-90.4839270736954,-24.6827395929713,12,0,0
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,ACK_ATTEMPTED,84.25,76.6666666666667,9.89130434782608,7.58333333333333,3.16922153761301,11.9974451290537,12,0,0
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,RMSE,0.0903058428733434,0.0916883963519926,-1.50788271325156,-0.00138255347864928,-0.00268037301512694,-8.47339421716138e-05,12,0,0
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,MEAN_TRUE_AOI,0.0814925373134327,0.0825996999131326,-1.34039542621131,-0.00110716259969989,-0.00260723992489166,0.000392914725491871,12,0,1
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,OFFERED_UTIL,0.634340277777746,0.954736111111053,-33.5585749407188,-0.320395833333307,-0.340642235478876,-0.300149431187737,12,0,0
