cell,effect,metric,meanEffect,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-aloha,AxGxS,RMSE,3.46944695195361e-18,-5.18429092662442e-19,7.45732299656967e-18,12,0,1
n5-aloha,AxGxS,MEAN_TRUE_AOI,-1.15648231731787e-18,-5.69687892731014e-18,3.3839142926744e-18,12,0,1
n5-aloha,AxGxS,OFFERED_UTIL,9.25185853854297e-18,-2.70713143413952e-17,4.55750314184811e-17,12,0,1
n5-aloha,AxGxS,CHANNEL_UTIL,9.25185853854297e-18,-1.11113448080572e-17,2.96150618851432e-17,12,0,1
n5-aloha,AxGxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-aloha,AxGxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-aloha,AxGxS,ACK_ATTEMPTED,0,0,0,12,0,1
n10-ring2,A,RMSE,-0.00682550535324236,-0.00750462303827985,-0.00614638766820487,12,0,0
n10-ring2,A,MEAN_TRUE_AOI,-0.00698985232567321,-0.0075504035017011,-0.00642930114964532,12,0,0
n10-ring2,A,OFFERED_UTIL,-0.104819444444441,-0.116281176432177,-0.0933577124567058,12,0,0
n10-ring2,A,CHANNEL_UTIL,-0.0759947916666762,-0.0806698553414997,-0.0713197279918526,12,0,0
n10-ring2,A,COLLISION_FRAMES,-456.395833333333,-494.637768053715,-418.153898612951,12,0,0
n10-ring2,A,DATA_ATTEMPTED,-64.6666666666667,-99.6044722413851,-29.7288610919482,12,0,0
n10-ring2,A,ACK_ATTEMPTED,-799.4375,-806.099635287436,-792.775364712564,12,0,0
n10-ring2,G,RMSE,0.00105752321711987,0.000276495057619756,0.00183855137661999,12,0,0
n10-ring2,G,MEAN_TRUE_AOI,0.00104596067282634,0.000462664681115017,0.00162925666453766,12,0,0
n10-ring2,G,OFFERED_UTIL,-0.0215868055555531,-0.0302051978862469,-0.0129684132248593,12,0,0
n10-ring2,G,CHANNEL_UTIL,-0.00937326388888509,-0.0125654703739719,-0.0061810574037983,12,0,0
n10-ring2,G,COLLISION_FRAMES,-58.2291666666667,-88.5464358450134,-27.9118974883199,12,0,0
n10-ring2,G,DATA_ATTEMPTED,-69.6666666666667,-96.731250357249,-42.6020829760843,12,0,0
n10-ring2,G,ACK_ATTEMPTED,12.1458333333333,4.70918887770453,19.5824777889621,12,0,0
n10-ring2,S,RMSE,0.0048557192426747,0.00393917306300397,0.00577226542234544,12,0,0
n10-ring2,S,MEAN_TRUE_AOI,0.00490247176814342,0.00377962509132266,0.00602531844496418,12,0,0
n10-ring2,S,OFFERED_UTIL,-0.172416666666648,-0.182904462205059,-0.161928871128237,12,0,0
n10-ring2,S,CHANNEL_UTIL,-0.0618906250000095,-0.0662084018749841,-0.057572848125035,12,0,0
n10-ring2,S,COLLISION_FRAMES,-621.270833333333,-658.206918327753,-584.334748338914,12,0,0
n10-ring2,S,DATA_ATTEMPTED,-495.708333333333,-529.352659081503,-462.064007585163,12,0,0
n10-ring2,S,ACK_ATTEMPTED,-66.8541666666667,-77.3621243150439,-56.3462090182894,12,0,0
n10-ring2,AxG,RMSE,-0.00054614617761215,-0.00126285654536642,0.000170564190142115,12,0,1
n10-ring2,AxG,MEAN_TRUE_AOI,-0.000652886361841575,-0.00134819285251935,4.2420128836199e-05,12,0,1
n10-ring2,AxG,OFFERED_UTIL,0.0114374999999985,0.00482720541960286,0.0180477945803942,12,0,0
n10-ring2,AxG,CHANNEL_UTIL,0.00655034722221752,0.00300141439898508,0.01009928004545,12,0,0
n10-ring2,AxG,COLLISION_FRAMES,24.3958333333333,2.40939441575889,46.3822722509078,12,0,0
n10-ring2,AxG,DATA_ATTEMPTED,41.0416666666667,20.9356093064093,61.1477240269241,12,0,0
n10-ring2,AxG,ACK_ATTEMPTED,-15.5625,-22.5065006958598,-8.61849930414016,12,0,0
n10-ring2,AxS,RMSE,-0.000329252808784879,-0.000967341377420447,0.000308835759850689,12,0,1
n10-ring2,AxS,MEAN_TRUE_AOI,0.000205125167811741,-0.000435172250345625,0.000845422585969106,12,0,1
n10-ring2,AxS,OFFERED_UTIL,0.0188298611111092,0.00882327588372722,0.0288364463384912,12,0,0
n10-ring2,AxS,CHANNEL_UTIL,0.0109496527777692,0.00715692420844316,0.0147423813470952,12,0,0
n10-ring2,AxS,COLLISION_FRAMES,94.4375,56.5756426951395,132.29935730486,12,0,0
n10-ring2,AxS,DATA_ATTEMPTED,42.6666666666667,9.53237606683548,75.8009572664978,12,0,0
n10-ring2,AxS,ACK_ATTEMPTED,50.7708333333333,39.4400710977013,62.1015955689654,12,0,0
n10-ring2,GxS,RMSE,-4.10864543062249e-05,-0.000425440176942579,0.000343267268330129,12,0,1
n10-ring2,GxS,MEAN_TRUE_AOI,-0.000327331595988326,-0.000929517878610359,0.000274854686633707,12,0,1
n10-ring2,GxS,OFFERED_UTIL,0.0317222222222186,0.0241929741959718,0.0392514702484654,12,0,0
n10-ring2,GxS,CHANNEL_UTIL,0.0129670138888869,0.0104119868007164,0.0155220409770575,12,0,0
n10-ring2,GxS,COLLISION_FRAMES,89.0208333333333,61.6353295173825,116.406337149284,12,0,0
n10-ring2,GxS,DATA_ATTEMPTED,98.9166666666667,74.4223867216535,123.41094661168,12,0,0
n10-ring2,GxS,ACK_ATTEMPTED,-15.8125,-22.3175066533605,-9.30749334663949,12,0,0
n10-ring2,AxGxS,RMSE,8.66723339337215e-05,-0.000447308224745535,0.000620652892612978,12,0,1
n10-ring2,AxGxS,MEAN_TRUE_AOI,0.000130893153281216,-0.000403896321655174,0.000665682628217607,12,0,1
n10-ring2,AxGxS,OFFERED_UTIL,-0.00366319444444404,-0.0106255718358464,0.00329918294695836,12,0,1
n10-ring2,AxGxS,CHANNEL_UTIL,-0.000866319444438315,-0.00376033197243441,0.00202769308355778,12,0,1
n10-ring2,AxGxS,COLLISION_FRAMES,-11.3541666666667,-37.3186385641697,14.6103052308363,12,0,1
n10-ring2,AxGxS,DATA_ATTEMPTED,-12.7083333333333,-34.8880054063392,9.47133873967249,12,0,1
n10-ring2,AxGxS,ACK_ATTEMPTED,11.6458333333333,5.47399330718966,17.817673359477,12,0,0
n20-ring2,A,RMSE,-0.0141226807779851,-0.0209628401784505,-0.00728252137751968,12,0,0
n20-ring2,A,MEAN_TRUE_AOI,-0.0173484479775037,-0.0303688531959146,-0.00432804275909275,12,0,0
n20-ring2,A,OFFERED_UTIL,0.044420138888904,0.0344608019613616,0.0543794758164465,12,0,0
n20-ring2,A,CHANNEL_UTIL,-0.00307638888888713,-0.00374403908442829,-0.00240873869334598,12,0,0
n20-ring2,A,COLLISION_FRAMES,-34.2291666666667,-68.7251755175153,0.266842184181918,12,0,1
n20-ring2,A,DATA_ATTEMPTED,257.395833333333,226.297257429071,288.494409237596,12,0,0
n20-ring2,A,ACK_ATTEMPTED,-414.458333333333,-421.951323550987,-406.96534311568,12,0,0
n20-ring2,G,RMSE,-0.0207169228222748,-0.0270529828613376,-0.014380862783212,12,0,0
n20-ring2,G,MEAN_TRUE_AOI,-0.0531149055447394,-0.0647015995956122,-0.0415282114938667,12,0,0
n20-ring2,G,OFFERED_UTIL,-0.416767361111164,-0.427507588693206,-0.406027133529122,12,0,0
n20-ring2,G,CHANNEL_UTIL,-0.0990902777777227,-0.100124300262147,-0.0980562552932981,12,0,0
n20-ring2,G,COLLISION_FRAMES,-1327.5625,-1370.40859882587,-1284.71640117413,12,0,0
n20-ring2,G,DATA_ATTEMPTED,-1308.39583333333,-1341.48690803625,-1275.30475863041,12,0,0
n20-ring2,G,ACK_ATTEMPTED,191.291666666667,183.369546397191,199.213786936142,12,0,0
n20-ring2,S,RMSE,-0.2281624569821,-0.233441400133262,-0.222883513830939,12,0,0
n20-ring2,S,MEAN_TRUE_AOI,-0.264127145071741,-0.273986149598674,-0.254268140544808,12,0,0
n20-ring2,S,OFFERED_UTIL,-1.33747222222249,-1.34847839754682,-1.32646604689815,12,0,0
n20-ring2,S,CHANNEL_UTIL,-0.0874097222221742,-0.0895331068745568,-0.0852863375697917,12,0,0
n20-ring2,S,COLLISION_FRAMES,-5004.60416666667,-5041.8927244267,-4967.31560890664,12,0,0
n20-ring2,S,DATA_ATTEMPTED,-4009.52083333333,-4045.22126931099,-3973.82039735567,12,0,0
n20-ring2,S,ACK_ATTEMPTED,-37.75,-47.245583986133,-28.254416013867,12,0,0
n20-ring2,AxG,RMSE,-0.000932879437907763,-0.0085097542493591,0.00664399537354357,12,0,1
n20-ring2,AxG,MEAN_TRUE_AOI,0.00216043874828757,-0.00928433700778113,0.0136052145043563,12,0,1
n20-ring2,AxG,OFFERED_UTIL,0.0437500000000214,0.0356584682319598,0.0518415317680829,12,0,0
n20-ring2,AxG,CHANNEL_UTIL,0.000666666666666362,-0.000177950782305009,0.00151128411563773,12,0,1
n20-ring2,AxG,COLLISION_FRAMES,102.8125,75.5428534278816,130.082146572118,12,0,0
n20-ring2,AxG,DATA_ATTEMPTED,189.229166666667,164.160644661075,214.297688672259,12,0,0
n20-ring2,AxG,ACK_ATTEMPTED,-191.041666666667,-199.00594665111,-183.077386682223,12,0,0
n20-ring2,AxS,RMSE,0.0026845061267472,-0.00276072861212315,0.00812974086561755,12,0,1
n20-ring2,AxS,MEAN_TRUE_AOI,0.00805713281418981,-0.00472574324740083,0.0208400088757804,12,0,1
n20-ring2,AxS,OFFERED_UTIL,-0.0422673611111303,-0.0516995156312086,-0.0328352065910519,12,0,0
n20-ring2,AxS,CHANNEL_UTIL,-0.00138888888888826,-0.00192820975814712,-0.00084956801962941,12,0,0
n20-ring2,AxS,COLLISION_FRAMES,-138.979166666667,-168.757043787943,-109.201289545391,12,0,0
n20-ring2,AxS,DATA_ATTEMPTED,-129.979166666667,-159.547794775588,-100.410538557746,12,0,0
n20-ring2,AxS,ACK_ATTEMPTED,38.25,28.934390240454,47.565609759546,12,0,0
n20-ring2,GxS,RMSE,0.0691359622653895,0.0626514637673841,0.0756204607633949,12,0,0
n20-ring2,GxS,MEAN_TRUE_AOI,0.0929138276011241,0.0827473712716108,0.103080283930637,12,0,0
n20-ring2,GxS,OFFERED_UTIL,0.363836805555614,0.35432122391588,0.373352387195348,12,0,0
n20-ring2,GxS,CHANNEL_UTIL,0.0739305555555141,0.0727778028466977,0.0750833082643305,12,0,0
n20-ring2,GxS,COLLISION_FRAMES,1205.10416666667,1170.306669282,1239.90166405134,12,0,0
n20-ring2,GxS,DATA_ATTEMPTED,1121.0625,1091.14011022872,1150.98488977128,12,0,0
n20-ring2,GxS,ACK_ATTEMPTED,-115.5,-121.56141894615,-109.43858105385,12,0,0
n20-ring2,AxGxS,RMSE,-0.00289916288160087,-0.00918229848659661,0.00338397272339486,12,0,1
n20-ring2,AxGxS,MEAN_TRUE_AOI,-0.00482762816353019,-0.0144113847957738,0.00475612846871339,12,0,1
n20-ring2,AxGxS,OFFERED_UTIL,-0.0334930555555801,-0.0393775960391173,-0.0276085150720428,12,0,0
n20-ring2,AxGxS,CHANNEL_UTIL,0.00220833333333209,0.00159321695982462,0.00282344970683956,12,0,0
n20-ring2,AxGxS,COLLISION_FRAMES,-87.2708333333333,-105.983186289113,-68.5584803775536,12,0,0
n20-ring2,AxGxS,DATA_ATTEMPTED,-130.0625,-148.830380043852,-111.294619956148,12,0,0
n20-ring2,AxGxS,ACK_ATTEMPTED,115.5,109.466648597308,121.533351402692,12,0,0
