seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
1,Causal-v3,burst 5s,sparse4,Moderate,0.388911747995982,0.0349279389062621,1.04200603879525,4.44,1.59558139534884,32920,25392,30,1,0.0425654264838951,749.4,1,0,0.757252563015453
2,Causal-v3,burst 5s,sparse4,Moderate,0.379031634170976,0.0804719603783794,1.01280935095699,4.24,1.60093023255814,32873,25389,30,1,0.0804719603783794,763.8,1,1,0.676165439712138
3,Causal-v3,burst 5s,sparse4,Moderate,0.384114908810946,0.0778226770425699,0.977824999073683,4.36,1.57348837209302,32977,25435,30,1,0.0778226770425699,753.2,1,0,0.596756399690105
4,Causal-v3,burst 5s,sparse4,Moderate,0.382730293847571,0.109863097374981,1.06918067101693,4.36,1.5153488372093,32834,25498,30,1,0.122628437726926,757,1,1,0.600600424394693
5,Causal-v3,burst 5s,sparse4,Moderate,0.375454933816929,0.0821834728196588,0.98556487536318,4.28,1.59558139534884,32901,25306,30,1,0.0910407004299766,762.8,1,0,0.655218390002894
6,Causal-v3,burst 5s,sparse4,Moderate,0.380907898330968,0.0245090931130725,0.916674703651503,4.34,1.54558139534884,32943,25437,30,1,0.0272361693174991,758.2,1,1,0.767121366412772
7,Causal-v3,burst 5s,sparse4,Moderate,0.392388363872779,0.0571245972296028,0.95574579886147,4.36,1.67418604651163,32922,25416,30,1,0.0571245972296028,741,1,0,0.716378301283265
8,Causal-v3,burst 5s,sparse4,Moderate,0.382425075588714,0.034418834740511,1.011769246967,4.34,1.59511627906977,32936,25480,30,1,0.0351615569415271,756.2,1,0,0.830897682004959
9,Causal-v3,burst 5s,sparse4,Moderate,0.375300959948641,0.0545892491731229,0.934235434319382,4.28,1.52255813953489,32948,25383,30,1,0.0545892491731229,768.8,1,0,0.846199227287356
10,Causal-v3,burst 5s,sparse4,Moderate,0.374268040651183,0.078980067822285,0.9830309445325,4.3,1.58976744186046,32858,25438,30,1,0.078980067822285,767,1,0,0.726269601838218
11,Causal-v3,burst 5s,sparse4,Moderate,0.382759200756771,0.0421439128990919,0.957314494963666,4.36,1.58767441860465,32942,25369,30,1,0.0421439128990919,762.2,1,0,0.709762587311614
12,Causal-v3,burst 5s,sparse4,Moderate,0.377916572779026,0.0284514503158207,0.970701574243535,4.34,1.64488372093023,32876,25305,30,1,0.0422848604987523,771,1,0,0.776815482800531
13,Causal-v3,burst 5s,sparse4,Moderate,0.375951117809794,0.0595365333324171,1.02244055976972,4.36,1.53162790697675,32802,25471,30,1,0.0595365333324171,761.6,1,0,0.772638523918183
14,Causal-v3,burst 5s,sparse4,Moderate,0.37371320906553,0.0253751482437079,0.981664039241809,4.32,1.53720930232558,32901,25501,30,1,0.0788347587494002,762.4,1,0,0.598780392185306
15,Causal-v3,burst 5s,sparse4,Moderate,0.376869498749276,0.0181160499189384,0.960805697727421,4.3,1.58930232558139,32948,25373,30,1,0.0322576450106172,770.4,1,0,0.792182632956209
16,Causal-v3,burst 5s,sparse4,Moderate,0.387688771084517,0.0133462171532851,1.03054443967691,4.3,1.61813953488372,32898,25360,30,1,0.0411510340117342,750.2,1,0,0.742297539489702
17,Causal-v3,burst 5s,sparse4,Moderate,0.383240721353665,0.0653488821380045,0.99432678451938,4.3,1.54116279069767,32907,25361,30,1,0.0653488821380045,765.6,1,0,0.77499900889207
18,Causal-v3,burst 5s,sparse4,Moderate,0.381209360244758,0.046028601723355,0.974179379827176,4.32,1.58,32856,25308,30,1,0.046028601723355,758.4,1,0,0.785742422020773
19,Causal-v3,burst 5s,sparse4,Moderate,0.369022471845511,0.0387832595748067,0.938120370388543,4.3,1.56232558139535,33011,25482,30,1,0.0387832595748067,782.4,1,0,0.772932832626484
20,Causal-v3,burst 5s,sparse4,Moderate,0.380725107176524,0.0245717548000574,1.04181371334514,4.32,1.52232558139535,32906,25294,30,1,0.0444299843958098,765,1,1,0.774335055745829
1,P10,none,ring2,Stressed,0.271939022699912,0.297255724580066,0.35223824897884,NaN,0.320416666666667,14400,0,30,0,0.297255724580066,480,1,0,0.498132719947257
2,P10,none,ring2,Stressed,0.268040221957022,0.308664531937925,0.35525083478905,NaN,0.310000000000001,14400,0,30,0,0.308664531937925,480,1,0,0.498132719947257
3,P10,none,ring2,Stressed,0.266897040618396,0.305059107891333,0.343768203087524,NaN,0.318333333333335,14400,0,30,0,0.305059107891333,480,1,0,0.498132719947257
4,P10,none,ring2,Stressed,0.266001050045547,0.324879196246789,0.360958658300313,NaN,0.320416666666666,14400,0,30,0,0.324879196246789,480,1,0,0.498132719947257
5,P10,none,ring2,Stressed,0.268776322752956,0.295852916839564,0.350401629027436,NaN,0.322500000000002,14400,0,30,0,0.295852916839564,480,1,0,0.498132719947257
6,P10,none,ring2,Stressed,0.266356927995243,0.309355854590912,0.345041628292992,NaN,0.312083333333333,14400,0,30,0,0.309355854590912,480,1,0,0.498132719947257
7,P10,none,ring2,Stressed,0.267448524860538,0.3063776557946,0.35658514509077,NaN,0.326666666666668,14400,0,30,0,0.3063776557946,480,1,0,0.498132719947257
8,P10,none,ring2,Stressed,0.269243004439788,0.299590903415522,0.357511452027199,NaN,0.32875,14400,0,30,0,0.299590903415522,480,1,0,0.498132719947257
9,P10,none,ring2,Stressed,0.266657747150822,0.314661738505681,0.354470608596825,NaN,0.318333333333333,14400,0,30,0,0.314661738505681,480,1,0,0.498132719947257
10,P10,none,ring2,Stressed,0.26945649122977,0.296380794995233,0.363404294995965,NaN,0.326666666666669,14400,0,30,0,0.296380794995233,480,1,0,0.498132719947257
11,P10,none,ring2,Stressed,0.266855223126699,0.307972571416352,0.345851566217668,NaN,0.318333333333335,14400,0,30,0,0.307972571416352,480,1,0,0.498132719947257
12,P10,none,ring2,Stressed,0.264268040118201,0.311289389117408,0.348777151676651,NaN,0.314166666666667,14400,0,30,0,0.311289389117408,480,1,0,0.498132719947257
13,P10,none,ring2,Stressed,0.267435360963064,0.306175929261903,0.352871575703557,NaN,0.322499999999999,14400,0,30,0,0.306175929261903,480,1,0,0.498132719947257
14,P10,none,ring2,Stressed,0.267541605730605,0.300318439172796,0.357723137016886,NaN,0.32458333333333,14400,0,30,0,0.300318439172796,480,1,0,0.498132719947257
15,P10,none,ring2,Stressed,0.268096942546189,0.31171667660426,0.354866717498883,NaN,0.320416666666668,14400,0,30,0,0.31171667660426,480,1,0,0.498132719947257
16,P10,none,ring2,Stressed,0.268566283931425,0.296144106688627,0.343783168189168,NaN,0.330833333333333,14400,0,30,0,0.296144106688627,480,1,0,0.498132719947257
