seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant
16086004,periodic-iid20,periodic,iid20,0.2,0,824793,2363678,564740,NaN,NaN,NaN,509155,0.082287199206436,0.505724982770551,0,0,0.255999999999998,3.07199999999997,0,1000,2090,510,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086004,migration-iid20,migration,iid20,0.2,0.2,824793,2363678,564740,1179293029,19319303525,149768599,509155,0.0823775811526279,0.510493147997765,0,0,0.243343999999998,2.74636799999998,0.17376,894,1867,461,0,0,1,1,1,0,7,9,47,50,1,53,0,194,5430,0.17376,194,0.17376,1867,461,0,1867,461,0,0,0,0,1,0,0,0,29598,29349,0,0,0
16086004,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,824793,2363678,564740,1179848482,19313971254,149768599,509155,0.0823775811526279,0.510493147997765,0,0,0.243343999999998,2.74636799999998,0.17376,894,1867,461,0,0,1,1,1,0,7,9,47,50,1,53,0,194,5430,0.17376,194,0.17376,1867,461,0,1867,461,0,0,0,0,1,0,0,0,29598,29349,1,0,0
16086004,migration-iid20-response-blackout,migration,iid20,0.2,0.2,824793,2363678,564740,1123916433,19123889883,180646098,509155,0.177160624505751,0.166621542993208,1,0,0.250399999999998,2.62963199999998,0.375168,856,1801,451,0,0,1,1,1,0,7,9,47,50,0,NaN,1,394,11724,0.375168,394,0.375168,1801,451,0,1801,451,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086005,periodic-zero,periodic,zero,0,0,1189804,2363678,564740,NaN,NaN,NaN,509155,0.0631406767270462,0.528749450772008,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086005,migration-zero,migration,zero,0,0,1189804,2363678,564740,3414614293,1830117768,149454640,509155,0.061429804416489,0.53129335983334,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086005,periodic-iid20,periodic,iid20,0.2,0,1189804,2363678,564740,NaN,NaN,NaN,509155,0.0854939409043006,0.494018513117236,0,0,0.255999999999998,3.07199999999997,0,1000,2061,539,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086005,migration-iid20,migration,iid20,0.2,0.2,1189804,2363678,564740,1180876595,19349860114,150315281,509155,0.0836927701508094,0.502360373799306,0,0,0.243455999999998,2.74943999999998,0.172032,895,1870,460,0,0,1,1,1,0,7,9,47,50,1,52,0,192,5376,0.172032,192,0.172032,1870,460,0,1870,460,0,0,0,0,1,0,0,0,29545,29348,0,0,0
16086005,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,1189804,2363678,564740,1181319545,19345155311,150315281,509155,0.0836927701508094,0.502360373799306,0,0,0.243455999999998,2.74943999999998,0.172032,895,1870,460,0,0,1,1,1,0,7,9,47,50,1,52,0,192,5376,0.172032,192,0.172032,1870,460,0,1870,460,0,0,0,0,1,0,0,0,29545,29348,1,0,0
16086005,migration-iid20-response-blackout,migration,iid20,0.2,0.2,1189804,2363678,564740,1123857293,19155316243,180135468,509155,0.17719633085549,0.164932310029842,1,0,0.250303999999998,2.62963199999998,0.374016,856,1810,442,0,0,1,1,1,0,7,9,47,50,0,NaN,1,393,11688,0.374016,393,0.374016,1810,442,0,1810,442,0,0,0,0,1,1.77635683940025e-15,0,0,32353,29295,0,1,0
