seed,scenario,method,receiver,sender,sampleCount,meanPhysicalAge_s,maxPhysicalAge_s,meanPositionError_m,maxPositionError_m,meanLocalPositionBound_m,maxLocalPositionBound_m,meanGlobalPositionBound_m,positionCoverage,velocityCoverage,maxPositionViolation_m,maxVelocityViolation_mps,medianLocalPositionTightness,p95LocalPositionTightness,p95GlobalPositionTightness,p95VelocityTightness,maxAgeConventionResidual_s,maxPayloadGenerationResidual
27020003,Stressed,Causal-v3 frozen,2,3,1501,0.184956695536309,0.580000000000002,0.0414423121916605,0.149437589454606,0.085176734042493,0.466108375567048,11.1412109260493,1,1,5.55111512312578e-17,6.93889390390723e-18,0.533295840418207,0.755873201695627,0.00750747151536642,0.18580134407238,0,0
27020003,Stressed,Causal-v3 frozen,4,3,1501,0.175909393737508,0.640000000000001,0.039492729030144,0.128508442122804,0.0784026022096946,0.554939458812637,10.5934827448368,1,1,5.55111512312578e-17,6.93889390390723e-18,0.535246669707503,0.75513203804205,0.00750740636997956,0.193380040132588,0,0
27020003,Stressed,Causal-v3 frozen,3,4,1501,0.17892071952032,0.58,0.0396883311890922,0.151665389230748,0.079563197872079,0.468861227234064,10.7752650233178,1,1,2.25514051876985e-17,1.38777878078145e-17,0.532493774987249,0.733733234099385,0.00685450521295912,0.15030244654137,0,0
27020003,Stressed,Causal-v3 frozen,5,4,1501,0.170832778147901,0.460000000000001,0.0378416130521135,0.119401080587567,0.0735446370696771,0.316977851458659,10.2856500999334,1,1,2.25514051876985e-17,1.38777878078145e-17,0.53535436627743,0.734874440689754,0.00689525359730503,0.148430085548325,0,0
27020003,Stressed,Causal-v3 frozen,4,5,1501,0.176682211858761,0.58,0.0380643933694698,0.119047320829451,0.0764905743006196,0.465957030684983,10.6394435709527,1,1,0,0,0.530468002462961,0.710486416693723,0.00673419665437703,0.208398854362616,0,0
27020004,Stressed,Causal-v3 frozen,3,2,1501,0.17288474350433,0.460000000000001,0.0386801100019759,0.135832552867539,0.0755981842824364,0.319540656148461,10.4100690206529,1,1,1.73472347597681e-17,2.77555756156289e-17,0.532267146033667,0.776611582917967,0.00858816809063649,0.215537302534602,0,0
27020004,Stressed,Causal-v3 frozen,2,3,1501,0.168421052631579,0.399999999999999,0.0383602369164451,0.178874917521801,0.0724200907604312,0.303559110117878,10.1394371752165,1,1,5.55111512312578e-17,6.93889390390723e-18,0.537667809668509,0.739760116620048,0.0073544380734468,0.192129467468241,0,0
27020004,Stressed,Causal-v3 frozen,4,3,1501,0.166528980679547,0.459999999999997,0.0374839302827972,0.14126615790675,0.0712774364823675,0.31322039096603,10.0255610926049,1,1,5.55111512312578e-17,6.93889390390723e-18,0.546775265783215,0.754115519145121,0.00730310254143165,0.19212244137686,0,0
27020004,Stressed,Causal-v3 frozen,3,4,1501,0.168367754830113,0.460000000000001,0.0371954651961306,0.101131847459994,0.0715108586753918,0.312794144483002,10.1364850099933,1,1,2.25514051876985e-17,1.38777878078145e-17,0.537249826498767,0.740639265241516,0.00692853995753817,0.15274834961386,0,0
27020004,Stressed,Causal-v3 frozen,5,4,1501,0.180786142571619,0.760000000000002,0.0397045808802559,0.155508394659668,0.0817103708877708,0.749725446483874,10.8892636908727,1,1,2.25514051876985e-17,1.38777878078145e-17,0.532989982428023,0.743147965599549,0.00693100740767859,0.157068662136732,0,0
27020004,Stressed,Causal-v3 frozen,4,5,1501,0.170419720186542,0.52,0.0369539598274475,0.160071887986819,0.0725513471678268,0.384400694272396,10.2608874083944,1,1,0,0,0.535254329025858,0.705862138117411,0.00681487680449596,0.21332765893265,0,0
27020005,Stressed,Causal-v3 frozen,3,2,1501,0.175176548967355,0.52,0.0391768590248141,0.137284696341001,0.0771019319797611,0.386369939475785,10.5486321119254,1,1,1.73472347597681e-17,2.77555756156289e-17,0.532472489155758,0.771847296811543,0.00867355134042072,0.216652062952934,0,0
27020005,Stressed,Causal-v3 frozen,2,3,1501,0.169233844103931,0.400000000000002,0.0382255784856596,0.12159393143102,0.0726812666759814,0.254553848717879,10.1887317788141,1,1,5.55111512312578e-17,6.93889390390723e-18,0.53912542103433,0.742360549743191,0.00748318495768744,0.185883610597238,0,0
27020005,Stressed,Causal-v3 frozen,4,3,1501,0.18599600266489,0.76,0.0416255803118626,0.164195819368751,0.0876015370381932,0.763276736421591,11.2057593604264,1,1,5.55111512312578e-17,6.93889390390723e-18,0.535394332930568,0.752170834910746,0.00750999415573797,0.183998904674922,0,0
27020005,Stressed,Causal-v3 frozen,3,4,1501,0.169913391072618,0.52,0.037469592309684,0.106236722168691,0.0727729822064128,0.386675334118579,10.2302731512325,1,1,2.25514051876985e-17,1.38777878078145e-17,0.541127840366796,0.739209706706605,0.00688943283950985,0.160219601578647,0,0
27020005,Stressed,Causal-v3 frozen,5,4,1501,0.174097268487675,0.520000000000003,0.0384969663024567,0.104353134200586,0.0761416041758268,0.386779484454457,10.4834792804797,1,1,2.25514051876985e-17,1.38777878078145e-17,0.536069423889225,0.730772475189706,0.00684087566948627,0.155765409811586,0,0
27020005,Stressed,Causal-v3 frozen,4,5,1501,0.178334443704197,0.52,0.0383376848100855,0.103097532277555,0.0780388847486242,0.385706888744606,10.7398571618921,1,1,0,0,0.53200447985727,0.715857746985417,0.00688291995495612,0.224889215216918,0,0
