cell,arm,N,rho,epsilon,n,meanAoII,meanMaxAoII,meanAttemptRate,meanSuccessRate,meanCollisionRate,meanFeedbackRate,meanPhaseDivergence
n20-rho20-eps05,max-age-first,20,0.2,0.05,30,0.00223875,0.0404516666666667,0.211009523809524,0.200277777777778,0,0,0
n20-rho20-eps05,round-robin,20,0.2,0.05,30,0.838404916666667,10.5716516666667,0.190468253968254,0.180839682539683,0,0,0
n20-rho20-eps05,zero-wait,20,0.2,0.05,30,5.14946033333333,49.97532,0.207447619047619,0.160849206349206,0.0184920634920635,0,0
n20-rho20-eps20,delta-private-delayed,20,0.2,0.2,30,9183.9983325,9341.40217166667,0.13755873015873,0.021284126984127,0.0375253968253968,1.27984126984127,0.977155555555555
n20-rho20-eps20,delta-public,20,0.2,0.2,30,10610.51007525,10761.8688766667,0.0338015873015873,0.0030968253968254,0.00714603174603175,0.0110333333333333,0
n20-rho20-eps20,max-age-first,20,0.2,0.2,30,0.00704225,0.120671666666667,0.249726984126984,0.199714285714286,0,0,0
n20-rho20-eps20,round-robin,20,0.2,0.2,30,1.71799983333333,20.3024966666667,0.218384126984127,0.174728571428572,0,0,0
n20-rho20-eps20,zero-wait,20,0.2,0.2,30,7.56733875,67.4080116666667,0.243249206349206,0.153336507936508,0.024931746031746,0,0
n20-rho50-eps05,delta-private-delayed,20,0.5,0.05,30,2541.00675325,2624.72388333333,1.10383333333333,0.20678253968254,0.345325396825397,11.2604444444444,0.900406349206349
n20-rho50-eps05,delta-public,20,0.5,0.05,30,10809.2683333333,10854.8,0.00471428571428571,0.00296666666666667,0.000703174603174603,0.00381746031746032,0
n20-rho50-eps05,max-age-first,20,0.5,0.05,30,0.020611,0.29869,0.51891746031746,0.492831746031746,0,0,0
n20-rho50-eps05,round-robin,20,0.5,0.05,30,1.90742441666667,16.0055916666667,0.409212698412698,0.388853968253968,0,0,0
n20-rho50-eps05,zero-wait,20,0.5,0.05,30,14.5076099166667,89.5066666666667,0.455971428571429,0.279122222222222,0.0755619047619048,0,0
n20-rho50-eps20,delta-private-delayed,20,0.5,0.2,30,8518.29040783333,8621.89967166667,0.181814285714286,0.0352825396825397,0.0545761904761905,1.97368253968254,0.949974603174603
n20-rho50-eps20,delta-public,20,0.5,0.2,30,10851.995,10921.8333333333,0.00595079365079365,0.00199365079365079,0.00107777777777778,0.00355714285714286,0
n20-rho50-eps20,max-age-first,20,0.5,0.2,30,0.05979225,0.732621666666667,0.606779365079365,0.485328571428571,0,0,0
n20-rho50-eps20,round-robin,20,0.5,0.2,30,3.69077425,29.6819083333333,0.451247619047619,0.361152380952381,0,0,0
n20-rho50-eps20,zero-wait,20,0.5,0.2,30,20.64794175,118.050758333333,0.512428571428572,0.249879365079365,0.0923285714285714,0,0
n5-rho20-eps05,delta-private-delayed,5,0.2,0.05,30,8934.29967066666,8962.37051166667,0.0932492063492064,0.0346698412698413,0.0247793650793651,0.306714285714286,0.702231746031746
n5-rho20-eps05,delta-public,5,0.2,0.05,30,10735,10755.3666666667,0.00376349206349206,0.00321428571428571,0.000193650793650794,0.00355873015873016,0
n5-rho20-eps05,max-age-first,5,0.2,0.05,30,0.00745666666666667,0.0346516666666667,0.209685714285714,0.199036507936508,0,0,0
n5-rho20-eps05,round-robin,5,0.2,0.05,30,0.206846,0.935488333333333,0.193038095238095,0.183204761904762,0,0,0
n5-rho20-eps05,zero-wait,5,0.2,0.05,30,1.124806,4.483485,0.20848253968254,0.16485873015873,0.0169920634920635,0,0
n5-rho20-eps20,delta-private-delayed,5,0.2,0.2,30,10340.2503226667,10439.8835333333,0.0291412698412698,0.00768095238095238,0.00799047619047619,0.088420634920635,0.731719047619048
n5-rho20-eps20,delta-public,5,0.2,0.2,30,10855.02,10876.1,0.00238412698412698,0.00180952380952381,4.6031746031746e-05,0.00233809523809524,0
n5-rho20-eps20,max-age-first,5,0.2,0.2,30,0.0237496666666667,0.10601,0.246442857142857,0.19694126984127,0,0,0
n5-rho20-eps20,round-robin,5,0.2,0.2,30,0.431527666666667,1.89799166666667,0.221365079365079,0.176725396825397,0,0,0
n5-rho20-eps20,zero-wait,5,0.2,0.2,30,1.682795,6.42479666666667,0.244328571428571,0.15734126984127,0.0230619047619048,0,0
n5-rho50-eps05,delta-private-delayed,5,0.5,0.05,30,7218.757358,7230.84438166667,0.318469841269841,0.0766571428571428,0.10005873015873,0.904420634920635,0.590868253968254
n5-rho50-eps05,delta-public,5,0.5,0.05,30,10826.8333333333,10835.2,0.00430634920634921,0.00321587301587301,0.000447619047619048,0.00382222222222222,0
n5-rho50-eps05,max-age-first,5,0.5,0.05,30,0.0500656666666667,0.209033333333333,0.505580952380952,0.480031746031746,0,0,0
n5-rho50-eps05,round-robin,5,0.5,0.05,30,0.480655,1.91009,0.421920634920635,0.400549206349206,0,0,0
n5-rho50-eps05,zero-wait,5,0.5,0.05,30,3.27146066666667,10.5430716666667,0.467712698412699,0.295896825396825,0.0738984126984127,0,0
n5-rho50-eps20,delta-private-delayed,5,0.5,0.2,30,10032.71128,10048.611155,0.0623206349206349,0.0139761904761905,0.0188857142857143,0.181365079365079,0.633942857142857
n5-rho50-eps20,delta-public,5,0.5,0.2,30,10877.8,10887.7333333333,0.0027015873015873,0.0019,0.000147619047619048,0.00254126984126984,0
n5-rho50-eps20,max-age-first,5,0.5,0.2,30,0.127226666666667,0.483646666666667,0.57754126984127,0.461344444444444,0,0,0
n5-rho50-eps20,round-robin,5,0.5,0.2,30,0.939665333333334,3.57144333333333,0.464415873015873,0.371012698412698,0,0,0
n5-rho50-eps20,zero-wait,5,0.5,0.2,30,4.67846533333333,14.3854416666667,0.522601587301587,0.26528253968254,0.089684126984127,0,0
