seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16041002,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113064899509,113064899509,2415810,4137828,504292279,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,10,10295,9747,548,0,25,14,0,11,0,5,0.537525038162408,0.374816425232144,1,0,0
16041002,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113064899509,113064899509,2084306,4126176,504105321,NaN,NaN,NaN,NaN,NaN,1,1,12,0.98625,0,0,0,0,NaN,NaN,NaN,0,1977,1772,5630,3749,33741,32012,1729,0,3945,13,10272,10272,0,0,31,20,0,11,0,5,0.535947008182481,0.373752970245672,1,0,0
16041002,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113064899509,113064899509,1749024,734767,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,617,2798,2798,0,0,1366,1170,0,196,0,142,0.166310637884444,0.147888853118779,1,0,0
16041002,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113064899509,74368988881,1857881,4496938,501607650,1,2,421,0,0,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,82,9497,9497,0,0,169,158,0,11,0,5,0.517388003418561,0.395433729969882,1,0,0
16041002,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113064899509,113064899509,1760359,4137789,504265273,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,10,10291,10291,0,0,25,14,0,11,0,5,0.53735351316459,0.374850730231708,1,0,0
16041002,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113064899509,113064899509,1760362,4140185,516714651,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98275,0,0,0,0,222,221,NaN,0,2000,1832,5951,3832,34488,34488,0,0,3931,13,10235,10235,0,0,32,21,0,11,0,5,0.53735351316459,0.394301664984282,1,0,0
16041003,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30382992803,30382992803,1062397,556611,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,3,4777,4777,0,0,8,8,0,0,0,0,0.48623549621698,0.48623549621698,1,0,0
16041003,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30382992803,30382992803,1718267,556611,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,3,4777,4530,247,0,8,8,0,0,0,0,0.48623549621698,0.48623549621698,1,0,0
16041003,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30382992803,30382992803,1386763,554171,177378416,NaN,NaN,NaN,NaN,NaN,1,1,6,0.994,0,0,0,0,NaN,NaN,NaN,0,997,787,1890,1784,7136,6781,355,0,1988,4,4772,4772,0,0,10,10,0,0,0,0,0.485422288774445,0.485422288774445,1,0,0
16041003,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30382992803,30382992803,1061943,591339,137695735,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,496,1998,1998,0,0,1027,903,0,124,0,124,0.280556567674406,0.261790242077455,1,0,0
