seed,N,conditionIndex,BASE_TRACE_HASH_EXACT,DYNAMIC_BASE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,SCHEDULE_STATE_HASH,WITNESS_HASH_EXACT,CONFLICT_EDGES,MAX_WITNESS_LOAD,REVOKE_FRAME,REACQUIRE_ELIGIBLE_FRAME,CAPTURED_FENCE_FRAME,FIRST_REACQUIRED_FRAME,PRE_EVENT_ACTIVE,EVENT_FRAME_SUPPRESSED,UNSAFE_WINDOW_SUPPRESSED,SUPPRESSION_HASH_EXACT,REACQUIRED_HASH_EXACT,OUTSIDE_SENDER_EDGE_CERTIFIED,OUTSIDE_PAIR_SAME_COLOR,SELF_REVOCATIONS,REACQUISITIONS,FINAL_SUPPRESSED,FINAL_REVOKE_VERSION,SCHEDULED_COLLISION_FRAMES,FALSE_VALID_EDGE_FRAMES,FALLBACK_COLLISION_FRAMES,WITHIN_SUPERGRAPH_EDGE_FRAMES,OUTSIDE_SUPERGRAPH_EDGE_FRAMES,EDGE_REMOVAL_STIMULATED,CLAIM_ATTEMPTS,CERTIFICATE_ATTEMPTS,REVOKE_ATTEMPTS,CONTROL_ATTEMPTS,CLAIM_BYTES,CERTIFICATE_BYTES,REVOKE_BYTES,CONTROL_BYTES,REVOKE_RECIPIENT_ATTEMPTS,REVOKE_RECIPIENT_SUCCESS,REVOKE_RECIPIENT_ERASURE,REVOKE_RECIPIENT_COLLISION,REVOKE_WITNESS_CLEARS,REVOKE_ACCEPTED_CLEARS,RETRY_CLAIM_ATTEMPTS,CONTROL_ATTEMPT_BOUND_RATIO,CONTROL_BYTE_BOUND_RATIO,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS,CLAIM_PACKET_BYTES,CERTIFICATE_HEADER_BYTES,CERTIFICATE_ENTRY_BYTES,REVOKE_PACKET_BYTES,MAX_RESPONSE_PACKET_BYTES,PACKET_MTU_VIOLATIONS,condition
16080004,5,1,5303222146,976019217,976019217,23374230,4461479,39554,4,3,25,33,35,36,1,1,1,18226,17922,0,1,1,1,0,2,0,0,0,19,7,1,36,18,1,55,1008,658,24,1690,1,1,0,0,2,1,0,0.0654761904761905,0.0727194492254733,127,127,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080004,5,2,5303222146,976019217,974037799,23374230,4461479,39554,4,3,25,33,35,36,1,1,1,18226,17922,0,1,1,1,0,2,0,0,0,19,7,1,36,18,1,55,1008,658,24,1690,1,0,1,0,0,1,0,0.0654761904761905,0.0727194492254733,127,126,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080004,5,3,5303222146,976019217,936439146,24145360,4461551,39554,4,3,25,33,35,36,1,1,1,18226,17922,0,1,1,1,0,2,0,0,0,19,7,1,42,24,1,67,1176,844,24,2044,1,1,0,0,2,1,5,0.0797619047619048,0.0879518072289157,154,142,12,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080004,5,4,5303222146,976019217,976249318,23374230,4480929,39554,4,3,25,33,35,NaN,1,1,1,20116,17885,0,1,1,0,1,2,0,0,0,19,7,1,70,52,1,123,1960,1882,24,3866,1,1,0,0,2,1,37,0.146428571428571,0.166351118760757,297,259,38,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
16080004,10,1,19769071817,3895554319,3895554319,23786338,17296429,576479,4,3,25,33,35,36,1,1,1,18226,17922,0,1,1,1,0,2,0,0,0,19,7,1,66,18,1,85,1848,658,24,2530,1,1,0,0,2,1,0,0.0551948051948052,0.0610521235521236,127,127,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080004,10,2,19769071817,3895554319,3890161230,23786338,17296429,576479,4,3,25,33,35,36,1,1,1,18226,17922,0,1,1,1,0,2,0,0,0,19,7,1,66,18,1,85,1848,658,24,2530,1,0,1,0,0,1,0,0.0551948051948052,0.0610521235521236,127,126,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080004,10,3,19769071817,3895554319,3716070223,24557468,17297759,576479,4,3,25,33,36,37,1,1,1,18263,17923,0,1,1,1,0,2,0,0,0,19,7,1,67,18,1,86,1876,668,24,2568,1,1,0,0,2,1,3,0.0558441558441558,0.061969111969112,128,118,10,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080004,10,4,19769071817,3895554319,3895760490,23786338,17338074,576479,4,3,25,33,35,NaN,1,1,1,20116,17885,0,1,1,0,1,2,0,0,0,19,7,1,100,52,1,153,2800,1882,24,4706,1,1,0,0,2,1,37,0.0993506493506494,0.113561776061776,297,259,38,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
16080005,5,1,5320022696,962843666,962843666,23374230,4460483,39554,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,37,19,1,57,1036,694,24,1754,1,1,0,0,2,1,0,0.0678571428571429,0.075473321858864,132,132,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080005,5,2,5320022696,962843666,960082403,23374230,4460483,39554,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,37,19,1,57,1036,694,24,1754,1,0,1,0,0,1,0,0.0678571428571429,0.075473321858864,132,131,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080005,5,3,5320022696,962843666,919196401,24145360,4460483,39554,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,40,23,1,64,1120,808,24,1952,1,1,0,0,2,1,3,0.0761904761904762,0.0839931153184165,150,145,5,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080005,5,4,5320022696,962843666,962811192,23374230,4479995,39554,4,3,26,34,35,NaN,1,1,1,20090,17885,0,1,1,0,1,2,0,0,0,20,7,1,70,52,1,123,1960,1882,24,3866,1,1,0,0,2,1,36,0.146428571428571,0.166351118760757,297,260,37,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
16080005,10,1,19902340431,3939458645,3939458645,23786338,17294718,576479,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,67,19,1,87,1876,694,24,2594,1,1,0,0,2,1,0,0.0564935064935065,0.0625965250965251,132,132,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080005,10,2,19902340431,3939458645,3934451643,23786338,17294718,576479,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,67,19,1,87,1876,694,24,2594,1,0,1,0,0,1,0,0.0564935064935065,0.0625965250965251,132,131,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080005,10,3,19902340431,3939458645,3767156081,24557468,17294718,576479,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,67,19,1,87,1876,694,24,2594,1,1,0,0,2,1,0,0.0564935064935065,0.0625965250965251,132,131,1,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
