seed,cell,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16023045,n5-moderate-bg0,0.00111525054644099,0.0022402522331909,0.0011250016867499,0.01125,-0.0794999999999879,-0.0907499999999879
16023046,n5-moderate-bg0,0.000701147860510003,-0.0168202549397647,-0.0175214028002747,0.00408333333333299,-0.037916666666659,-0.041999999999992
16023047,n5-moderate-bg0,0.0011909220178048,-0.0026469957503811,-0.00383791776818591,0.00233333333333297,-0.01816666666666,-0.020499999999993
16023048,n5-moderate-bg0,-0.0010198810499069,0.00692760283931369,0.00794748388922059,0.005583333333334,-0.025999999999994,-0.031583333333328
16023049,n5-moderate-bg0,-0.000185780879269702,-0.0377415665000076,-0.0375557856207379,0.022916666666667,-0.0674999999999889,-0.0904166666666559
16023050,n5-moderate-bg0,0.0013277635339369,-1.00617887617976e-05,-0.00133782532269869,0.00133333333333302,-0.016249999999995,-0.017583333333328
16023051,n5-moderate-bg0,0.0014597058703504,-0.0107653807237632,-0.0122250865941136,0.021416666666667,-0.052166666666657,-0.0735833333333241
16023052,n5-moderate-bg0,-0.000599183122409204,-0.0390618237488457,-0.0384626406264365,0.00641666666666701,-0.127083333333316,-0.133499999999983
16023053,n5-moderate-bg0,-0.000984710433134701,-0.0124071550703281,-0.0114224446371934,0.00891666666666602,-0.113833333333317,-0.122749999999983
16023054,n5-moderate-bg0,0.000238233595521997,-0.013220631904554,-0.013458865500076,-0.018583333333334,-0.068249999999988,-0.049666666666654
16023055,n5-moderate-bg0,0.000411722346452002,0.0038556247822638,0.0034439024358118,0.018,-0.030499999999993,-0.048499999999993
16023056,n5-moderate-bg0,-0.000415761661441,-0.0371955755700324,-0.0367798139085914,-0.00166666666666698,-0.130749999999981,-0.129083333333314
16023057,n5-moderate-bg0,0.0004824723675338,-0.0279620386374508,-0.0284445110049846,0.016,-0.034499999999992,-0.0504999999999919
16023058,n5-moderate-bg0,0.0005458441139327,-0.0365426800377981,-0.0370885241517308,-0.00766666666666699,-0.050583333333324,-0.042916666666657
16023059,n5-moderate-bg0,0.0011590079750437,0.0283943974830951,0.0272353895080514,0.00950000000000001,0.00425000000000297,-0.00524999999999703
16023060,n5-moderate-bg0,-0.000608995196353802,-0.0321240859333352,-0.0315150907369814,0.023,-0.077416666666654,-0.100416666666654
16023061,n5-moderate-bg0,0.000655837691188696,-0.015730286733864,-0.0163861244250527,0.0135,-0.0450833333333249,-0.0585833333333249
16023062,n5-moderate-bg0,0.0007770702194363,-0.0362896822760078,-0.0370667524954441,-0.0115,-0.045333333333325,-0.033833333333325
16023063,n5-moderate-bg0,9.34978913327e-05,-0.0317914700344125,-0.0318849679257452,-0.00083333333333302,-0.125916666666649,-0.125083333333316
16023064,n5-moderate-bg0,-0.000503698485114196,-0.0339786104177768,-0.0334749119326626,-0.00516666666666699,-0.165083333333311,-0.159916666666644
16023065,n5-moderate-bg0,0.0010270563337856,0.0119193833318283,0.0108923269980427,-0.00141666666666596,-0.065999999999989,-0.064583333333323
16023066,n5-moderate-bg0,0.0016554445435449,-0.0083695073228522,-0.0100249518663971,-0.0035,-0.0314166666666601,-0.0279166666666601
16023067,n5-moderate-bg0,-0.000547755301745695,-0.0304464709304892,-0.0298987156287435,0.0135,-0.059333333333323,-0.072833333333323
16023068,n5-moderate-bg0,0.000529658895073296,0.000695272235468794,0.000165613340395498,0.015,-0.02966666666666,-0.04466666666666
16023069,n5-moderate-bg0,0.000110818132994898,-0.000402141732438702,-0.0005129598654336,0.00749999999999995,-0.024499999999993,-0.0319999999999929
16023070,n5-moderate-bg0,0.000909957755729503,0.0036376219555528,0.00272766419982329,0.014416666666667,0.012333333333336,-0.00208333333333105
16023071,n5-moderate-bg0,-0.0012495313828805,5.27781133796978e-05,0.00130230949626019,0.00966666666666699,-0.037333333333325,-0.046999999999992
