seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,DISCOVERY_STATUS_ATTEMPTS,REQUEST_STATUS_ATTEMPTS,GRANT_WITHOUT_DECODED_REQUEST,CONTROL_ATTEMPT_BOUND,CONTROL_BOUND_RATIO,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16050092,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30366085360,30366085360,1062446,492071,176900190,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,213,314,87,126,0,534,0.98689138576779,314,527,2108,2108,0,0,1988,3,4773,4773,0,0,7,7,0,0,0,0,1,0.406603721267254,0.406603721267254,1,0,0
16050092,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30366085360,30366085360,1062449,499412,177265338,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.9645,0,0,0,0,222,221,NaN,1,261,319,79,182,0,534,1.08614232209738,440,580,2320,2320,0,0,1929,26,4647,4647,0,0,53,47,0,6,0,6,1,0.403163228241147,0.402600238473238,1,0,0
16050092,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113243703795,113243703795,1757145,3860051,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,12,10295,10295,0,0,26,26,0,0,0,0,1,0.455776224202295,0.293170526270722,1,0,0
16050092,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113243703795,113243703795,2413015,3860051,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,12,10295,9798,497,0,26,26,0,0,0,0,1,0.455776224202295,0.293170526270722,1,0,0
16050092,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113243703795,113243703795,2081511,3847084,502982094,NaN,NaN,NaN,NaN,NaN,3,3,1,1,24,0.97775,0,0,0,0,NaN,NaN,NaN,0,529,977,179,350,0,1409,1.06884315117104,1153,1506,13554,12895,659,0,3911,21,10192,10192,0,0,44,44,0,0,0,0,1,0.456325104195313,0.295160216245412,1,0,0
16050092,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113243703795,113243703795,1746229,710251,382845946,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,1409,0.0702625975869411,31,99,351,351,0,0,799,631,2798,2798,0,0,1401,1205,0,196,0,140,1,0.150564643084741,0.132039943320385,1,0,0
16050092,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113243703795,74399340547,1855086,4229610,501371854,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,806,1050,159,647,0,1409,1.31724627395316,1298,1856,16704,16305,399,0,3556,93,9497,9497,0,0,188,188,0,0,0,0,1,0.439206909413065,0.317355550963076,1,0,0
16050092,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113243703795,113243703795,1757564,3860443,504021139,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,455,915,175,280,0,1409,0.972320794889993,931,1370,12330,12330,0,0,3953,12,10291,10291,0,0,26,26,0,0,0,0,1,0.455055819211458,0.292655951277267,1,0,0
16050092,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113243703795,113243703795,1757567,3864641,503321724,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.92975,0,0,0,0,222,221,NaN,5,619,1035,156,463,0,1409,1.17388218594748,1479,1654,14886,14886,0,0,3719,69,9717,9717,0,0,159,142,0,17,0,11,1,0.446582484319244,0.299619866188683,1,0,0
16050093,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30498642155,30498642155,1062327,491228,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,6,4777,4777,0,0,13,11,0,2,0,2,1,0.407291819872476,0.407104156616506,1,0,0
