armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId,periodicMatchedCost_HzPerChannel,etaCritical,allowableFeedbackFractionRawAt025,allowableFeedbackFractionClippedAt025,eligibility,economicClass
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,5,0,0.132158485655335,14.4181818181818,17.0709090909091,2334.4,10.6109090909091,S4,8.27285466832377,-0.579151804733022,-2.31660721893209,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,5,0,0.14007522135218,9.00818181818182,10.6759090909091,1467.6,6.67090909090909,S4,7.2061898956736,-0.270126889446584,-1.08050755778634,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,5,0,0.178539481019976,4.98363636363636,5.91022727272727,815.4,3.70636363636364,S4,4.71278714468997,-0.0730768066816377,-0.292307226726551,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,5,0,0.269807773014381,2.63454545454545,3.11727272727273,424.8,1.93090909090909,S4,2.38514062828034,-0.129164458046902,-0.516657832187609,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,5,0,0.421872094631094,1.45909090909091,1.72522727272727,234.2,1.06454545454545,S4,1.30895930036018,-0.141028838261151,-0.564115353044603,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,5,0,0.711750148336771,0.698181818181818,0.825,111.6,0.507272727272727,S4,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,5,0,1.09517428777588,0.285454545454545,0.339772727272727,47.8,0.217272727272727,S4,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,5,0,1.4486388321783,0.0890909090909091,0.105681818181818,14.6,0.0663636363636364,S4,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,5,0,0.293256383904917,12.4381818181818,14.7829545454545,2063.4,9.37909090909091,S5,11.7357386234132,-0.0748945928317769,-0.299578371327108,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,5,0,0.293256383904917,12.4381818181818,14.7829545454545,2063.4,9.37909090909091,S5,11.7357386234132,-0.0748945928317769,-0.299578371327108,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
