seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius
16075011,5,2,0.02,0.02,32796418,13011894,2450,3949576,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075011,5,3,0.3,0.1,32796418,14725579,2450,5369886,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075011,10,1,0.02,0.02,70052500,11980679,40685,5192618,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075011,10,2,0.02,0.02,70052500,28568770,36495,6436158,0.5,2,3,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075011,10,3,0.3,0.1,70052500,27985558,36495,5363342,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075012,5,1,0.02,0.02,36325948,4360616,2730,6048749,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075012,5,2,0.02,0.02,36325948,12199509,2484,5391622,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075012,5,3,0.3,0.1,36325948,13913194,2484,6677039,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075012,10,1,0.02,0.02,67401570,11921684,40685,5993420,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075012,10,2,0.02,0.02,67401570,28458506,36591,4252144,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075012,10,3,0.3,0.1,67401570,27875294,36591,4905705,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075013,5,1,0.02,0.02,34780221,4414881,2730,6128671,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075013,5,2,0.02,0.02,34780221,13238579,2478,5179797,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075013,5,3,0.3,0.1,34780221,14952264,2478,4488569,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075013,10,1,0.02,0.02,70894710,11567953,40685,5181043,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075013,10,2,0.02,0.02,70894710,26342708,36359,6590224,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075013,10,3,0.3,0.1,70894710,25759496,36359,5204845,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075014,5,1,0.02,0.02,32117059,4331422,2730,6134575,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075014,5,2,0.02,0.02,32117059,11823677,2450,3837295,2,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075014,5,3,0.3,0.1,32117059,13537362,2450,5226270,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075014,10,1,0.02,0.02,63714780,11888115,40685,6621397,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075014,10,2,0.02,0.02,63714780,27023147,36451,6426005,0.5,2,3,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075014,10,3,0.3,0.1,63714780,26439935,36451,5176630,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075015,5,1,0.02,0.02,33368540,4737238,2730,6425738,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075015,5,2,0.02,0.02,33368540,12982287,2450,4784208,2,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075015,5,3,0.3,0.1,33368540,14695972,2450,6178196,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075015,10,1,0.02,0.02,72928057,11440355,40685,5595470,6.8,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075015,10,2,0.02,0.02,72928057,29020216,36451,4700660,1,3,4,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075015,10,3,0.3,0.1,72928057,28437004,36451,5504248,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075016,5,1,0.02,0.02,37956417,4475835,2730,4898022,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075016,5,2,0.02,0.02,37956417,13720874,2450,5408068,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075016,5,3,0.3,0.1,37956417,15434559,2450,6931354,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075016,10,1,0.02,0.02,71541347,11812654,40685,5912356,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
