seed,packetLoss,RMSE,MAXERR,MINSEP,MINSEPEVAL,PDR,AOI
12,0.1,0.0406834450480884,0.0605605859243906,0.26677336145793,0.5460110801509,0.902547065337763,0.060794732061762
13,0.1,0.0404468969803897,0.0540802896621864,0.264628860725962,0.547387544437363,0.899778516057586,0.0612034514078111
14,0.1,0.0408981504470963,0.0561731588611313,0.266642344998464,0.544411810935498,0.897840531561462,0.061808961550106
15,0.1,0.0406048964312746,0.0552783716759542,0.265647355181105,0.545881096104081,0.903100775193798,0.0601816530426885
16,0.1,0.0418814507366709,0.0618278055464889,0.262795204234239,0.547820740688598,0.898671096345515,0.0622328186497124
17,0.1,0.040590001663892,0.0555114760088288,0.262503606964014,0.54826455830878,0.900885935769657,0.0611429003935816
18,0.1,0.0403847227917747,0.0560007187158802,0.263508249868336,0.55046301723853,0.901162790697674,0.0602346351801393
19,0.1,0.0408366293190641,0.058537633770107,0.267753399768702,0.542184872862668,0.900332225913621,0.0606357856494096
20,0.1,0.0395571173179454,0.0541326623493831,0.26548315306989,0.550536025403099,0.910022148394241,0.0594626097487133
1,0.2,0.0496066739926348,0.0689689594592573,0.269215098334892,0.531484314546448,0.792081949058693,0.075402664244626
2,0.2,0.0473540204017546,0.0706732013326655,0.270382446195067,0.53642382625601,0.809800664451827,0.0725491976990614
3,0.2,0.0502382511721284,0.0786577729766672,0.267718094531226,0.540210837806609,0.792912513842746,0.0773932788374205
4,0.2,0.0484436689873818,0.0689671627288467,0.258833253792655,0.53126854026082,0.80343300110742,0.0739418710263396
5,0.2,0.047822701720609,0.06623424774248,0.267036846495528,0.537299232369353,0.806755260243632,0.0728292461398728
6,0.2,0.0495426491557374,0.0702429230165887,0.256928956202002,0.532655248038358,0.792912513842746,0.0749333938843475
7,0.2,0.0499445047305579,0.066919106278553,0.25563552990798,0.53430876286842,0.790143964562569,0.0766061156524371
8,0.2,0.0487843096741605,0.0675708751727598,0.273913948015869,0.535320118842795,0.803156146179402,0.0735937026945201
9,0.2,0.050202906246591,0.0706847330801751,0.268256487730988,0.534118547514752,0.788482834994463,0.077211625794732
10,0.2,0.0478416524927334,0.0668751290932005,0.258617891548131,0.537214916074841,0.804817275747508,0.0732606721162579
11,0.2,0.050386220277032,0.0694275997697768,0.272817447985121,0.534602619440421,0.797619047619048,0.0757356948228882
12,0.2,0.0486471050310399,0.0748476271238648,0.270093794846223,0.534515116749695,0.811738648947951,0.074320314865274
13,0.2,0.0484565795815804,0.0653417739490827,0.265633461174151,0.537885021948169,0.795127353266888,0.0755616106569784
14,0.2,0.0495259020327343,0.0698910937440704,0.265810240353409,0.530523853457639,0.798726467331119,0.07566757493188
15,0.2,0.0490618336922716,0.0714810757577578,0.26035098410957,0.531247913057212,0.80343300110742,0.0733969118982742
16,0.2,0.0501513232003475,0.0695359757029159,0.25871216851365,0.530671290899182,0.796788482834994,0.0759854677565849
17,0.2,0.0493543460056806,0.068943407549431,0.262556279251189,0.537498809334725,0.798172757475083,0.0754859218891916
18,0.2,0.0490653194634475,0.0709504989355384,0.25957779900835,0.539245872527631,0.798726467331119,0.0735937026945201
19,0.2,0.0491946825635478,0.0688175166056225,0.267362027970745,0.535608019867763,0.796511627906977,0.0755313351498637
20,0.2,0.0469536990884579,0.0644442322624595,0.26430267771284,0.542707009567935,0.802048726467331,0.0723751135331516
1,0.3,0.0594122617586243,0.085953960439072,0.270894291162639,0.514112300254515,0.695459579180509,0.0925537390251286
2,0.3,0.0561430141318874,0.0784554745534188,0.269946300213353,0.522535682106894,0.710963455149502,0.0880048440811383
3,0.3,0.0605056928141991,0.0897544241270518,0.269184074583836,0.52324054815753,0.694629014396456,0.0944459582198001
4,0.3,0.0582749268775673,0.0868201294451314,0.228548404570184,0.516714780436098,0.707918050941307,0.090782621858916
5,0.3,0.0576008780816126,0.0832410509115632,0.267831652017563,0.527306023941525,0.704042081949059,0.090517711171662
6,0.3,0.061066577082179,0.0900098894802861,0.236508825831385,0.516366791110531,0.696013289036545,0.0929624583711776
7,0.3,0.0614627386475591,0.0875962588510675,0.248599416491424,0.519868449227952,0.696013289036545,0.0957326672721768
8,0.3,0.0579615479478697,0.0823519212562037,0.272732218370164,0.524549505454674,0.709025470653378,0.0893066908870723
9,0.3,0.0603053793784491,0.0990703653173553,0.272850575228708,0.51872833364832,0.697397563676633,0.0937874659400544
10,0.3,0.05843650730155,0.0808517638892782,0.254201277531243,0.521076783432031,0.700719822812846,0.0910096881622766
11,0.3,0.0612155301459996,0.0854963083015491,0.270732082227175,0.518224357376135,0.697951273532669,0.0940069633666363
12,0.3,0.0614605586383933,0.0971617678338092,0.261172261727918,0.516169443161494,0.712901439645626,0.0938404480775052
13,0.3,0.0602574669216764,0.083231041117086,0.265384878111373,0.526416348784394,0.686323366555925,0.0949833484710868
14,0.3,0.0600607485129572,0.0858233660286857,0.274454665427894,0.516582795739362,0.70514950166113,0.092735392067817
15,0.3,0.0586566287603299,0.0866479423977896,0.258889319421809,0.520164859935174,0.710963455149502,0.0894277929155312
16,0.3,0.0607392295114934,0.0899835308125709,0.257907298800485,0.510150493483238,0.702934662236988,0.0925310323947926
17,0.3,0.0614433000927721,0.0897023035372296,0.262440912899656,0.526063178693855,0.698781838316722,0.0941432031486527
18,0.3,0.0599544944128095,0.0928893941627432,0.231031856973558,0.517679888342974,0.697951273532669,0.0901241295791703
19,0.3,0.0594433082832535,0.0822079509935814,0.255492419265003,0.52366190452183,0.700719822812846,0.0932273690584316
20,0.3,0.0570387755255206,0.0807012443483307,0.263937008820935,0.524462285617729,0.708471760797342,0.0892991220102936
1,0.4,0.0739271895543576,0.102172931729217,0.270166260367484,0.498391718999548,0.601052048726467,0.115782621858916
2,0.4,0.0699316171179978,0.103750698072147,0.251091161788265,0.500108963551752,0.614894795127353,0.111218589161368
3,0.4,0.0742461562205323,0.117967290546456,0.255163099067785,0.508036667403049,0.599114064230343,0.116933091129276
4,0.4,0.0703254800727792,0.105177367680221,0.225429810292365,0.503777842677502,0.616002214839424,0.109530729639721
5,0.4,0.0698312120208555,0.101564121079785,0.261560127428399,0.518805228901525,0.604097452934662,0.112891310929458
6,0.4,0.0756411742835443,0.11294284005468,0.237515256203467,0.495456280350033,0.597729789590255,0.114291553133515
7,0.4,0.0749858346019983,0.113591764037065,0.253243436680877,0.506727261584421,0.599390919158361,0.119915228580079
8,0.4,0.0733049335989296,0.105890263692127,0.273067601118905,0.509734723866358,0.600498338870432,0.11351195882531
9,0.4,0.0734679382616288,0.114464870930441,0.266900323864438,0.50020062654382,0.598837209302326,0.11587344838026
10,0.4,0.0714203357444522,0.107226864331519,0.258873750763504,0.503193268512506,0.606589147286822,0.11276264002422
11,0.4,0.0747076283172093,0.108598794878257,0.245246731375178,0.507501823790771,0.599667774086379,0.116077808053285
12,0.4,0.0758532571145074,0.115268009395291,0.249960279613456,0.498402235985004,0.613510520487265,0.116244323342416
