scenarioId,seed,lambda,time_s,inEventWindow,dataAttempts,scheduledActions,cumulativeScheduledActions,stepMaxValue,predictedSaturationFraction
S2,27020001,0,11.24,1,0,0,1313,0.00155445275047165,0
S2,27020001,0,11.26,1,2,2,1315,0.00187456692110185,0
S2,27020001,0,11.28,1,2,2,1317,0.00215526172143228,0
S2,27020001,0,11.3,1,4,4,1321,0.00246800114845818,0
S2,27020001,0,11.32,1,0,0,1321,0.00282259947014303,0
S2,27020001,0,11.34,1,2,2,1323,0.00315706283746282,0
S2,27020001,0,11.36,1,2,2,1325,0.00346507766552266,0
S2,27020001,0,11.38,1,4,4,1329,0.00192338366339773,0
S2,27020001,0,11.4,1,0,0,1329,0.00227567378691126,0
S2,27020001,0,11.42,1,2,2,1331,0.00260646636859651,0
S2,27020001,0,11.44,1,2,2,1333,0.00256347267761098,0
S2,27020001,0,11.46,1,4,4,1337,0.00217483549214438,0
S2,27020001,0,11.48,1,0,0,1337,0.00253599360226015,0
S2,27020001,0,11.5,1,2,2,1339,0.00287979137603917,0
S2,27020001,0,11.52,1,2,2,1341,0.00319595751568108,0
S2,27020001,0,11.54,1,4,4,1345,0.00190334046073287,0
S2,27020001,0,11.56,1,0,0,1345,0.00216204997034478,0
S2,27020001,0,11.58,1,2,2,1347,0.00242517708150106,0
S2,27020001,0,11.6,1,2,2,1349,0.00267945350123821,0
S2,27020001,0,11.62,1,4,4,1353,0.00289927882541312,0
S2,27020001,0,11.64,1,0,0,1353,0.00317084255213977,0
S2,27020001,0,11.66,1,2,2,1355,0.00344673963955994,0
S2,27020001,0,11.68,1,2,2,1357,0.00370828084389605,0
S2,27020001,0,11.7,1,4,4,1361,0.00159874087720083,0
S2,27020001,0,11.72,1,0,0,1361,0.00181451569380211,0
S2,27020001,0,11.74,1,2,2,1363,0.00211103105649671,0
S2,27020001,0,11.76,1,2,2,1365,0.00224610562655659,0
S2,27020001,0,11.78,1,4,4,1369,0.00232145909398044,0
