arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,observedControlBytes,expectedControlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094427,303082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.112833509709103,0.112845237986856,1.06057782332904,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094427,303082,14620893,14620893,0,1245794,610566,18566669123,51831718,46949,657110812,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,21,1,1,4,0,0,0,4.29992352334093,0.299923523340933,1,0.962358883648787,1,0.962358883648787,1,13396,0.866346805427979,1,0.18962741658646,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.38622754491018,0.321798802744926,1,3,16,18,1,0.132112105549252,0.221342543239221,0.104629123998816,0.0817113101854181,0.199259765248435,0.0617018067555741,1,1,326,1,1,1,24,24,6,6,37,11,0,0,0,0,0,0,0,985,985,263,263,129,129,4408,4408,4408,0.141056,0.141056,1,4.44089209850063e-16,0,0,0.148201683708961,0.149633718368972,1.02778728414568,0,0,1.47455999999999,0.141056,0.15386819047619
closure-response-blackout-emergency,closure,response-blackout,16094427,303082,14620893,14620893,0,1245794,610566,18319272631,50252027,46949,657107155,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,21,0,0,0,4,0,0,4.29992352334093,0.299923523340933,1,0.952456750852532,1,0.952456750852532,1,13396,0.862401072398023,1,0.189623581331696,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.904191616766467,0.925536574682435,1,3,60,148,0,0.134061338427103,0.219065052696082,0.102321201325292,0.0811029568209509,0.198352246651545,0.062849704374925,1,1,326,1,1,1,116,116,29,29,183,49,0,0,0,0,0,0,0,987,987,261,261,302,302,12678,12678,12678,0.405696,0.405696,1,4.44089209850063e-16,0,0,0.145546981275222,0.146801509219655,1.03246424103122,0,0,1.47455999999999,0.405696,0.179071999999999
closure-response-blackout-no-emergency,closure,response-blackout,16094427,303082,14620893,14620893,0,1245794,610566,18319272631,50252027,46949,430009773,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,21,0,0,0,4,0,0,4.29992352334093,0.299923523340933,1,7.23833668458068,0,7.23833668458068,0,13396,6.29672766996979,0,-0.1077512633059,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.904191616766467,0.925536574682435,1,3,60,148,0,0.468770010324915,0.87009407590521,0.796217035303875,0.234799761499963,0.440424061273686,0.692640043696677,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,804,804,212,212,302,302,12678,12678,12678,0.405696,0.405696,1,4.44089209850063e-16,0,0,0.369996048751415,0.382327147306863,0.76816513262407,0,0,1.11820799999999,0.405696,0.145133714285714
closure-prepare-blackout-emergency,closure,prepare-blackout,16094427,303082,14620893,14620893,0,1245794,610566,18545723973,49664386,46949,656914430,139590378,139590378,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.950506001125978,1,0.950506001125978,1,14018,0.862279270735825,1,0.155279247313047,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.131607836299503,0.218616380258975,0.101828893313319,0.0814696127652712,0.19832423226924,0.0629127258687978,1,1,326,1,1,1,87,87,0,29,143,31,0,0,0,0,0,0,0,988,988,260,260,9,9,384,384,384,0.012288,0.012288,1,4.44089209850063e-16,0,0,0.143677150839317,0.156940483812028,1.06243920236073,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094427,303082,14620893,14620893,0,1245794,610566,18493988192,52476002,46949,657188048,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,21,1,0,1,3,0,1,4.29992352334093,0.299923523340933,1,0.951658108274788,1,0.951658108274788,1,13396,0.862387081749329,1,0.189038536230093,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.401197604790419,0.332019272886553,1,3,16,18,6,0.133375483255909,0.218881364903201,0.102108959352493,0.0809303022569505,0.198349028802346,0.0628882029183264,1,1,326,1,1,1,93,93,6,29,147,39,0,0,0,0,0,0,0,993,993,255,255,134,134,4548,4548,4548,0.145536,0.145536,1,4.44089209850063e-16,0,0,0.145055238247871,0.14627622148379,1.03080332356326,0,0,1.47455999999999,0.145536,0.154294857142856
periodic-iid20,periodic,none,16094428,348537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111500798919984,0.111707700080525,1.05732719965768,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094428,348537,14992378,14992378,0,1608959,610566,18707500260,52276036,46949,657188794,139577078,139577078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.861245135385499,1,0.861245135385499,1,13440,0.813150641622662,1,0.188598613234778,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.389221556886228,0.312746386333771,3,4,12,19,2,0.113948714700608,0.198086381138665,0.0830539009068172,0.0726398182086176,0.187024647573212,0.0509116926017483,1,1,326,1,1,1,28,28,7,7,47,9,0,0,0,0,0,0,0,1037,1037,211,211,130,130,4284,4284,4284,0.137088,0.137088,1,8.88178419700125e-16,0,0,0.137667601804231,0.14093634591108,1.03801148696363,0,0,1.47455999999999,0.137088,0.153490285714285
closure-response-blackout-emergency,closure,response-blackout,16094428,348537,14992378,14992378,0,1608959,610566,18460103768,50530187,46949,657740463,139577078,139577078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.853289411918085,1,0.853289411918085,1,13440,0.813153732355535,1,0.188551798987844,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931376843334793,3,4,60,148,0,0.11540972199216,0.196256564741159,0.0836606341304308,0.0726614756594262,0.187025358441773,0.0529095128963737,1,1,326,1,1,1,115,115,28,29,183,47,0,0,0,0,0,0,0,1028,1028,220,220,305,305,12758,12758,12758,0.408256,0.408256,1,8.88178419700125e-16,0,0,0.138705717070427,0.142021744148486,1.04226761956094,0,0,1.47455999999999,0.408256,0.179315809523809
closure-response-blackout-no-emergency,closure,response-blackout,16094428,348537,14992378,14992378,0,1608959,610566,18460103768,50530187,46949,432021789,139577078,139577078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.18973930625798,0,7.18973930625798,0,13440,6.31861589712316,0,-0.11800647790168,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931376843334793,3,4,60,148,0,0.478422527429296,0.868460304149046,0.790871323688378,0.230506377906475,0.410973682764996,0.695047748683547,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,845,845,173,173,305,305,12758,12758,12758,0.408256,0.408256,1,8.88178419700125e-16,0,0,0.356506307797126,0.369365606520148,0.770071586196257,0,0,1.12127999999999,0.408256,0.145670095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094428,348537,14992378,14992378,0,1608959,610566,18684702325,49747772,46949,657899447,139577078,139577078,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.854824705113484,1,0.854824705113484,1,14018,0.813211667285002,1,0.156971769258903,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.11416364900628,0.196609682176101,0.0837323030458486,0.0731596004062129,0.18703868347555,0.0528130847648478,1,1,326,1,1,1,86,86,0,29,139,33,0,0,0,0,0,0,0,1033,1033,215,215,10,10,408,408,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.135310165873596,0.150051853383808,1.07225902127403,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094428,348537,14992378,14992378,0,1608959,610566,18637405255,51757688,46949,657280149,139577078,139577078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.853350491836489,1,0.853350491836489,1,13440,0.813172755888661,1,0.188544761630915,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.401197604790419,0.320922762447073,3,4,12,19,6,0.115138804796537,0.196270613122393,0.0831132983774931,0.071210910107397,0.187029733854392,0.05292396071816,1,1,326,1,1,1,93,93,7,29,146,40,0,0,0,0,0,0,0,1028,1028,220,220,134,134,4396,4396,4396,0.140672,0.140672,1,8.88178419700125e-16,0,0,0.138665725777473,0.141980457555747,1.04259354252873,0,0,1.47455999999999,0.140672,0.153831619047618
periodic-iid20,periodic,none,16094429,2015818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110132218448052,0.110609165686394,1.05870804147696,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094429,2015818,13359584,13359584,0,1941548,610566,18668392286,52263701,46949,656576993,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.90387514773824,1,0.90387514773824,1,13418,0.804604666328976,1,0.169760228212181,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.413173652694611,0.352314206453497,2,5,20,19,2,0.1266498047935,0.207891283979795,0.0932364536546745,0.0746702126704488,0.185059073255665,0.0561152485539689,1,1,326,1,1,1,34,34,8,9,52,16,0,0,0,0,0,0,0,997,997,251,251,138,138,4826,4826,4826,0.154432,0.154432,1,8.88178419700125e-16,0,0,0.143015176002903,0.145484994659879,1.04334431473587,0,0,1.47455999999999,0.154432,0.155142095238094
closure-response-blackout-emergency,closure,response-blackout,16094429,2015818,13359584,13359584,0,1941548,610566,18420995794,49682094,46949,656784597,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.90745842394042,1,0.90745842394042,1,13418,0.804549979458537,1,0.176241438457095,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.935173017958826,2,5,60,149,0,0.129460280199581,0.208715437506297,0.0939303929715625,0.0783230740325498,0.185046495275464,0.0576179434797273,1,1,326,1,1,1,116,116,29,29,183,49,0,0,0,0,0,0,0,999,999,249,249,306,306,12810,12810,12810,0.40992,0.40992,1,8.88178419700125e-16,0,0,0.142648300436971,0.145096889828838,1.03772659078308,0,0,1.47455999999999,0.40992,0.179474285714285
closure-response-blackout-no-emergency,closure,response-blackout,16094429,2015818,13359584,13359584,0,1941548,610566,18420995794,49682094,46949,430536186,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.2018829802599,0,7.2018829802599,0,13418,6.26429770758702,0,-0.104932850489006,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.935173017958826,2,5,60,149,0,0.475045420431238,0.871863604075075,0.792207127828589,0.224244017210125,0.423404694897602,0.689072747834572,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,816,816,200,200,306,306,12810,12810,12810,0.40992,0.40992,1,8.88178419700125e-16,0,0,0.357930730655837,0.370349452811063,0.762901349894264,0,0,1.11820799999999,0.40992,0.145535999999999
closure-prepare-blackout-emergency,closure,prepare-blackout,16094429,2015818,13359584,13359584,0,1941548,610566,18641135761,49752231,46949,657383773,139590378,139590378,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.904291234566522,1,0.904291234566522,1,14018,0.804482038386705,1,0.164278610008089,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.128017141105082,0.2079869839503,0.0932081209979745,0.0784807104368785,0.185030868828942,0.0570957646782957,1,1,326,1,1,1,87,87,0,29,140,34,0,0,0,0,0,0,0,1004,1004,244,244,10,10,408,408,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.138236820657366,0.152857244885397,1.04045497399037,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094429,2015818,13359584,13359584,0,1941548,610566,18598116187,52792006,46949,656847907,139590378,139590378,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.903713754893279,1,0.903713754893279,1,13418,0.804553249049964,1,0.177480258980603,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.425149700598802,0.360490582566798,2,5,20,19,6,0.126667780084802,0.207854163625454,0.0930262125038583,0.0742658322225871,0.185047247281492,0.0563708365160585,1,1,326,1,1,1,95,95,8,29,150,40,0,0,0,0,0,0,0,1000,1000,248,248,142,142,4938,4938,4938,0.158016,0.158016,1,8.88178419700125e-16,0,0,0.142261193137721,0.144687093664309,1.04388372893869,0,0,1.47455999999999,0.158016,0.155483428571428
periodic-iid20,periodic,none,16094430,1429922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.108774011428034,0.109223044393099,1.05703271432536,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094430,1429922,12723266,12723266,0,1992112,610566,18730482846,51929657,46949,656869614,139597978,139597978,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.984637167115436,1,0.984637167115436,1,13418,0.81544242848395,1,0.185975525062399,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.404191616766467,0.345743904219594,2,5,20,17,1,0.117032326921957,0.221958944276943,0.108310088382698,0.0727433643086428,0.187551758551308,0.0535084929335334,1,1,326,1,1,1,32,32,8,8,51,13,0,0,0,0,0,0,0,995,995,253,253,135,135,4736,4736,4736,0.151552,0.151552,1,4.44089209850063e-16,0,0,0.143647583386523,0.145466025038575,1.01678114286306,0,0,1.47455999999999,0.151552,0.154867809523809
closure-response-blackout-emergency,closure,response-blackout,16094430,1429922,12723266,12723266,0,1992112,610566,18483086354,50658607,46949,656804829,139597978,139597978,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.979653255837926,1,0.979653255837926,1,13418,0.813090827821086,1,0.185975525062399,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.933712950795737,2,5,60,149,0,0.116312582301693,0.221262058789701,0.107761858142172,0.0728171997992413,0.18701089039885,0.0517143636714488,1,1,326,1,1,1,116,116,29,29,182,50,0,0,0,0,0,0,0,990,990,258,258,306,306,12790,12790,12790,0.40928,0.40928,1,4.44089209850063e-16,0,0,0.144244556731038,0.146099973805804,1.01874551741522,0,0,1.47455999999999,0.40928,0.179413333333332
closure-response-blackout-no-emergency,closure,response-blackout,16094430,1429922,12723266,12723266,0,1992112,610566,18483086354,50658607,46949,429413852,139597978,139597978,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.31628374607259,0,7.31628374607259,0,13418,6.40979863004262,0,-0.111752016420046,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.933712950795737,2,5,60,149,0,0.493871086615457,0.878835876568712,0.804791212067985,0.222742869997074,0.435548420106593,0.705077849304688,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,808,808,208,208,306,306,12790,12790,12790,0.40928,0.40928,1,4.44089209850063e-16,0,0,0.359579545854617,0.371790208628568,0.768611112010054,0,0,1.11820799999999,0.40928,0.145475047619047
closure-prepare-blackout-emergency,closure,prepare-blackout,16094430,1429922,12723266,12723266,0,1992112,610566,18707803799,49752231,46949,656002652,139597978,139597978,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.98160736564647,1,0.98160736564647,1,14018,0.81313697807969,1,0.14632882341189,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.11770572294538,0.221438820035383,0.107976810221112,0.0784705703741353,0.187021504958329,0.0515002088202849,1,1,326,1,1,1,87,87,0,29,136,38,0,0,0,0,0,0,0,990,990,258,258,10,10,408,408,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.142196523212294,0.156267559560984,1.04739511930932,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094430,1429922,12723266,12723266,0,1992112,610566,18663533921,52563408,46949,656377287,139597978,139597978,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.977451752260548,1,0.977451752260548,1,13418,0.813027069025303,1,0.185975525062399,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.419161676646707,0.355964374361221,2,5,20,17,6,0.115285103204014,0.221072006192256,0.10751969274866,0.0725014576694223,0.18699622587582,0.0518314712156231,1,1,326,1,1,1,95,95,8,29,149,41,0,0,0,0,0,0,0,991,991,257,257,140,140,4876,4876,4876,0.156032,0.156032,1,4.44089209850063e-16,0,0,0.143188225245812,0.144976811372722,1.01567236957091,0,0,1.47455999999999,0.156032,0.155294476190475
periodic-iid20,periodic,none,16094431,1066637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110408939327486,0.110954709471628,1.04892806163421,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094431,1066637,11982316,11982316,0,1559711,610566,18735742378,52173929,46949,656747570,139592278,139592278,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.961720549814947,1,0.961720549814947,1,13418,0.903083769004091,1,0.190717164032477,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.395209580838323,0.330413199007154,2,4,16,19,1,0.117634849609096,0.221195726457438,0.0920405939983025,0.088035947730583,0.207709266870941,0.0727820943540736,1,1,326,1,1,1,28,28,7,7,45,11,0,0,0,0,0,0,0,999,999,249,249,132,132,4526,4526,4526,0.144832,0.144832,1,8.88178419700125e-16,0,0,0.150251061504374,0.152967976810508,1.01068499679973,0,0,1.47455999999999,0.144832,0.154227809523809
closure-response-blackout-emergency,closure,response-blackout,16094431,1066637,11982316,11982316,0,1559711,610566,18488345886,50181450,46949,656658433,139592278,139592278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.953521785193411,1,0.953521785193411,1,13418,0.900880592484288,1,0.182276552467979,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.901197604790419,0.924368520951964,2,4,60,145,0,0.11467523324874,0.219310010594484,0.0907151972500967,0.0890310098739877,0.207202536271386,0.0721279244817949,1,1,326,1,1,1,116,116,29,29,181,51,0,0,0,0,0,0,0,1004,1004,244,244,301,301,12662,12662,12662,0.405184,0.405184,1,8.88178419700125e-16,0,0,0.147833878670633,0.150410896558755,1.01316547583535,0,0,1.47455999999999,0.405184,0.179023238095237
closure-response-blackout-no-emergency,closure,response-blackout,16094431,1066637,11982316,11982316,0,1559711,610566,18488345886,50181450,46949,430026440,139592278,139592278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.19355017421472,0,7.19355017421472,0,13418,6.32024031999504,0,-0.0868939529016941,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.901197604790419,0.924368520951964,2,4,60,145,0,0.47410523008243,0.857123260397203,0.791290519163619,0.241781638534137,0.444358796827802,0.695226435199455,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,823,823,193,193,301,301,12662,12662,12662,0.405184,0.405184,1,8.88178419700125e-16,0,0,0.370163888534411,0.383009948906399,0.766242386113502,0,0,1.11820799999999,0.405184,0.145084952380952
