seed,method,ackCell,scenario,RMSE,MINEVAL,AOI,TXRATE,ACKRATE,ACKDELIV,STALEACK,DUPACK,MEANOUT,MAXOUT,MAXGAP,HARDR,ADAPTR,REFRESHR,ESTAOI,MEANSCALE,MINSCALE,VIOL,FORMFAIL,SAFEFAIL
1,P20,L20 D40,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L20 D40,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L20 D40,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L20 D40,Moderate,0.0769606627162804,0.500242655520562,0.124377838328792,17.5805555555556,14.2722222222222,0.803036200856364,0,0,3.66716633355541,13,0.12,0.00284405119292147,0.997155948807078,0,0.262501362397822,0.224587774816747,0.2,0,0,0
2,Causal-v3,L20 D40,Moderate,0.0770932860729115,0.501773282826105,0.124069028156222,17.5888888888889,14.1194444444444,0.809561282707063,0,0,3.6790473017988,13,0.12,0.00284270372710044,0.9971572962729,0,0.261918256130792,0.224519764601336,0.2,0,0,0
3,Causal-v3,L20 D40,Moderate,0.077975479728092,0.504326831273731,0.1258310626703,17.6027777777778,13.9,0.794364508393285,0,0,3.72584943371086,13,0.12,0.00284046078586082,0.997159539214139,0,0.264087193460492,0.223742504996626,0.2,0,0,0
1,P10,L20 D80,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L20 D80,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L20 D80,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L20 D80,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L20 D80,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L20 D80,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L20 D80,Moderate,0.0779370765072501,0.500083768514637,0.125349682107175,18.3444444444444,14.6527777777778,0.800189573459716,0,0,4.56701088163447,15,0.12,0.00272562083585706,0.997274379164143,0,0.302855585831059,0.201798800799405,0.2,0,0,0
2,Causal-v3,L20 D80,Moderate,0.0774710498195199,0.5023043400031,0.124936421435059,18.3444444444444,14.6861111111111,0.802534518630603,0,0,4.55507439484788,16,0.12,0.00272562083585706,0.997274379164143,0,0.302648501362394,0.201798800799405,0.2,0,0,0
3,Causal-v3,L20 D80,Moderate,0.0773546663265033,0.503531993868439,0.124904632152588,18.3333333333333,14.5555555555556,0.782251908396947,0,0,4.59887852542749,16,0.12,0.00272727272727273,0.997272727272727,0,0.303989100817435,0.201798800799405,0.2,0,0,0
1,P10,L20 D=fwd,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L20 D=fwd,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L20 D=fwd,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L20 D=fwd,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L20 D=fwd,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L20 D=fwd,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L20 D=fwd,Moderate,0.0779370765072501,0.500083768514637,0.125349682107175,18.3444444444444,14.6527777777778,0.800189573459716,0,0,4.56701088163447,15,0.12,0.00272562083585706,0.997274379164143,0,0.302855585831059,0.201798800799405,0.2,0,0,0
2,Causal-v3,L20 D=fwd,Moderate,0.0774710498195199,0.5023043400031,0.124936421435059,18.3444444444444,14.6861111111111,0.802534518630603,0,0,4.55507439484788,16,0.12,0.00272562083585706,0.997274379164143,0,0.302648501362394,0.201798800799405,0.2,0,0,0
3,Causal-v3,L20 D=fwd,Moderate,0.0773546663265033,0.503531993868439,0.124904632152588,18.3333333333333,14.5555555555556,0.782251908396947,0,0,4.59887852542749,16,0.12,0.00272727272727273,0.997272727272727,0,0.303989100817435,0.201798800799405,0.2,0,0,0
1,P10,L10 D40 J40,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L10 D40 J40,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L10 D40 J40,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L10 D40 J40,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L10 D40 J40,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L10 D40 J40,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L10 D40 J40,Moderate,0.0799209166845411,0.500283439026973,0.129913714804723,16.3888888888889,13.1138888888889,0.894090235119678,514,514,3.42466133688652,13,0.12,0.00305084745762712,0.996949152542373,0,0.266521344232516,0.233502664890017,0.2,0,0,0
2,Causal-v3,L10 D40 J40,Moderate,0.0802414943331121,0.497435601532519,0.129573115349682,16.4194444444444,13.2055555555556,0.897349600336559,519,519,3.42066400177659,13,0.12,0.00304517002199289,0.996954829978007,0,0.265814713896458,0.234411781034808,0.2,0,0,0
3,Causal-v3,L10 D40 J40,Moderate,0.0802795265393158,0.500931247277757,0.130130184680593,16.3527777777778,13.0194444444444,0.89310859825048,455,455,3.41189207195203,13,0.120000000000001,0.00305758450823849,0.996942415491762,0,0.264623069936422,0.234615811681045,0.2,0,0,0
1,P10,L10 D40 J80,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L10 D40 J80,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L10 D40 J80,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L10 D40 J80,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L10 D40 J80,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L10 D40 J80,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L10 D40 J80,Moderate,0.0818583580077165,0.493874836052076,0.132682409930366,15.675,12.4638888888889,0.893470024515266,995,995,3.12885853875194,14,0.120000000000001,0.00318979266347687,0.996810207336523,0,0.260773841961853,0.260255662891352,0.2,0,0,0
2,Causal-v3,L10 D40 J80,Moderate,0.0817922448491275,0.495773683338983,0.132046624280957,15.7333333333333,12.5333333333333,0.902260638297872,1069,1069,3.15756162558294,12,0.120000000000005,0.00317796610169492,0.995939265536723,0.000882768361581921,0.261960036330609,0.259027315123195,0.2,0,0,0
3,Causal-v3,L10 D40 J80,Moderate,0.0825728307686616,0.494124569020829,0.133890402664245,15.6972222222222,12.3944444444444,0.886149708650829,1001,1001,3.14573617588274,14,0.120000000000005,0.00318527694213414,0.996106883737392,0.000707839320474252,0.259115349682107,0.260508272262882,0.2,0,0,0
1,P10,reliable,Stressed,0.148703159254493,0.405300592569585,0.242750529821375,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P10,reliable,Stressed,0.14512463619364,0.40785250510474,0.233705722070845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P10,reliable,Stressed,0.148145497889629,0.414312753660589,0.239624583711777,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,P20,reliable,Stressed,0.11174157049135,0.456726692299187,0.181404783530124,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
