scenario,family,pointIndex,meanRMSE,maxRMSE,safeFailures,meanTrueAoI,meanEstimatedAoI,meanOfferedUtil,meanChannelUtil,meanDataFrames,meanAckFrames,meanEnergyProxyJ
Moderate,Causal-Broadcast,3,0.0528010755657803,0.0539451340557658,0,0.074791949344188,0.112971506105834,0.114625,0.10602083333333,725.75,649.75,0.2751
Moderate,Causal-Broadcast,4,0.0560290053762529,0.0566896621109099,0,0.081657620985979,0.120560832202623,0.10525,0.0976666666666648,643.25,619.75,0.2526
Moderate,Causal-Broadcast,5,0.060336604668303,0.0613515994269394,0,0.0861714156490274,0.128028041610131,0.0979375000000001,0.0912916666666653,599.5,575.75,0.23505
Moderate,Delayed-ACK belief,1,0.0348012940343159,0.0351354352909065,0,0.0434215287200363,0.0676571687019448,0.177312499999996,0.159520833333324,1412.25,715.5,0.425549999999991
Moderate,Delayed-ACK belief,2,0.0457761164773361,0.0462162175133143,0,0.062363184079602,0.092311171415649,0.125375,0.115854166666663,829.75,674.75,0.3009
Moderate,Delayed-ACK belief,3,0.0527161258011782,0.0538265651485898,0,0.074536408864767,0.114151967435549,0.1043125,0.0976041666666647,647.5,604.25,0.25035
Moderate,Delayed-ACK belief,4,0.0703980948501721,0.0715853522683825,0,0.102302125734961,0.151592039800995,0.0769375,0.0724999999999996,419.75,503.5,0.18465
Moderate,Delayed-ACK belief,5,0.0918095570439207,0.0938223400044476,0,0.135698778833107,0.203435097241067,0.0604375,0.0565416666666664,314.5,410.75,0.14505
Moderate,Periodic,1,0.0997326598043328,0.10218080765026,0,0.145793758480325,NaN,0.0412291666666667,0.0317083333333332,494.75,0,0.0989500000000001
Moderate,Periodic,2,0.0546356424152424,0.0559056921542792,0,0.0759497964721844,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
Moderate,Periodic,3,0.0464273999749126,0.0471780368820157,0,0.0645318860244232,NaN,0.0988958333333317,0.0776249999999997,1186.75,0,0.237349999999996
Moderate,Periodic,4,0.0358045963290896,0.0363751261602591,0,0.0445884215287199,NaN,0.159354166666658,0.124666666666662,1912.25,0,0.38244999999998
Moderate,Periodic,5,0.0314467284799237,0.0319389309488407,0,0.0372184531886023,NaN,0.197312499999988,0.155166666666658,2367.75,0,0.47354999999997
Moderate,State-event,1,0.064052003778101,0.0698219941609795,0,0.0942243328810492,NaN,0.051625,0.0491458333333332,619.5,0,0.1239
Moderate,State-event,2,0.0847015602715826,0.0903173827507758,0,0.128475802804161,NaN,0.0355416666666667,0.0343125,426.5,0,0.0853000000000001
Moderate,State-event,3,0.107508334122324,0.112761517811137,0,0.162901402080507,NaN,0.0268958333333334,0.0260833333333333,322.75,0,0.0645500000000001
Moderate,State-event,4,0.158545404301886,0.180403092467287,1,0.2368407960199,NaN,0.0173125,0.017125,207.75,0,0.04155
Moderate,State-event,5,0.189540536299947,0.203137975322079,4,0.314163274536409,NaN,0.0132291666666667,0.0131041666666667,158.75,0,0.03175
Stressed,AoCI-inspired,1,0.0598758720413751,0.0608019179117409,0,0.0858005427408411,0.146320669380371,0.131666666666667,0.121145833333329,985.25,594.75,0.316
