seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16042002,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113390682616,113390682616,1756965,4137600,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,10295,0,0,17,13,0,4,0,2,0.537216293166335,0.374816425232144,1,0,0
16042002,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113390682616,113390682616,2412835,4137600,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,9786,509,0,17,13,0,4,0,2,0.537216293166335,0.374816425232144,1,0,0
16042002,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113390682616,113390682616,2081331,4123588,504126648,NaN,NaN,NaN,NaN,NaN,3,3,1,1,13,0.986,0,0,0,0,NaN,NaN,NaN,0,1975,1776,5598,3751,33759,32069,1690,0,3944,9,10269,10269,0,0,22,18,0,4,0,2,0.535501043188154,0.373718665246108,1,0,0
16042002,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113390682616,113390682616,1746049,736350,382875129,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,664,2798,2798,0,0,1458,1286,0,172,0,138,0.171147642822915,0.150770473082123,1,0,0
16042002,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113390682616,74567591305,1854906,4496784,501607650,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,81,9497,9497,0,0,165,161,0,4,0,2,0.517285088419871,0.395639559967264,1,0,0
16042002,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113390682616,113390682616,1757384,4137561,504265273,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,7,10291,10291,0,0,17,13,0,4,0,2,0.537044768168517,0.374850730231708,1,0,0
16042002,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113390682616,113390682616,1757387,4135782,504082988,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.94075,0,0,0,0,222,221,NaN,5,2015,1902,5876,3917,35253,35253,0,0,3763,52,9825,9825,0,0,130,118,0,12,0,8,0.526993403296376,0.377972485191998,1,0,0
16042003,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30375145714,30375145714,1062147,556567,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,1,4777,4777,0,0,2,2,0,0,0,0,0.485860169705041,0.485860169705041,1,0,0
16042003,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30375145714,30375145714,1718017,556567,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,1,4777,4544,233,0,2,2,0,0,0,0,0.485860169705041,0.485860169705041,1,0,0
16042003,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30375145714,30375145714,1386513,554619,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,793,1899,1789,7156,6816,340,0,1990,1,4777,4777,0,0,2,2,0,0,0,0,0.485547397611758,0.485547397611758,1,0,0
