node,targetX,targetY,displacement,minimumSweepSeparation,nearestNode,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,oldColors,newColors,maxResponseBytes,geometryHash
3,-0.2,0.4,0.282842712474619,0.447213595499958,1,5,2,7,7,6,7,56,1802049
3,0.2,0.4,0.282842712474619,0.447213595499958,1,5,2,7,5,6,7,56,1443826
4,-0.4,0.2,0.282842712474619,0.447213595499958,1,2,2,4,2,6,6,46,1868472
7,0.4,0.8,0.282842712474619,0.447213595499958,3,4,2,6,4,6,6,56,1371540
9,-0.4,0.8,0.282842712474619,0.447213595499958,3,4,2,6,3,6,6,56,1745904
7,0.4,0.4,0.282842712474619,0.447213595499958,2,6,2,7,5,6,7,56,1772731
9,-0.4,0.4,0.282842712474619,0.447213595499958,3,7,2,8,7,6,7,56,2296123
6,1.05,-0.25,0.291547594742265,0.51478150704935,2,3,2,5,2,6,6,46,1948680
6,1.05,0.25,0.291547594742265,0.51478150704935,2,3,2,5,2,6,6,46,1908012
2,0.75,-0.25,0.291547594742265,0.51478150704935,6,3,1,5,2,6,6,46,1465399
7,0.45,0.85,0.291547594742265,0.51478150704935,3,4,2,6,4,6,6,56,2206152
9,-0.45,0.85,0.291547594742265,0.51478150704935,3,4,2,6,3,6,6,56,1953352
6,1.1,-0.3,0.316227766016838,0.569209978830308,2,3,2,5,2,6,6,46,1517825
6,1.1,0.3,0.316227766016838,0.569209978830308,2,3,2,5,2,6,6,46,1844027
2,0.7,-0.3,0.316227766016838,0.569209978830308,6,3,1,5,2,6,6,46,1618016
7,0.5,0.9,0.316227766016838,0.569209978830308,3,4,2,6,4,6,6,56,1797465
9,-0.5,0.9,0.316227766016838,0.569209978830308,3,4,2,6,3,6,6,56,1721492
2,0.8,-0.25,0.320156211871642,0.47169905660283,6,3,1,5,2,6,6,46,1928513
6,1,-0.25,0.320156211871642,0.47169905660283,2,3,2,5,2,6,6,46,1733119
6,1,0.25,0.320156211871642,0.47169905660283,2,3,2,5,2,6,6,46,1357358
7,0.4,0.85,0.320156211871643,0.47169905660283,3,4,2,6,4,6,6,56,1722058
9,-0.4,0.85,0.320156211871643,0.47169905660283,3,4,2,6,3,6,6,56,1921062
6,1.05,-0.3,0.335410196624968,0.53665631459995,2,3,2,5,2,6,6,46,2130874
6,1.05,0.3,0.335410196624968,0.53665631459995,2,3,2,5,2,6,6,46,1697816
2,0.75,-0.3,0.335410196624968,0.53665631459995,6,3,1,5,2,6,6,46,1244712
