seed,method,fault,topology,N,scenario,RMSE,MINEVAL,PEAKERR,MINSEPBO,RECOVERY,PEAKAOI,TRUEAOI,ESTAOI,SAFEFAIL,DATAPRE,DATADUR,DATAPOST,ACKPRE,ACKDUR,ACKPOST,OUTMEAN,OUTMAX,PROBES,MAXGAP,CONNECTED,ISOLATED,LAMBDA2,DISCDUR
3,Causal-v3,2node 2s,ring2,N20,Moderate,0.171867620739913,0.358626771860199,0.419274952827026,0.371718332412926,3.48,0.48875,0.157745231607629,0.239472250107578,0,606.666666666667,488,606,485.666666666667,390.5,481.4375,2.07912780368643,9,0,2.1,1,0,0.428302435480014,0
1,P10,2node 5s,ring2,N20,Moderate,0.237021500945469,0.304214251859304,0.982094264131769,0.321974417674214,3.82,1.02,0.255960112019376,NaN,0,477.666666666667,410,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.389353310078985,0
2,P10,2node 5s,ring2,N20,Moderate,0.255978460957511,0.14671680462842,1.01632325942269,0.179365528209879,4.36,1.23666666666667,0.280318649712383,NaN,1,477.333333333333,400,480,0,0,0,NaN,NaN,NaN,NaN,0,1,3.16803874807722e-16,5
3,P10,2node 5s,ring2,N20,Moderate,0.2361797784324,0.324687369012544,0.988309168859938,0.324687369012544,3.98,1.02416666666667,0.254366863457463,NaN,0,477.666666666667,410,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.428302435480014,0
1,P20,2node 5s,ring2,N20,Moderate,0.199078849811902,0.316084585088398,0.937418391716915,0.339662651058651,3.76,0.969166666666667,0.216219724492885,NaN,0,957.666666666667,820,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.389353310078985,0
2,P20,2node 5s,ring2,N20,Moderate,0.218082890074578,0.207754478593069,0.958920883549492,0.236841737999223,3.96,1.18333333333333,0.240836739327884,NaN,1,957.333333333333,800,960,0,0,0,NaN,NaN,NaN,NaN,0,1,3.16803874807722e-16,5
3,P20,2node 5s,ring2,N20,Moderate,0.199053283126606,0.34739094981119,0.946867427439806,0.34739094981119,3.8,0.973333333333334,0.216957311534968,NaN,0,957.666666666667,820,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.428302435480014,0
1,State-event,2node 5s,ring2,N20,Moderate,0.352614476733842,0.241644889117572,1.0726965064275,0.26331487990513,3.52,1.20541666666667,0.374491371480472,NaN,1,181.333333333333,145.6,188.076923076923,0,0,0,NaN,NaN,40,NaN,1,0,0.389353310078985,0
2,State-event,2node 5s,ring2,N20,Moderate,0.367786067163492,0.0186004788145067,1.10119747080767,0.0792172034894181,3.52,1.35666666666667,0.395118831365425,NaN,1,184,136.4,190.461538461538,0,0,0,NaN,NaN,35,NaN,0,1,3.16803874807722e-16,5
3,State-event,2node 5s,ring2,N20,Moderate,0.362084027784147,0.240534960610529,1.07951034347213,0.247804854795561,3.38,1.13208333333333,0.376493339388435,NaN,1,192.666666666667,137.8,190.076923076923,0,0,0,NaN,NaN,30,NaN,1,0,0.428302435480014,0
