seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
19,Periodic,p5,Clean,0.0251044072743308,0.0347600128799059,0.566670094120969,0.0339782016348773,15,5400,1,0,0,0,0,15,0.08
20,Periodic,p5,Clean,0.0251044072743308,0.0347600128799059,0.566670094120969,0.0339782016348773,15,5400,1,0,0,0,0,15,0.08
1,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
2,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
3,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
4,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
5,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
6,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
7,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
8,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
9,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
10,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
11,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
12,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
13,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
14,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
15,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
16,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
17,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
18,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
19,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
20,State-event,p5,Clean,0.121460473613797,0.173622029411201,0.450976070335264,0.204002422040569,2.75,990,1,0,0,1,0,15,0.08
1,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
2,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
3,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
