seed,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16022019,-0.000641972212183504,-0.0022336627510984,-0.0015916905389149,0.028,0.013666666666669,-0.0143333333333309
16022020,5.55807493047011e-05,0.0011761123919988,0.0011205316426941,0.012416666666667,-0.050916666666658,-0.063333333333325
16022021,0.0013864335160057,-0.00148133408463989,-0.0028677676006456,0.022583333333333,-0.074333333333321,-0.096916666666654
16022022,0.0013232135803282,-0.0019901956627537,-0.0033134092430819,0.009083333333333,-0.047499999999991,-0.056583333333324
16022023,0.0018050402928663,-0.0189701871832794,-0.0207752274761457,0.014583333333333,-0.157083333333312,-0.171666666666645
16022024,0.000155713858790797,0.0022663311833466,0.0021106173245558,0.017666666666667,-0.00541666666666207,-0.0230833333333291
16022025,0.000920307821829197,-0.0036434476521453,-0.0045637554739745,0.0225,-0.030249999999994,-0.052749999999994
16022026,0.000872014603123299,0.0110542324043852,0.0101822178012619,0.00166666666666698,-0.026833333333326,-0.028499999999993
16022027,0.000914280865993801,-0.0219367262770503,-0.0228510071430441,0.0045,-0.056166666666656,-0.060666666666656
16022028,0.000336546037371606,0.00254358864916469,0.00220704261179309,0.00800000000000001,0.00308333333333699,-0.00491666666666302
16022029,0.0020220773969685,-0.0123664804936214,-0.0143885578905899,0.00691666666666602,-0.0196666666666621,-0.0265833333333281
16022030,0.00222790885643531,-0.0156281342351602,-0.0178560430915955,0.016916666666667,-0.058249999999989,-0.0751666666666561
16022031,0.000750348072309101,0.000568678005549897,-0.000181670066759204,0.006583333333334,-0.0246666666666611,-0.0312499999999951
16022032,0.000821209462894996,-0.0186343413554147,-0.0194555508183097,0.011583333333334,-0.0579166666666571,-0.0694999999999911
16022033,0.000605166484626198,-0.0274451132981843,-0.0280502797828105,0.00383333333333302,-0.136749999999981,-0.140583333333314
16022034,0.000234138045117099,-0.0067839644061095,-0.0070181024512266,0.01275,-0.036583333333326,-0.049333333333326
16022035,-0.000489113495653899,-0.0111519573557704,-0.0106628438601165,0.021666666666667,-0.0658333333333221,-0.0874999999999891
16022036,0.000345871073743405,-0.00424420689335279,-0.0045900779670962,0.00133333333333302,-0.071833333333322,-0.073166666666655
16022037,7.68028496059975e-05,0.00686093048269611,0.00678412763309011,0.02125,-0.0136666666666621,-0.034916666666662
16022038,0.000524718927306801,-0.0041472062368802,-0.004671925164187,0.00600000000000001,-0.066999999999989,-0.072999999999989
16022039,0.0020042617772645,-0.0183895147075215,-0.020393776484786,0.000250000000000028,-0.111666666666651,-0.111916666666651
16022040,0.000162457741308596,-0.0274268853929007,-0.0275893431342093,-0.00875000000000004,-0.043249999999992,-0.034499999999992
16022041,0.000758877736929897,-0.0160993042620607,-0.0168581819989906,0.023416666666666,-0.00483333333332903,-0.0282499999999951
16022042,0.000435429128933303,-0.0097989063649337,-0.010234335493867,-0.00516666666666699,0.038916666666666,0.044083333333333
16022043,0.0021458595771182,0.00628852981952671,0.00414267024240851,-0.000166666666667037,-0.0792499999999871,-0.07908333333332
16022044,0.0020272158332214,-0.0156694115154464,-0.0176966273486678,0.01,-0.083916666666653,-0.093916666666653
16022045,0.0010027028197177,-0.0288097365871421,-0.0298124394068598,0.00533333333333302,-0.096666666666652,-0.101999999999985
16022046,-0.000790408122737202,-0.00961890147899221,-0.008828493356255,0.00283333333333396,-0.061583333333322,-0.064416666666656
16022047,0.000481861724250299,-0.0131122404832397,-0.01359410220749,-0.00408333333333399,-0.0355833333333261,-0.0314999999999921
16022048,0.000322543430856401,-0.0350220139003589,-0.0353445573312153,0.00791666666666702,-0.126999999999982,-0.134916666666649
16022049,-0.000522018049879294,0.00645887572301891,0.00698089377289821,-0.00041666666666601,-0.067499999999989,-0.067083333333323
16022050,-0.0015535750567877,-0.00300953726297561,-0.00145596220618791,0.010166666666666,0.00575000000000292,-0.00441666666666307
16022051,-0.0014327351577135,0.00548357991119021,0.00691631506890371,0.012,-0.0115833333333281,-0.0235833333333281
16022052,0.0020032175062954,0.0112391440850584,0.00923592657876299,0.03425,-0.000916666666662014,-0.035166666666662
