formationErrorTarget,communicationCostA,communicationCostB,costDifferenceAminusB
0.412490153551893,3.52788168678832,1.92706865973302,1.60081302705531
0.416295200456925,3.49618890805237,1.91034894896541,1.58583995908696
0.420100247361957,3.46449612931642,1.8936292381978,1.57086689111862
0.423905294266989,3.43280335058047,1.87690952743019,1.55589382315027
0.427710341172022,3.40111057184451,1.86018981666259,1.54092075518193
0.431515388077054,3.36941779310856,1.84347010589498,1.52594768721358
0.435320434982086,3.33772501437261,1.82675039512737,1.51097461924524
0.439125481887118,3.30603223563666,1.81003068435977,1.49600155127689
0.44293052879215,3.27433945690071,1.79331097359216,1.48102848330855
0.446735575697182,3.24264667816476,1.77659126282455,1.4660554153402
0.450540622602214,3.2109538994288,1.75987155205694,1.45108234737186
0.454345669507246,3.17926112069285,1.74315184128934,1.43610927940351
0.458150716412278,3.1475683419569,1.72643213052173,1.42113621143517
0.461955763317311,3.11587556322095,1.70971241975412,1.40616314346683
0.465760810222343,3.084182784485,1.69299270898652,1.39119007549848
0.469565857127375,3.05249000574904,1.67627299821891,1.37621700753014
0.473370904032407,3.02079722701309,1.6595532874513,1.36124393956179
0.477175950937439,2.98910444827714,1.64283357668369,1.34627087159345
0.480980997842471,2.95741166954119,1.62611386591609,1.3312978036251
0.484786044747503,2.92571889080524,1.60939415514848,1.31632473565676
0.488591091652535,2.89402611206929,1.59267444438087,1.30135166768841
0.492396138557567,2.86233333333333,1.57595473361326,1.28637859972007
