communicationBudget,formationErrorA,formationErrorB,errorDifferenceAminusB
14.18754,0.145318890090384,0.127075426203469,0.0182434638869148
14.4186666666667,0.144437167408422,0.12627354083523,0.0181636265731917
14.6497933333333,0.143555444726461,0.125471655466992,0.0180837892594686
14.88092,0.142817061749866,0.124669770098754,0.0181472916511122
15.1120466666667,0.142172396943464,0.123867884730515,0.0183045122129488
15.3431733333333,0.141527732137063,0.123065999362277,0.0184617327747854
15.5743,0.140883067330661,0.122264113994039,0.0186189533366221
15.8054266666667,0.140238402524259,0.121462228625801,0.0187761738984587
16.0365533333333,0.139593737717858,0.120660343257562,0.0189333944602953
16.26768,0.138949072911456,0.119858457889324,0.0190906150221319
16.4988066666667,0.138304408105054,0.119056572521086,0.0192478355839686
16.7299333333333,0.137659743298653,0.118404009735686,0.0192557335629662
16.96106,0.137015078492251,0.117959395908127,0.0190556825841235
17.1921866666667,0.136370413685849,0.117514782080568,0.0188556316052807
17.4233133333333,0.135725748879447,0.11707016825301,0.0186555806264379
17.65444,0.135081084073046,0.116625554425451,0.0184555296475952
17.8855666666667,0.134436419266644,0.116180940597892,0.0182554786687524
18.1166933333333,0.133791754460242,0.115736326770333,0.0180554276899096
18.34782,0.133147089653841,0.115291712942774,0.0178553767110669
18.5789466666667,0.132502659972628,0.114847099115215,0.0176555608574134
18.8100733333333,0.131858559600182,0.114402485287656,0.0174560743125264
19.0412,0.131214459227736,0.113957871460097,0.0172565877676393
19.2723266666667,0.13057035885529,0.113513257632538,0.0170571012227522
19.5034533333333,0.129926258482844,0.113068643804979,0.0168576146778651
19.73458,0.129282158110398,0.11262402997742,0.016658128132978
19.9657066666667,0.128638057737952,0.112179416149861,0.0164586415880909
20.1968333333333,0.127993957365506,0.111734802322303,0.0162591550432039
20.42796,0.12734985699306,0.111290188494744,0.0160596684983168
20.6590866666667,0.126705756620614,0.110845574667185,0.0158601819534297
20.8902133333333,0.126061656248168,0.110400960839626,0.0156606954085426
21.12134,0.125417555875722,0.109956347012067,0.0154612088636555
21.3524666666667,0.124773455503276,0.109511733184508,0.0152617223187684
21.5835933333333,0.12412935513083,0.109067119356949,0.0150622357738814
21.81472,0.123485254758384,0.10862250552939,0.0148627492289943
22.0458466666667,0.122841154385938,0.108177891701831,0.0146632626841072
22.2769733333333,0.122197054013492,0.107733277874272,0.0144637761392201
22.5081,0.121552953641046,0.107288664046713,0.014264289594333
22.7392266666667,0.1209088532686,0.106844050219154,0.0140648030494459
22.9703533333333,0.120264752896154,0.106399436391596,0.0138653165045588
23.20148,0.119620652523708,0.105954822564037,0.0136658299596718
23.4326066666667,0.118976552151262,0.105510208736478,0.0134663434147847
23.6637333333333,0.118332451778816,0.105065594908919,0.0132668568698976
23.89486,0.11768835140637,0.10462098108136,0.0130673703250105
24.1259866666667,0.117044251033924,0.104176367253801,0.0128678837801234
24.3571133333333,0.116400150661478,0.103731753426242,0.0126683972352363
24.58824,0.115756050289032,0.103287139598683,0.0124689106903493
24.8193666666667,0.115111949916586,0.102842525771124,0.0122694241454622
25.0504933333333,0.11446784954414,0.10251244835743,0.0119554011867104
25.28162,0.113823749171694,0.102383634031404,0.0114401151402904
25.5127466666667,0.113179648799248,0.102254819705378,0.0109248290938705
25.7438733333333,0.112535548426802,0.102126005379352,0.0104095430474505
25.975,0.111891448054356,0.101997191053326,0.00989425700103046
