cell,arm,N,rho,epsilon,n,meanAoII,meanMaxAoII,meanAttemptRate,meanSuccessRate,meanCollisionRate,meanFeedbackRate,meanPhaseDivergence
n5-rho20-eps20,round-robin,5,0.2,0.2,30,0.431527666666667,1.89799166666667,1,0.799398412698413,0,0,0
n5-rho20-eps20,zero-wait,5,0.2,0.2,30,2.23053633333333,8.38824166666667,0.231860317460317,0.151333333333333,0.0205539682539683,0,0
n5-rho50-eps05,delta-private-delayed,5,0.5,0.05,30,6.35130066666667,18.47688,1.67287777777778,0.311657142857143,0.546549206349206,4.37421428571429,0.689625396825397
n5-rho50-eps05,delta-public,5,0.5,0.05,30,247.938632,249.463493333333,0.708831746031746,0.391233333333333,0.139926984126984,0.552136507936508,0
n5-rho50-eps05,max-age-first,5,0.5,0.05,30,0.422050666666667,1.66168,1,0.949450793650794,0,0,0
n5-rho50-eps05,round-robin,5,0.5,0.05,30,0.480655,1.91009,1,0.949450793650794,0,0,0
n5-rho50-eps05,zero-wait,5,0.5,0.05,30,3.957301,12.619805,0.422433333333333,0.279625396825397,0.060947619047619,0,0
n5-rho50-eps20,delta-private-delayed,5,0.5,0.2,30,372.828939333333,388.787911666667,1.59325555555556,0.253577777777778,0.518215873015873,4.17863492063492,0.620546031746032
n5-rho50-eps20,delta-public,5,0.5,0.2,30,1486.864154,1526.88449666667,0.622419047619048,0.283363492063492,0.125865079365079,0.480746031746032,0
n5-rho50-eps20,max-age-first,5,0.5,0.2,30,0.636450666666666,2.34213166666667,1,0.799398412698413,0,0,0
n5-rho50-eps20,round-robin,5,0.5,0.2,30,0.939665333333334,3.57144333333333,1,0.799398412698413,0,0,0
n5-rho50-eps20,zero-wait,5,0.5,0.2,30,5.55765266666667,16.9421816666667,0.467557142857143,0.250074603174603,0.0730888888888889,0,0
