seed,cell,arm,N,rho,lambda,epsilon,slots,burnIn,MEAN_AOII,MEAN_MAX_AOII,ATTEMPTS,ATTEMPT_RATE,SUCCESSES,SUCCESS_RATE,COLLISIONS,COLLISION_SLOT_RATE,ERASURES,FEEDBACK_GENERATED,FEEDBACK_DELIVERED,FEEDBACK_DROPPED,FEEDBACK_EVENT_RATE,PHASE_DIVERGENCE_FRACTION,MAX_FEEDBACK_QUEUE,FUTURE_FEEDBACK_READS,DRAW_HASH_EXACT
16027101,n20-rho20-eps20,max-age-first,20,0.2,0.01,0.2,20000,1000,1.02035,11.5365,21000,1,16679,0.794238095238095,0,0,4321,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps20,round-robin,20,0.2,0.01,0.2,20000,1000,1.8487225,22.20665,21000,1,16679,0.794238095238095,0,0,4321,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,delta-public,20,0.5,0.025,0.05,20000,1000,1.458075,7.88525,18339,0.873285714285714,8641,0.41147619047619,4112,0.195809523809524,488,13241,264820,0,0.630523809523809,0,0,0,891787387622
16027101,n20-rho50-eps05,delta-private-delayed,20,0.5,0.025,0.05,20000,1000,54.74271,165.4885,46532,2.21580952380952,4712,0.224380952380952,14083,0.670619047619048,250,380900,343248,37598,18.1380952380952,0.79047619047619,5,0,891787387622
16027101,n20-rho50-eps05,zero-wait,20,0.5,0.025,0.05,20000,1000,14.4953725,69.6218,28447,1.35461904761905,6458,0.30752380952381,8052,0.383428571428571,333,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,max-age-first,20,0.5,0.025,0.05,20000,1000,1.686465,13.1322,21000,1,19878,0.946571428571429,0,0,1122,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,round-robin,20,0.5,0.025,0.05,20000,1000,1.9051,15.9263,21000,1,19878,0.946571428571429,0,0,1122,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps20,delta-public,20,0.5,0.025,0.2,20000,1000,4.55968,19.31295,17785,0.846904761904762,7044,0.335428571428571,3972,0.189142857142857,1807,12823,256460,0,0.610619047619048,0,0,0,891787387622
16027101,n20-rho50-eps20,delta-private-delayed,20,0.5,0.025,0.2,20000,1000,54.31333,164.21235,42415,2.0197619047619,4461,0.212428571428571,13010,0.619523809523809,1105,371520,334824,36642,17.6914285714286,0.778095238095238,5,0,891787387622
16027101,n20-rho50-eps20,zero-wait,20,0.5,0.025,0.2,20000,1000,43.0536025,173.15095,42550,2.02619047619048,4304,0.204952380952381,12394,0.590190476190476,1127,0,0,0,0,0,0,0,891787387622
