seed,physicalFrames,firstAllCertifiedFrame,controlAttempts,controlBytes,claimAttempts,claimBytes,responseAttempts,responseBytes,responseHeaderBytes,responseEntryBytes,bootstrapBytes,renewalBytes,nominalClaimBytes,retryClaimBytes,dataAckUtil,candidateTotalUtil,periodicTotalUtil,targetControlBytesToTie,requiredControlByteRemoval,requiredControlRemovalFraction,renewalControlFraction,noControlFloorUtil,claimFreeFloorUtil,sharedHeaderFloorUtil,bootstrapOnlyFloorUtil,renewalScaleFactorToTie
16072013,217,2,383,10640,167,4008,216,6632,3456,3176,560,10080,2160,1848,0.277247999999997,0.305621333333331,0.286719999999997,3551.99999999981,7088.00000000019,0.666165413533853,0.947368421052632,0.277247999999997,0.294933333333331,0.285717333333331,0.278741333333331,3.36898395721947
16072014,217,3,500,13952,219,5256,281,8696,4496,4200,704,13248,2256,3000,0.276991999999998,0.314197333333331,0.286719999999997,3647.9999999998,10304.0000000002,0.738532110091758,0.94954128440367,0.276991999999998,0.300181333333331,0.288191999999998,0.278869333333331,4.50000000000031
16072015,217,3,456,12544,194,4656,262,7888,4192,3696,768,11776,2304,2352,0.276735999999997,0.310186666666664,0.286719999999997,3743.99999999981,8800.00000000019,0.701530612244913,0.938775510204082,0.276735999999997,0.297770666666664,0.286591999999997,0.278783999999997,3.95698924731208
16072016,217,4,491,13624,216,5184,275,8440,4400,4040,768,12856,2232,2952,0.276991999999998,0.313322666666664,0.286719999999997,3647.9999999998,9976.0000000002,0.732237228420449,0.943628890193776,0.276991999999998,0.299498666666664,0.287765333333331,0.279039999999998,4.4638888888892
16072017,217,3,488,13456,209,5016,279,8440,4464,3976,656,12800,2304,2712,0.277503999999997,0.313386666666664,0.286719999999997,3455.99999999981,10000.0000000002,0.74316290130798,0.951248513674197,0.277503999999997,0.300010666666664,0.288106666666664,0.279253333333331,4.57142857142888
16072018,217,4,500,14024,223,5352,277,8672,4432,4240,1016,13008,2376,2976,0.276479999999998,0.313877333333331,0.286719999999997,3839.9999999998,10184.0000000002,0.726183685111252,0.927552766685682,0.276479999999998,0.299605333333331,0.287786666666664,0.279189333333331,4.60623229461789
16072019,217,2,411,11440,184,4416,227,7024,3632,3392,504,10936,2256,2160,0.277503999999997,0.308010666666664,0.286719999999997,3455.99999999981,7984.00000000019,0.697902097902114,0.955944055944056,0.277503999999997,0.296234666666664,0.286549333333331,0.278847999999997,3.70460704607069
16072020,217,2,432,11976,192,4608,240,7368,3840,3528,504,11472,2280,2328,0.277503999999997,0.309439999999997,0.286719999999997,3455.99999999981,8520.00000000019,0.711422845691398,0.957915831663327,0.277503999999997,0.297151999999997,0.286911999999998,0.278847999999997,3.88617886178886
16072021,217,1,534,14728,229,5496,305,9232,4880,4352,280,14448,2376,3120,0.277759999999998,0.317034666666664,0.286719999999997,3359.9999999998,11368.0000000002,0.771863117870736,0.980988593155893,0.277759999999998,0.302378666666664,0.289365333333331,0.278506666666664,4.69090909090939
16072022,217,2,449,12344,188,4512,261,7832,4176,3656,464,11880,2280,2232,0.277503999999997,0.310421333333331,0.286719999999997,3455.99999999981,8888.00000000019,0.720025923525615,0.962410887880752,0.277503999999997,0.298389333333331,0.287253333333331,0.278741333333331,3.97058823529437
