seed,method,arm,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,SATURATION,CONTROLEFFORT,LAGERR,DATARATE,ACKRATE,TRUEAOI,ESTAOI,MASSRATIO,DRAGRATIO,AEXTRMS,AEXTPEAK,INVARIANTS
15,P20,B2 wind 1.0,Stressed,0.537309359605712,0.0837667256116909,1,0,10.1078435566999,13.3866020828763,0,1.03552706845791,NaN,200,NaN,0.181353315168029,NaN,1,1,0.800387251974094,1.39042127933066,0
16,P20,B2 wind 1.0,Stressed,0.620030464050986,0.0501569476897921,1,0,10.0956316764347,13.1460567689468,0,1.01908103495054,NaN,200,NaN,0.17969118982743,NaN,1,1,0.844604574943654,1.71275950764112,0
17,P20,B2 wind 1.0,Stressed,0.638344325530562,0.195281958188755,1,0,8.86864138981221,12.0122706646801,0,1.02898185324919,NaN,200,NaN,0.178101725703905,NaN,1,1,0.928830035725174,1.63961083865071,0
18,P20,B2 wind 1.0,Stressed,0.557918889099831,0.140963862915475,1,0,9.97118804420585,13.2592809936553,0,1.01484820097538,NaN,200,NaN,0.177707538601272,NaN,1,1,0.881372215372169,1.53883304469507,0
19,P20,B2 wind 1.0,Stressed,0.548408940344508,0.03542718254734,1,0,10.1210274667822,13.4773263282644,0,1.02348480167022,NaN,200,NaN,0.177089918256131,NaN,1,1,0.828305260851838,1.59438880144468,0
20,P20,B2 wind 1.0,Stressed,0.609476962859173,0.182104420797535,1,0,9.34947025527051,12.4463141032365,0,1.02134395386648,NaN,200,NaN,0.180018165304269,NaN,1,1,0.867351215237617,1.68500406769567,0
1,State-event,B2 wind 1.0,Stressed,0.461426162695024,0.148763868405303,1,0,10.5564635917727,13.651496472566,0,1.01919281199639,NaN,43.9,NaN,0.429645776566757,NaN,1,1,0.6271303666215,1.30823591701011,0
2,State-event,B2 wind 1.0,Stressed,0.607213875809196,0.0270040959381501,1,0,9.80048143444583,13.2079864022026,0,1.02248067112317,NaN,43.6666666666667,NaN,0.423871026339691,NaN,1,1,0.697771828754271,1.72569932319036,0
3,State-event,B2 wind 1.0,Stressed,0.645184722100447,0.0333131322633898,1,0,10.738189734397,13.5754093433661,0,1.02350317757176,NaN,48.4333333333333,NaN,0.426868301544051,NaN,1,1,0.896290348809545,1.60038953026188,0
4,State-event,B2 wind 1.0,Stressed,0.596977701184976,0.0610833475065402,1,0,10.7219921250113,13.9157367337835,0,1.01094645489434,NaN,46.1333333333333,NaN,0.39897366030881,NaN,1,1,0.748016919334983,1.47341344158933,0
5,State-event,B2 wind 1.0,Stressed,0.528234493202604,0.0760684804363571,1,0,10.416488924534,13.2639841237314,0,1.02378043177425,NaN,45.2333333333333,NaN,0.4552770208901,NaN,1,1,0.747853849612708,1.41506188104723,0
6,State-event,B2 wind 1.0,Stressed,0.408316209721983,0.142668608165936,1,0,9.35559842683117,13.162478790102,0,1.0065536180193,NaN,45.8,NaN,0.430216167120799,NaN,1,1,0.7692376771908,1.34797667100078,0
7,State-event,B2 wind 1.0,Stressed,0.754523886729966,0.050165930263556,1,0,9.91656566292757,13.265982308198,0,1.03912138758455,NaN,46.0666666666667,NaN,0.414292461398728,NaN,1,1,0.948614790111038,1.71196355297258,0
8,State-event,B2 wind 1.0,Stressed,0.608667468550784,0.0382265448462971,1,0,9.36579288138888,12.2479096319272,0,1.04443641863042,NaN,42.6,NaN,0.431885558583106,NaN,1,1,0.831641042807922,1.45237148969847,0
9,State-event,B2 wind 1.0,Stressed,0.741701085333256,0.0660499901087634,1,0,9.62613308044159,12.2331793929822,0,1.02790527770276,NaN,44.3333333333333,NaN,0.429318801089918,NaN,1,1,0.982362350927556,1.71393256106063,0
10,State-event,B2 wind 1.0,Stressed,0.557408290798387,0.248900643787018,1,0,8.95772631967567,12.462612583759,0,1.01002073046321,NaN,47.9666666666667,NaN,0.385963669391462,NaN,1,1,0.803963908695196,1.42358206428217,0
11,State-event,B2 wind 1.0,Stressed,0.657516143847431,0.0727224916541441,1,0,11.8163069103908,12.0405338010407,0,1.02475546230474,NaN,44.8666666666667,NaN,0.44416348773842,NaN,1,1,0.963907828515775,1.76842898157268,0
12,State-event,B2 wind 1.0,Stressed,0.536207694647029,0.106365486882688,1,0,9.10674434380015,12.4728503042598,0,1.02308179589597,NaN,44.4333333333333,NaN,0.435640326975477,NaN,1,1,0.790583632085722,1.47847236878677,0
13,State-event,B2 wind 1.0,Stressed,0.468801405882982,0.149413565615655,1,0,9.62628681089728,12.8982751271651,0,1.01704146476918,NaN,47,NaN,0.414610354223433,NaN,1,1,0.82924341026031,1.7492912896074,0
14,State-event,B2 wind 1.0,Stressed,0.748098356117885,0.0470596792288107,1,0,10.4318967795618,13.7828144601712,0,1.034629679029,NaN,47.0666666666667,NaN,0.44030336058129,NaN,1,1,0.978970653882976,1.76742638288888,0
15,State-event,B2 wind 1.0,Stressed,0.583231819821864,0.0876557664079155,1,0,10.22845410343,13.3469351515017,0,1.0357235471354,NaN,44.0666666666667,NaN,0.422288828337875,NaN,1,1,0.800387251974094,1.39042127933066,0
16,State-event,B2 wind 1.0,Stressed,0.698305915015613,0.139220026881697,1,0,10.1765185149554,13.2706121152124,0,1.01939163686755,NaN,45.3,NaN,0.403871026339691,NaN,1,1,0.844604574943654,1.71275950764112,0
17,State-event,B2 wind 1.0,Stressed,0.702819960667005,0.242561569486483,1,0,9.54447390643392,11.996499417559,0,1.02916799010082,NaN,45.2666666666667,NaN,0.41794187102634,NaN,1,1,0.928830035725174,1.63961083865071,0
18,State-event,B2 wind 1.0,Stressed,0.554816163406234,0.13552495697993,1,0,10.0503754916661,14.0324370590034,0,1.01472021904675,NaN,43.1333333333333,NaN,0.447593097184378,NaN,1,1,0.881372215372169,1.53883304469507,0
19,State-event,B2 wind 1.0,Stressed,0.572885417077276,0.0601519321615043,1,0,10.3674932159211,13.9769656718221,0,1.02365793353874,NaN,45,NaN,0.407102633969119,NaN,1,1,0.828305260851838,1.59438880144468,0
20,State-event,B2 wind 1.0,Stressed,0.66279475772436,0.234822868093443,1,0,10.4140966104713,12.7196730884786,0,1.02167190179735,NaN,46.3333333333333,NaN,0.414770208900999,NaN,1,1,0.867351215237617,1.68500406769567,0
