seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16034077,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,8,53,NaN,0,1,1,0,8,4,5,0,10,0.055,5,986,2745,2583,136,26,22,372,1146,568,0,578,97,8,6,6,127,151,80,14,11.437066274,5.562368,4.972544,0.486345699739888,0.434774432609885,1,1,0,0,16726443293,2014329,112567378
16034077,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,6,NaN,NaN,0,1,0,0,8,3,5,6,9,0.195,64,973,2658,2485,0,173,117,213,500,347,0,153,48,21,0,21,63,113,16,37,11.200629152,4.857856,4.38272,0.433712779351558,0.391292305148539,1,1,0,0,16726443293,1080674,105151214
16034077,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,6,14,3,1,1,1,1,5,5,5,0,7,0.01,1,992,2771,2767,0,4,4,333,1032,596,0,436,73,1,0,1,150,86,96,6,9.536297254,5.4272,4.964352,0.569109776619386,0.520574376802034,1,1,0,0,16726443293,1081034,80111387
16034077,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,12,79,NaN,1,1,1,1,9,10,10,0,13,0.04,2,1978,6705,6671,0,34,22,1145,4971,1170,0,3801,203,2,8,1,315,126,694,4,13.58354446,12.791808,8.613888,0.941713559201616,0.634141407300992,1,1,0,0,64959715829,1432637,228866746
16034077,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,26,NaN,NaN,1,1,1,0,14,10,10,0,26,0.14,9,1970,6641,6207,319,115,76,772,4180,1323,0,2857,158,10,16,8,158,328,260,20,22.651603492,11.231232,8.671232,0.495825030840161,0.382808749193516,1,1,0,0,64959715829,2365950,279155678
16034077,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,12,NaN,NaN,0,1,0,0,9,8,9,8,13,0.325,94,1965,6571,6284,0,287,212,602,1739,995,0,744,164,15,3,13,245,214,125,50,14.469024662,10.514432,7.139328,0.726685609128447,0.493421510210707,1,1,0,0,64959715829,1423023,254672031
16034077,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,12,82,2,1,1,1,1,9,10,10,0,13,0.04,2,1977,6701,6667,0,34,22,1184,5090,1071,0,4019,213,2,8,1,328,121,725,4,13.597452526,12.947456,8.605696,0.952197183644721,0.632890314089706,1,1,0,0,64959715829,1432655,231814793
16034078,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,11,NaN,1,1,1,1,5,5,5,0,10,0,0,994,2783,2783,0,0,0,309,996,644,0,352,59,0,0,0,142,86,81,5,9.448212836,5.337088,4.972544,0.564878045471667,0.526294664008138,1,1,0,0,16754129182,1081016,78352908
16034078,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,5,11,NaN,1,1,1,0,6,5,5,0,13,0.12,4,979,2687,2513,115,59,50,411,1140,524,0,616,105,15,6,13,130,183,77,27,12.011933002,5.69344,4.87424,0.473981997656167,0.405783149072546,1,1,0,0,16754129182,2014329,123534071
16034078,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,0,1,0,0,4,4,4,7,10,0.25,84,977,2628,2441,0,187,137,277,618,379,0,239,74,17,7,13,109,114,30,51,11.117180756,5.136384,4.468736,0.462022172053636,0.401966658461337,1,1,0,0,16754129182,1080674,95691179
16034078,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,11,3,1,1,1,1,5,5,5,0,10,0,0,992,2775,2775,0,0,0,320,1008,608,0,400,67,1,0,1,150,82,87,6,9.471392946,5.373952,4.960256,0.567387714841833,0.523709239842576,1,1,0,0,16754129182,1081034,78668666
16034078,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,12,NaN,NaN,1,1,1,0,12,10,10,0,13,0.035,1,1977,6707,6678,0,29,17,929,4379,1404,0,2975,156,1,0,1,274,119,535,1,15.892283416,11.902976,8.54016,0.748978336745262,0.537377781181649,1,1,0,0,65079294947,1432637,263984901
