seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
8,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.86472232977282e+15,7.17154713560127e+15
9,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.93066959714476e+15,8.79630826170674e+15
10,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,6.60469958422716e+15,7.93979336453666e+15
11,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.90766468649423e+15,7.31781766718345e+15
12,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.41381036305046e+15,7.7437217478861e+15
13,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,6.48820294350338e+15,8.22658599082911e+15
14,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.98418072224415e+15,7.24072230900614e+15
15,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.18625724296476e+15,8.13696766333679e+15
16,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,8.62249290227846e+15,7.29382360782028e+15
17,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.48584170858492e+15,6.72454806160719e+15
18,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.39682505122556e+15,7.44898397490521e+15
