time_s,seed,receiver,sender,physicalAge_s,loggedAoI_s,positionError_m,localPositionBound_m,globalPositionBound_m,velocityError_mps,velocityBound_mps,acceptedPayloadSpeed_mps
2.52,27020001,3,2,0.2,0.21,0.0921655334784618,0.141437003109991,12.044,0.051408105692271,0.4,0.487185015549954
2.54,27020001,3,2,0.22,0.23,0.100764948803284,0.15998070342099,13.2528,0.0581006396423244,0.44,0.487185015549954
2.56,27020001,3,2,0.12,0.13,0.0526626609651716,0.0719223247222122,7.2168,0.0363374216529639,0.24,0.459352706018435
2.58,27020001,3,2,0.14,0.15,0.0609905425679929,0.0867093788425809,8.4224,0.0431410505636829,0.28,0.459352706018435
2.6,27020001,3,2,0.12,0.13,0.0511875213112239,0.0705094007620121,7.2168,0.036729176187781,0.24,0.447578339683434
2.62,27020001,3,2,0.14,0.15,0.0592681726069535,0.0850609675556808,8.4224,0.0436779726228467,0.28,0.447578339683434
2.64,27020001,3,2,0.16,0.17,0.067210472813836,0.100412534349349,9.6288,0.0505894363860435,0.32,0.447578339683434
2.66,27020001,3,2,0.18,0.19,0.0750153765327384,0.116564101143018,10.836,0.0574537909976892,0.36,0.447578339683434
2.68,27020001,3,2,0.12,0.13,0.04804435547211,0.0675844310541404,7.2168,0.0398055538814721,0.24,0.423203592117837
2.7,27020001,3,2,0.14,0.15,0.0555426860458043,0.0816485028964971,8.4224,0.048306203500896,0.28,0.423203592117837
2.72,27020001,3,2,0.16,0.17,0.0628765120723779,0.0965125747388539,9.6288,0.0565228116018749,0.32,0.423203592117837
2.74,27020001,3,2,0.18,0.19,0.070039659601745,0.112176646581211,10.836,0.0650500761249706,0.36,0.423203592117837
2.76,27020001,3,2,0.12,0.13,0.0444841719063213,0.0644540444135036,7.2168,0.0463609948721993,0.24,0.397117036779196
2.78,27020001,3,2,0.14,0.15,0.0513191060700145,0.0779963851490875,8.4224,0.0553872727803698,0.28,0.397117036779196
2.8,27020001,3,2,0.12,0.13,0.0425085747318059,0.0628119963380408,7.2168,0.0503276457920014,0.24,0.383433302817006
2.82,27020001,3,2,0.14,0.15,0.0489874995815683,0.0760806623943809,8.4224,0.0595563944410328,0.28,0.383433302817006
2.84,27020001,3,2,0.16,0.17,0.0553091042157041,0.090149328450721,9.6288,0.0674328943851734,0.32,0.383433302817006
2.86,27020001,3,2,0.18,0.19,0.0614588693147405,0.105017994507061,10.836,0.0760454850692835,0.36,0.383433302817006
2.88,27020001,3,2,0.12,0.13,0.038442528027659,0.0588916484256257,7.2168,0.0511741865322261,0.24,0.350763736880214
2.9,27020001,3,2,0.14,0.15,0.0442306743136683,0.07150692316323,8.4224,0.0615195902122052,0.28,0.350763736880214
2.92,27020001,3,2,0.12,0.13,0.0363290426200267,0.0567785414123875,7.2168,0.0535303108269501,0.24,0.333154511769896
2.94,27020001,3,2,0.14,0.15,0.0416811881690449,0.0690416316477855,8.4224,0.0658444123308789,0.28,0.333154511769896
2.96,27020001,3,2,0.12,0.13,0.0340086516179312,0.0547302217449272,7.2168,0.0600799222382469,0.24,0.316085181207726
2.98,27020001,3,2,0.14,0.15,0.0389092893868755,0.0666519253690817,8.4224,0.071563925400603,0.28,0.316085181207726
3,27020001,3,2,0.12,0.13,0.0314586703391089,0.0527641411677834,7.2168,0.0657165314790109,0.24,0.299701176398195
3.02,27020001,3,2,0.14,0.15,0.0358866190138329,0.0643581646957473,8.4224,0.0791522307209642,0.28,0.299701176398195
3.04,27020001,3,2,0.12,0.13,0.0286925328536412,0.0503785005540882,7.2168,0.0713672086102184,0.24,0.279820837950735
3.06,27020001,3,2,0.14,0.15,0.0326626916893146,0.0615749173131029,8.4224,0.0824878359910475,0.28,0.279820837950735
3.08,27020001,3,2,0.12,0.13,0.0259569505788316,0.0475703364269115,7.2168,0.0689574236251887,0.24,0.256419470224263
3.1,27020001,3,2,0.14,0.15,0.029492531946139,0.0582987258313968,8.4224,0.0810816849937547,0.28,0.256419470224263
3.12,27020001,3,2,0.16,0.17,0.0328140830198512,0.069827115235882,9.6288,0.0920532676724674,0.32,0.256419470224263
3.14,27020001,3,2,0.18,0.19,0.0362574381635996,0.0821555046403673,10.836,0.0871230653078764,0.36,0.256419470224263
3.16,27020001,3,2,0.2,0.21,0.0398210170599111,0.0952838940448525,12.044,0.0824725422817288,0.4,0.256419470224263
3.18,27020001,3,2,0.22,0.23,0.0434837954989486,0.109212283449338,13.2528,0.0790352781850912,0.44,0.256419470224263
3.2,27020001,3,2,0.24,0.25,0.0472293507551493,0.123940672853823,14.4624,0.076652041494482,0.48,0.256419470224263
3.22,27020001,3,2,0.26,0.27,0.0510407899883966,0.139469062258308,15.6728,0.0751132315486764,0.52,0.256419470224263
3.24,27020001,3,2,0.28,0.29,0.0548997600128149,0.155797451662794,16.884,0.0744170542782098,0.56,0.256419470224263
3.26,27020001,3,2,0.3,0.31,0.0587850086114363,0.172925841067279,18.096,0.0812035157230738,0.6,0.256419470224263
3.28,27020001,3,2,0.32,0.33,0.0626921065605308,0.190854230471764,19.3088,0.0884815830637844,0.64,0.256419470224263
3.3,27020001,3,2,0.12,0.13,0.0233715126953051,0.0388613865545104,7.2168,0.0433259708903671,0.24,0.183844887954253
3.32,27020001,3,2,0.14,0.15,0.0274119299149923,0.0481382843135954,8.4224,0.051788385350063,0.28,0.183844887954253
3.34,27020001,3,2,0.16,0.17,0.0314813173331521,0.0582151820726805,9.6288,0.0590780281054919,0.32,0.183844887954253
3.36,27020001,3,2,0.12,0.13,0.0242339423441114,0.0400792220753098,7.2168,0.0565498904826704,0.24,0.193993517294248
3.38,27020001,3,2,0.14,0.15,0.0283726757383776,0.0495590924211947,8.4224,0.0633316282277173,0.28,0.193993517294248
3.4,27020001,3,2,0.12,0.13,0.0246852616044872,0.0407252602606432,7.2168,0.0455156544907479,0.24,0.199377168838694
3.42,27020001,3,2,0.14,0.15,0.0288595585244685,0.0503128036374171,8.4224,0.0506366128550344,0.28,0.199377168838694
3.44,27020001,3,2,0.16,0.17,0.0330402393407529,0.060700347014191,9.6288,0.0558408345112019,0.32,0.199377168838694
3.46,27020001,3,2,0.12,0.13,0.0250730411025921,0.04151336914762,7.2168,0.0348830388712353,0.24,0.205944742896833
3.48,27020001,3,2,0.14,0.15,0.0292627399239428,0.0512322640055566,8.4224,0.0391392762825752,0.28,0.205944742896833
3.5,27020001,3,2,0.16,0.17,0.0334442451858477,0.0617511588634933,9.6288,0.0431521038439238,0.32,0.205944742896833
