N,interferenceMode,source,directEdgeCount,directGraphDiameter,topologyHash,planHash,routeAdmissible,unreachableRecipientCount,treeEdgeCount,maximumRecipientDepth,plannedTransmitterCount,baseReservedSlotCount,parentUnique,slotColoringProper,causalSlotOrder,linkErasureProbability,selectedRepetitions,previousRepetitionFailure,edgeFailureProbability,minimumRecipientDelivery,multicastFailureExact,multicastFailureUnionUpperBound,maximumPhysicalAttempts,maximumPhysicalBytes,reservedSlotCount,reservedDurationSec,wholeFloodAttempts,wholeFloodFailure,wholeFloodMaximumPhysicalAttempts,wholeFloodReservedSlotCount,hopLocalSlotSavings,logicalCliqueAttemptUndercountFactor,noLossAllRecipientsDelivered,replayAttempts,replayBytes,replayOfferedAirtimeSec,replayReservedDurationSec,replayCollisionRecipients,replayDuplicateForwards,replayFutureRandomReads,replayReceiverTruthReads,integerAccountingExact,airtimeAccountingExact,upstreamErasureCausalSilence,failedReplayAttempts,simulatorVersionHash
20,spatial-reuse-lower-bound,8,28,4,638762,10559502,1,0,19,3,9,4,1,1,1,0.2,7,0.00121529983795166,1.28e-05,0.999961600491518,0.000243171985392698,0.0002432,63,6048,28,0.167219248129925,13,0.000638451907498368,117,52,24,63,1,63,6048,0.193536,0.167219248129925,0,0,0,0,1,1,1,7,64337
20,spatial-reuse-lower-bound,8,28,4,638762,10559502,1,0,19,3,9,4,1,1,1,0.3,9,0.00124585417467427,1.9683e-05,0.999940952162254,0.000373910758484808,0.000373977,81,7776,36,0.214996176167047,22,0.000681795947317017,198,88,52,81,1,81,7776,0.248832,0.214996176167047,0,0,0,0,1,1,1,9,64337
20,spatial-reuse-lower-bound,9,28,4,638762,10606560,1,0,19,4,10,6,1,1,1,0.05,4,0.00237233001663295,6.25e-06,0.999975000234374,0.000118743320548842,0.00011875,40,3840,24,0.143330784111364,6,0.000314361514643425,60,36,12,40,1,40,3840,0.12288,0.143330784111364,0,0,0,0,1,1,1,4,64337
20,spatial-reuse-lower-bound,9,28,4,638762,10606560,1,0,19,4,10,6,1,1,1,0.2,7,0.00121529983795166,1.28e-05,0.999948800983032,0.000243171985392698,0.0002432,70,6720,42,0.250828872194888,17,0.000812510489962824,170,102,60,70,1,70,6720,0.21504,0.250828872194888,0,0,0,0,1,1,1,7,64337
20,spatial-reuse-lower-bound,9,28,4,638762,10606560,1,0,19,4,10,6,1,1,1,0.3,9,0.00124585417467427,1.9683e-05,0.999921270324492,0.000373910758484808,0.000373977,90,8640,54,0.32249426425057,32,0.000928595622052801,320,192,138,90,1,90,8640,0.27648,0.32249426425057,0,0,0,0,1,1,1,9,64337
20,spatial-reuse-lower-bound,10,28,4,638762,10562982,1,0,19,3,9,4,1,1,1,0.05,4,0.00237233001663295,6.25e-06,0.999981250117187,0.000118743320548842,0.00011875,36,3456,16,0.095553856074243,5,0.000493356213766234,45,20,4,36,1,36,3456,0.110592,0.095553856074243,0,0,0,0,1,1,1,4,64337
20,spatial-reuse-lower-bound,10,28,4,638762,10562982,1,0,19,3,9,4,1,1,1,0.2,7,0.00121529983795166,1.28e-05,0.999961600491518,0.000243171985392698,0.0002432,63,6048,28,0.167219248129925,13,0.000638451907498368,117,52,24,63,1,63,6048,0.193536,0.167219248129925,0,0,0,0,1,1,1,7,64337
20,spatial-reuse-lower-bound,10,28,4,638762,10562982,1,0,19,3,9,4,1,1,1,0.3,9,0.00124585417467427,1.9683e-05,0.999940952162254,0.000373910758484808,0.000373977,81,7776,36,0.214996176167047,22,0.000681795947317017,198,88,52,81,1,81,7776,0.248832,0.214996176167047,0,0,0,0,1,1,1,9,64337
20,spatial-reuse-lower-bound,11,28,4,638762,10610693,1,0,19,4,10,6,1,1,1,0.05,4,0.00237233001663295,6.25e-06,0.999975000234374,0.000118743320548842,0.00011875,40,3840,24,0.143330784111364,6,0.000314361514643425,60,36,12,40,1,40,3840,0.12288,0.143330784111364,0,0,0,0,1,1,1,4,64337
20,spatial-reuse-lower-bound,11,28,4,638762,10610693,1,0,19,4,10,6,1,1,1,0.2,7,0.00121529983795166,1.28e-05,0.999948800983032,0.000243171985392698,0.0002432,70,6720,42,0.250828872194888,17,0.000812510489962824,170,102,60,70,1,70,6720,0.21504,0.250828872194888,0,0,0,0,1,1,1,7,64337
