armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,isPareto,frontierFamily
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.147687616550552,9.096493187269e-05,0.168100765428591,0.000112215235405301,25,0,24.9666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.144429884578046,2.68222391539016e-05,0.165470790312474,3.98074552142288e-05,50,0,49.9666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.448550425477423,0.00544965352508371,0.434736696919539,0.00338636038604194,1.82795454545455,0.0248523532650314,2.11233333333333,0.020994377554214,1.1459855028164,0.147021985343105,S2,Formation-switching,0,Control-aware
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.353602990915137,0.00839581038257914,0.348009862437618,0.00661574006473114,2.36909090909091,0.0466421558515398,2.8245,0.0417815084031734,1.08400116147866,0.190273151232512,S2,Formation-switching,0,Control-aware
CA09,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.269440564941133,0.00329695049671389,0.27159895146066,0.00306307678387532,3.39409090909091,0.0441678686358614,4.035,0.0455788389009149,1.03153979306043,0.28145236508994,S2,Formation-switching,0,Control-aware
CA08,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.230244119270831,0.00250446957506087,0.236319293897481,0.00237103628694575,4.33272727272727,0.0390138643506414,5.03783333333333,0.0376690633455804,1.03605861682619,0.356189207195203,S2,Formation-switching,0,Control-aware
CA07,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.193819923275068,0.00119034605284543,0.205523630911529,0.00102166888414162,5.99590909090909,0.0169047220651263,6.77133333333333,0.0218072363117283,1.04081927696734,0.472511658894071,S2,Formation-switching,0,Control-aware
CA06,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.176892717201779,0.000489483690300675,0.191350683390191,0.000520340946312655,7.84113636363636,0.0573801751838754,8.7055,0.0395047465502563,1.0122587024785,0.564330446369087,S2,Formation-switching,0,Control-aware
CA05,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.162876300215745,0.000371008092315741,0.180646411594968,0.000393180189209158,10.4497727272727,0.0217161439738023,11.638,0.020502371136584,0.966767246023678,0.817588274483678,S2,Formation-switching,0,Control-aware
CA04,Control-aware,Control-aware,epsilonPosition_m,0.15,NaN,0.15,5,0,0,0,0.161367000463653,0.000495204449525062,0.17893022047378,0.000403174057372551,11.0711363636364,0.0277607845174593,12.6893333333333,0.00919314358034663,0.992948174763723,0.949633577614923,S2,Formation-switching,0,Control-aware
