seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
14,Periodic20Hz,Moderate,0.0728771079204766,0.0937145743257288,0.508021792933001,0.118525582803512,20,7200,0.795972222222222,0,0
15,Periodic20Hz,Moderate,0.0728346600314179,0.0930981509323949,0.507137548709613,0.118116863457463,20,7200,0.801388888888889,0,0
16,Periodic20Hz,Moderate,0.0732891587043791,0.0941127553688339,0.506166607298613,0.118673932788374,20,7200,0.797083333333333,0,0
17,Periodic20Hz,Moderate,0.0727757894087519,0.0936577164079824,0.507503291379922,0.117982137450802,20,7200,0.805,0,0
18,Periodic20Hz,Moderate,0.0726158788444625,0.0929320219222432,0.509132236902397,0.117765667574932,20,7200,0.795833333333333,0,0
19,Periodic20Hz,Moderate,0.072922346827635,0.0931800937943234,0.508624547927512,0.118505903723887,20,7200,0.796111111111111,0,0
20,Periodic20Hz,Moderate,0.0731386593738952,0.0938920060318086,0.508743306325876,0.118661822585528,20,7200,0.796666666666667,0,0
1,Periodic10Hz,Stressed,0.145351290843021,0.199368108415725,0.41818280528856,0.238754162882228,10,3600,0.591944444444444,1,0
2,Periodic10Hz,Stressed,0.145755448804379,0.258947462335416,0.407536523921197,0.228755676657584,10,3600,0.623333333333333,1,0
3,Periodic10Hz,Stressed,0.144387036743046,0.195340220447527,0.412709707468749,0.232222222222222,10,3600,0.604722222222222,1,0
4,Periodic10Hz,Stressed,0.144494767704027,0.198846859962296,0.417260681933926,0.235544959128065,10,3600,0.605833333333333,1,0
5,Periodic10Hz,Stressed,0.144333451120732,0.199381653049015,0.422265292945842,0.231465334544354,10,3600,0.606666666666667,1,0
6,Periodic10Hz,Stressed,0.143073684763544,0.195313730221536,0.424200053501108,0.23188919164396,10,3600,0.623333333333333,1,0
7,Periodic10Hz,Stressed,0.1502481273256,0.21201848051983,0.390950564745371,0.242773236451711,10,3600,0.585555555555556,1,0
8,Periodic10Hz,Stressed,0.146965635434149,0.197071993941061,0.414059742066815,0.238950953678474,10,3600,0.591388888888889,1,0
9,Periodic10Hz,Stressed,0.146990573626732,0.19478565106713,0.41910809680556,0.236165607023918,10,3600,0.590555555555556,1,0
10,Periodic10Hz,Stressed,0.143251767335829,0.183936163515959,0.421482095775918,0.23292612776264,10,3600,0.609722222222222,1,0
11,Periodic10Hz,Stressed,0.149180605594716,0.212474793662264,0.405799807103764,0.237580986981532,10,3600,0.596388888888889,1,0
12,Periodic10Hz,Stressed,0.144208723080224,0.203365214925076,0.405856399667093,0.232207084468665,10,3600,0.610833333333333,1,0
13,Periodic10Hz,Stressed,0.143078310617494,0.186567650424245,0.418962479923542,0.234280956706025,10,3600,0.596944444444444,1,0
14,Periodic10Hz,Stressed,0.150531959324644,0.216612427717791,0.39386600525608,0.242425068119891,10,3600,0.591111111111111,1,0
15,Periodic10Hz,Stressed,0.147284328130014,0.203339644163493,0.413806675338338,0.235930971843778,10,3600,0.611388888888889,1,0
16,Periodic10Hz,Stressed,0.142070637032937,0.189431716460153,0.423100540733856,0.234122010293672,10,3600,0.599166666666667,1,0
17,Periodic10Hz,Stressed,0.146852631768919,0.195519436910053,0.416377700177134,0.238247048138056,10,3600,0.595555555555556,1,0
18,Periodic10Hz,Stressed,0.151641091432033,0.207182318020018,0.401934188267602,0.244196185286104,10,3600,0.594722222222222,1,0
19,Periodic10Hz,Stressed,0.150753189612606,0.215147546345165,0.425056764984549,0.241592491674236,10,3600,0.584444444444444,1,0
20,Periodic10Hz,Stressed,0.146783032835686,0.193795953710605,0.423802517528908,0.236006660611565,10,3600,0.6075,1,0
1,Periodic20Hz,Stressed,0.110188327952282,0.144242691012769,0.462666272372264,0.178911595519225,20,7200,0.596388888888889,1,0
2,Periodic20Hz,Stressed,0.108544391282455,0.140378688587359,0.461829718975638,0.176866485013624,20,7200,0.61125,1,0
3,Periodic20Hz,Stressed,0.108811488269993,0.141023807541028,0.465153545832033,0.177151074780503,20,7200,0.604027777777778,1,0
4,Periodic20Hz,Stressed,0.109933299448116,0.141639269616364,0.462954037760854,0.17808961550106,20,7200,0.609861111111111,1,0
5,Periodic20Hz,Stressed,0.11087415668177,0.142740867524985,0.460823353838436,0.180186194368756,20,7200,0.597222222222222,1,0
6,Periodic20Hz,Stressed,0.109932767195639,0.141603623922485,0.465071284414474,0.177600666061157,20,7200,0.609722222222222,1,0
7,Periodic20Hz,Stressed,0.110195194514927,0.142190421015727,0.457878472982903,0.180331516802906,20,7200,0.588055555555556,1,0
8,Periodic20Hz,Stressed,0.110477389785322,0.142439053888212,0.460774912938255,0.179035725098396,20,7200,0.597638888888889,1,0
9,Periodic20Hz,Stressed,0.110147867982485,0.144617999911337,0.460666377557608,0.178484710868907,20,7200,0.5975,1,0
10,Periodic20Hz,Stressed,0.110010621020923,0.14166690814546,0.464887260893963,0.178648198607327,20,7200,0.60125,1,0
11,Periodic20Hz,Stressed,0.110617516651855,0.141871333576895,0.459498374137147,0.179382379654859,20,7200,0.596388888888889,1,0
12,Periodic20Hz,Stressed,0.110465389286386,0.146996799125713,0.468786638433657,0.179573115349682,20,7200,0.601805555555555,1,0
13,Periodic20Hz,Stressed,0.109676811693832,0.140909598563383,0.462214823938771,0.178907054193158,20,7200,0.597638888888889,1,0
14,Periodic20Hz,Stressed,0.110094897417187,0.142959308327009,0.460820383240971,0.180207387223736,20,7200,0.591111111111111,1,0
15,Periodic20Hz,Stressed,0.110534900948596,0.143734151432549,0.461239702129997,0.178189524674538,20,7200,0.604861111111111,1,0
16,Periodic20Hz,Stressed,0.11013329931408,0.140725095625661,0.464125584920543,0.180351195882531,20,7200,0.598055555555556,1,0
17,Periodic20Hz,Stressed,0.110164153747507,0.144533208585307,0.461073744209818,0.179791099000908,20,7200,0.588055555555556,1,0
18,Periodic20Hz,Stressed,0.11165149017153,0.145558103608592,0.455462536765026,0.180977898879806,20,7200,0.597361111111111,1,0
19,Periodic20Hz,Stressed,0.110416746330123,0.150508363146573,0.4525289214706,0.178405994550409,20,7200,0.598472222222222,1,0
20,Periodic20Hz,Stressed,0.111142806389525,0.142971920141754,0.459350875071613,0.179945504087193,20,7200,0.599861111111111,1,0
1,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
2,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
3,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
4,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
5,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
6,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
7,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
8,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
9,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
10,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
11,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
12,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
13,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
14,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
15,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
16,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
