seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
12,Full-AoI,Moderate,0.0974457793441703,0.125418290212777,0.474987778329534,0.158253103239479,11.2166666666667,4038,0.803615651312531,0,0
13,Full-AoI,Moderate,0.0976390105604241,0.126506854875426,0.478617165157093,0.1586148955495,11.3111111111111,4072,0.789538310412574,0,0
14,Full-AoI,Moderate,0.0975258152885242,0.128187500120354,0.477011369170232,0.158953981229185,11.2777777777778,4060,0.792118226600985,0,0
15,Full-AoI,Moderate,0.0973484928964038,0.126030564356403,0.477886547644664,0.158215258855586,11.2361111111111,4045,0.799505562422744,0,0
16,Full-AoI,Moderate,0.0986070081380596,0.127255347741808,0.47304697319846,0.158976687859522,11.3027777777778,4069,0.793069550258049,0,0
17,Full-AoI,Moderate,0.0978452482183832,0.128290497013329,0.47336118516767,0.158287920072661,11.1888888888889,4028,0.804865938430983,0,0
18,Full-AoI,Moderate,0.0972673331550067,0.127246212366562,0.472998170723595,0.158216772630941,11.2444444444444,4048,0.792243083003953,0,0
19,Full-AoI,Moderate,0.0978127353249459,0.125926549761309,0.476389379748972,0.158567968513472,11.2777777777778,4060,0.799014778325123,0,0
20,Full-AoI,Moderate,0.0980145920517707,0.125831685481938,0.477815798474778,0.158976687859522,11.2472222222222,4049,0.797233884909854,0,0
1,Full-AoI,Stressed,0.131963412681956,0.178831938552355,0.434652825200894,0.213387829246139,15.9361111111111,5737,0.595258846086805,1,0
2,Full-AoI,Stressed,0.129936415521967,0.167571063286593,0.434324052202311,0.21074931880109,15.6638888888889,5639,0.613406632381628,1,0
3,Full-AoI,Stressed,0.130343735177658,0.172991207211007,0.434975811927378,0.210846200423857,15.6777777777778,5644,0.604181431608788,1,0
4,Full-AoI,Stressed,0.131386003044851,0.172806687675184,0.435523359600294,0.212099606418407,15.7888888888889,5684,0.607318789584799,1,0
5,Full-AoI,Stressed,0.131469843911272,0.173348465282763,0.431599917965287,0.213539206781713,15.8111111111111,5692,0.600140548137737,1,0
6,Full-AoI,Stressed,0.130515899554382,0.169565251593588,0.440281587023583,0.212285800787163,15.6861111111111,5647,0.611652204710466,1,0
7,Full-AoI,Stressed,0.132148681600324,0.175311633350543,0.428775785424194,0.212217680896155,15.8111111111111,5692,0.590126493323963,1,0
8,Full-AoI,Stressed,0.130480639208975,0.170029009465975,0.430470799354042,0.212524977293369,15.7666666666667,5676,0.595489781536293,1,0
9,Full-AoI,Stressed,0.130705080482296,0.172655801134638,0.431158941464671,0.211341204965183,15.7083333333333,5655,0.59946949602122,1,0
10,Full-AoI,Stressed,0.130461313366909,0.167946673107534,0.439348440687138,0.211527399333938,15.7194444444444,5659,0.604347057784061,1,0
11,Full-AoI,Stressed,0.131619241375195,0.175339494958227,0.43359669090666,0.213077505298213,15.7472222222222,5669,0.591815134944435,1,0
12,Full-AoI,Stressed,0.130065736587084,0.16801538816599,0.439066132174019,0.212067817135937,15.6361111111111,5629,0.600461893764434,1,0
13,Full-AoI,Stressed,0.130329686798685,0.171523391505504,0.435992726394981,0.211587950348168,15.825,5697,0.598736176935229,1,0
14,Full-AoI,Stressed,0.13174098162236,0.171553277920961,0.429993155495613,0.213197093551317,15.8444444444444,5704,0.592566619915849,1,0
15,Full-AoI,Stressed,0.131281342192838,0.169444851418751,0.434164882372397,0.212042082954889,15.7638888888889,5675,0.605286343612335,1,0
16,Full-AoI,Stressed,0.130787851860198,0.168840333718319,0.434890361977341,0.212671813502876,15.9027777777778,5725,0.596681222707424,1,0
17,Full-AoI,Stressed,0.130934093728746,0.172776906537521,0.435061586460713,0.212294883439297,15.8666666666667,5712,0.593487394957983,1,0
18,Full-AoI,Stressed,0.131626645802379,0.176408766389334,0.424389789751047,0.213035119588253,15.8416666666667,5703,0.597755567245309,1,0
19,Full-AoI,Stressed,0.130487661787914,0.174218487953282,0.434547082286293,0.209877384196185,15.7638888888889,5675,0.597885462555066,1,0
20,Full-AoI,Stressed,0.130780237720281,0.172437146430184,0.434089753337058,0.211639418710263,15.825,5697,0.601895734597156,1,0
