attemptId,endpoint,actionIndex,actionId,q,affineQ,senderInformationResidual,dynamicResidual,actionResponseResidual,oracleResponseResidual,affineOracleMismatch,saturationMargin,argMax,commonFiberReplayPass,failureReason
center_02_sender_4,LEFT,1,ordinary_4_to_3,-0.000446638606003763,-0.000446638606003763,2.53432257818487e-18,2.16840434497101e-16,2.16840434497101e-19,0,5.42101086242752e-19,1.13781570192373e-05,0,1,NONE
center_02_sender_4,LEFT,2,ordinary_4_to_5,-1.24127363218015e-05,-1.24127363218015e-05,2.53432257818487e-18,2.16840434497101e-16,2.16840434497101e-19,0,3.55753837846806e-20,1.13781570192373e-05,0,1,NONE
center_02_sender_4,RIGHT,0,NO_TRANSMISSION,0,0,2.53432257818487e-18,2.89698820488127e-16,0,0,0,0.00175090495214114,0,1,NONE
center_02_sender_4,RIGHT,1,ordinary_4_to_3,0.00044185098501579,0.000441850985015791,2.53432257818487e-18,2.89698820488127e-16,2.16840434497101e-19,0,1.62630325872826e-19,0.00175090495214114,1,1,NONE
center_02_sender_4,RIGHT,2,ordinary_4_to_5,1.02560949387589e-05,1.02560949387589e-05,2.53432257818487e-18,2.89698820488127e-16,2.16840434497101e-19,0,5.75982404132924e-20,0.00175090495214114,0,1,NONE
center_03_sender_1,CENTER,0,NO_TRANSMISSION,0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,CENTER,1,ordinary_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,CENTER,2,ordinary_1_to_5,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,CENTER,3,pinned_leader_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,CENTER,4,pinned_leader_1_to_4,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,LEFT,0,NO_TRANSMISSION,0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,LEFT,1,ordinary_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,LEFT,2,ordinary_1_to_5,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,LEFT,3,pinned_leader_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,LEFT,4,pinned_leader_1_to_4,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,RIGHT,0,NO_TRANSMISSION,0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,RIGHT,1,ordinary_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,RIGHT,2,ordinary_1_to_5,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,RIGHT,3,pinned_leader_1_to_2,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_1,RIGHT,4,pinned_leader_1_to_4,-0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,1,1,NONE
center_03_sender_3,CENTER,0,NO_TRANSMISSION,0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,0,1,NONE
center_03_sender_3,CENTER,1,ordinary_3_to_2,-1.56599321941097e-08,-1.56599321941097e-08,0,1.36582368678861e-16,0,0,2.64697796016969e-23,1.97196358965586,0,1,NONE
center_03_sender_3,CENTER,2,ordinary_3_to_4,6.22656003003555e-08,6.2265600300357e-08,0,1.36582368678861e-16,0,0,1.46907276789418e-21,1.97196358965586,1,1,NONE
center_03_sender_3,LEFT,0,NO_TRANSMISSION,0,0,4.04813385544759e-20,2.91433543964104e-16,0,0,0,0.562369066722038,1,1,NONE
center_03_sender_3,LEFT,1,ordinary_3_to_2,-3.55264609953584e-07,-3.55264609953584e-07,4.04813385544759e-20,2.91433543964104e-16,2.03287907341032e-20,0,4.2351647362715e-22,0.562369066722038,0,1,NONE
center_03_sender_3,LEFT,2,ordinary_3_to_4,-1.26874419745838e-05,-1.26874419745838e-05,4.04813385544759e-20,2.91433543964104e-16,2.03287907341032e-20,0,1.6940658945086e-20,0.562369066722038,0,1,NONE
center_03_sender_3,RIGHT,0,NO_TRANSMISSION,0,0,4.04813385544759e-20,3.60822483003176e-16,0,0,0,0.0136363422486703,0,1,NONE
center_03_sender_3,RIGHT,1,ordinary_3_to_2,4.57401741601723e-07,4.57401741601724e-07,4.04813385544759e-20,3.60822483003176e-16,2.03287907341032e-20,0,5.29395592033938e-22,0.0136363422486703,0,1,NONE
center_03_sender_3,RIGHT,2,ordinary_3_to_4,1.78223216178421e-05,1.78223216178421e-05,4.04813385544759e-20,3.60822483003176e-16,2.03287907341032e-20,0,0,0.0136363422486703,1,1,NONE
center_03_sender_4,CENTER,0,NO_TRANSMISSION,0,0,0,1.36582368678861e-16,0,0,0,1.97196358965586,0,1,NONE
center_03_sender_4,CENTER,1,ordinary_4_to_3,-6.03994382386675e-07,-6.03994382386647e-07,0,1.36582368678861e-16,0,0,2.77403290225783e-20,1.97196358965586,0,1,NONE
center_03_sender_4,CENTER,2,ordinary_4_to_5,3.25346573756277e-06,3.25346573756279e-06,0,1.36582368678861e-16,0,0,1.60936259978317e-20,1.97196358965586,1,1,NONE
center_03_sender_4,LEFT,0,NO_TRANSMISSION,0,0,2.49027686492764e-18,5.55111512312578e-16,0,0,0,5.79860949225797e-05,1,1,NONE
center_03_sender_4,LEFT,1,ordinary_4_to_3,-0.000281965926006563,-0.000281965926006563,2.49027686492764e-18,5.55111512312578e-16,0,0,4.33680868994202e-19,5.79860949225797e-05,0,1,NONE
center_03_sender_4,LEFT,2,ordinary_4_to_5,-3.9251734778631e-06,-3.9251734778631e-06,2.49027686492764e-18,5.55111512312578e-16,0,0,2.5410988417629e-21,5.79860949225797e-05,0,1,NONE
center_03_sender_4,RIGHT,0,NO_TRANSMISSION,0,0,2.49027686492764e-18,2.4980018054066e-16,0,0,0,0.0564310879623284,0,1,NONE
