seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16033027,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,10,NaN,1,1,1,1,5,5,5,0,7,0,0,994,2783,2783,0,0,0,342,1024,516,0,508,85,0,0,0,159,70,113,5,9.43430477,5.472256,4.947968,0.580038077357978,0.524465566952423,1,1,0,0,16680527627,1080144,77672935
16033027,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,1,0,0,6,5,5,8,10,0.255,78,979,2660,2464,0,196,132,241,550,344,0,206,62,15,1,14,86,110,29,40,11.399978098,4.99712,4.415488,0.438344701809268,0.387324252910157,1,1,0,0,16680527627,1079808,90258938
16033027,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,19,NaN,NaN,1,1,1,0,13,10,10,0,17,0.095,5,1973,6680,6317,317,46,42,1201,5811,963,0,4848,255,5,16,3,301,254,625,6,16.453242078,13.000704,8.216576,0.790160622348317,0.499389479656813,1,1,0,0,65084341277,2363393,291615866
16033027,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,8,9,3,1,1,1,1,9,10,10,0,10,0.01,1,1976,6710,6702,0,8,6,1033,4775,1233,0,3542,183,1,0,1,315,101,616,2,13.041129886,12.324864,8.593408,0.945076393513346,0.658946584776006,1,1,0,0,65084341277,1430097,266953316
16033027,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,8,9,NaN,1,1,1,1,9,10,10,0,10,0.01,1,1978,6718,6710,0,8,6,933,4215,1161,0,3054,164,0,0,0,268,95,570,1,13.017949776,11.923456,8.491008,0.915924258824702,0.65225386071577,1,1,0,0,65084341277,1430080,270835491
16033027,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,8,NaN,NaN,0,1,0,0,14,9,9,11,13,0.195,38,1964,6581,6424,0,157,121,636,1855,1082,0,773,176,14,7,9,303,161,151,50,16.513510364,10.6496,6.950912,0.644902250657527,0.420922738217624,1,1,0,0,65084341277,1420522,265579618
16033028,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,7,30,NaN,1,1,1,1,5,5,5,0,10,0.05,0,984,2734,2565,141,28,20,392,1200,640,0,560,94,10,0,10,143,154,85,15,10.208520444,5.636096,5.033984,0.552097243759999,0.493115924840871,1,1,0,0,16742633887,2013457,89490546
16033028,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,12,3,1,1,1,1,5,5,5,0,10,0,0,992,2775,2775,0,0,0,328,1008,560,0,448,75,1,0,1,147,76,104,6,9.489937034,5.40672,4.943872,0.569731915041071,0.520959410192858,1,1,0,0,16742633887,1080161,78228194
16033028,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,12,NaN,1,1,1,1,5,5,5,0,10,0,0,994,2783,2783,0,0,0,272,872,556,0,316,53,0,0,0,123,75,74,5,9.466756924,5.185536,4.857856,0.547762664831258,0.513148910339551,1,1,0,0,16742633887,1080144,77839626
16033028,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,0,0,0,7,5,5,7,10,0.295,92,975,2611,2408,0,203,161,252,538,328,0,210,62,19,4,17,84,125,20,48,10.857563524,5.025792,4.354048,0.462883960005464,0.401015199254937,1,1,0,0,16742633887,1079808,111629817
16033028,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,23,63,NaN,1,1,1,0,10,10,10,0,13,0.125,2,1975,6683,6258,343,82,59,1232,5906,1125,0,4781,251,4,8,3,307,289,624,9,14.839906422,13.135872,8.220672,0.88517215853371,0.553957131954211,1,1,0,0,65089407320,2363393,275324510
16033028,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,11,100,2,1,1,1,1,8,10,10,0,11,0.03,1,1978,6714,6698,0,16,16,1137,5001,1062,0,3939,207,1,0,1,330,103,703,5,13.082854084,12.75904,7.790592,0.975248972286864,0.59548107392925,1,1,0,0,65089407320,1430097,296013208
16033028,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,11,114,NaN,1,1,1,1,8,10,10,0,11,0.03,1,1979,6718,6702,0,16,16,1152,5042,981,0,4061,210,1,0,1,346,93,712,5,13.249750876,12.824576,7.770112,0.967910726776747,0.586434573202009,1,1,0,0,65089407320,1430080,268986664
16033028,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,14,NaN,NaN,1,1,0,0,13,10,10,12,12,0.225,91,1964,6583,6329,0,254,171,643,1894,1088,0,806,165,16,4,14,302,172,149,50,15.479677458,10.678272,6.909952,0.689825225943671,0.446388629139614,1,1,0,0,65089407320,1420522,261690235
16033029,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,8,38,NaN,1,1,1,1,5,5,5,0,10,0.07,5,984,2735,2558,139,38,28,418,1280,656,0,624,105,10,0,10,154,152,102,17,10.59331027,5.742592,5.074944,0.542096082681811,0.479070646535495,1,1,0,0,16782906244,2013457,97964693
16033029,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,5,12,3,1,1,1,1,5,5,5,0,9,0.01,2,992,2771,2767,0,4,4,306,982,644,0,338,57,1,0,1,141,89,75,6,9.485301012,5.316608,4.947968,0.560510203447827,0.521645859603217,1,1,0,0,16782906244,1080161,78111262
16033029,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,5,12,NaN,1,1,1,1,5,5,5,0,9,0.01,2,994,2779,2775,0,4,4,268,822,472,0,350,59,0,0,0,124,67,77,5,9.462120902,5.169152,4.788224,0.546299508697611,0.506041304015458,1,1,0,0,16782906244,1080144,77747390
16033029,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,5,NaN,NaN,1,0,0,0,3,5,5,7,10,0.555,407,980,2514,1712,0,802,424,192,438,306,0,132,41,14,0,14,81,72,25,36,9.749554266,4.800512,3.70688,0.492382715047909,0.380210202319417,1,1,0,0,16782906244,1079808,171662881
