seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,STALEACKDISC,FORMFAIL,SAFEFAIL
1,P10,Stressed,0.143877085456905,0.193159565284644,0.407336155114344,0.233577051165607,10,3600,0,0,0.614444444444444,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P10,Stressed,0.144610438077087,0.190272428589163,0.42163404725138,0.233894943990312,10,3600,0,0,0.600833333333333,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P10,Stressed,0.147893855957562,0.202031021480805,0.420581852350621,0.236763548289434,10,3600,0,0,0.599166666666667,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,P20,Stressed,0.108968564612297,0.142361477451072,0.464312895011219,0.176839237057221,20,7200,0,0,0.612083333333333,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P20,Stressed,0.10968572641172,0.141938590199932,0.461328952111363,0.178313654253709,20,7200,0,0,0.599305555555556,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P20,Stressed,0.111966992288473,0.150673673159564,0.45597840293404,0.180349682107175,20,7200,0,0,0.593888888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,A1 State-event,Stressed,0.256630707926307,0.367759255474741,0.294890386355851,0.426518316681804,4.20555555555556,1514,0,0,0.603698811096433,0,0.963011889035667,0.0369881109643329,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,A1 State-event,Stressed,0.259781494359731,0.457269170483063,0.272523091670626,0.417476536481986,4.21111111111111,1516,0,0,0.597625329815303,0,0.95778364116095,0.0395778364116095,0,0.00263852242744063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,A1 State-event,Stressed,0.253373668113807,0.417212611086199,0.244489585952655,0.4251846805934,4.22777777777778,1522,0,0,0.611695137976347,0,0.964520367936925,0.0354796320630749,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1
1,Ideal-AoI,Stressed,0.129744322781264,0.169351505272097,0.434938686951098,0.210732667272176,15.6388888888889,5630,0,0,0.614742451154529,0,0.605150976909414,0.0271758436944938,0.367673179396092,0,0.332665722851415,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,Ideal-AoI,Stressed,0.129897659191214,0.170583704343898,0.432721651790983,0.211624280956706,15.7277777777778,5662,0,0,0.600671140939597,0,0.612151183327446,0.0268456375838926,0.361003179088661,0,0.331158394403713,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,Ideal-AoI,Stressed,0.130846843033136,0.171958569329913,0.434674419812981,0.212344838026037,15.8944444444444,5722,0,0,0.593149248514505,0,0.62233484795526,0.0253407899335897,0.35232436211115,0,0.330086886520077,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,A2c Fixed-OL,Stressed,0.169477293663528,0.2308327231108,0.388168368697285,0.27530881017257,7.48333333333333,2694,4.56111111111111,1642,0.611729769858946,0,0.0556792873051225,0.00965107646622123,0.934669636228656,0,0.5,0.5,0.068321525885559,0.771319120586276,2.25854985565179,9,1.00428134556575,0,0,1,0
2,A2c Fixed-OL,Stressed,0.167100320519972,0.237579022112405,0.385299801169916,0.279400544959128,7.48333333333333,2694,4.45,1602,0.596881959910913,0,0.0601336302895323,0.0103934669636229,0.929472902746845,0,0.5,0.5,0.0684341507720258,0.771818787475017,2.31601154785698,10,1.00501882057716,0,0,1,0
3,A2c Fixed-OL,Stressed,0.175626169795954,0.243728227449742,0.391099169676539,0.284748713290948,7.48888888888889,2696,4.47777777777778,1612,0.599777448071217,0,0.0675074183976261,0.00964391691394659,0.922848664688427,0,0.5,0.5,0.0681217075386018,0.76993115700644,2.33888518765268,13,1.0031113876789,0,0,1,0
1,A3c Adapt-OL,Stressed,0.162541571167559,0.227882370151912,0.385309061269356,0.26375719043294,8.16111111111111,2938,4.98888888888889,1796,0.615044247787611,0,0.0462899931926481,0.00953029271613342,0.944179714091218,0,0.493967910282064,0.375,0.0626503178928253,0.802631578947368,2.42882522762603,11,1.00559910414334,0,0,1,0
2,A3c Adapt-OL,Stressed,0.158944118280973,0.208056820537644,0.40477865551463,0.2608310626703,8.2,2952,4.9,1764,0.600609756097561,0,0.0548780487804878,0.00948509485094851,0.935636856368564,0,0.494223295580754,0.375,0.0622325158946418,0.806073728625361,2.44953364423718,9,1.00570125427594,0,0,1,0
3,A3c Adapt-OL,Stressed,0.163047220601742,0.256327274793095,0.394824179637407,0.265551014229488,8.15,2934,4.85,1746,0.597818677573279,0,0.0620313565098841,0.00886162235855487,0.929107021131561,0,0.49381523428828,0.375,0.0624359673024529,0.801465689540307,2.47879191650011,13,1.00287191269385,0,0,1,0
1,A4c Causal-AoI,Stressed,0.152585518536568,0.21432978482324,0.388186171159859,0.246966394187102,9.06666666666667,3264,5.525,1989,0.611519607843137,0,0.0343137254901961,0.0079656862745098,0.957720588235294,0,0.201798800799405,0.2,0.369340599455038,0.743393293359982,2.618254497002,10,1.00252016129032,0,0,1,0
2,A4c Causal-AoI,Stressed,0.1509243378412,0.202098475652363,0.407452627882868,0.247749016046018,9.06666666666667,3264,5.39444444444444,1942,0.597732843137255,0,0.0349264705882353,0.00919117647058824,0.955882352941177,0,0.201798800799405,0.2,0.369549500454129,0.743726404619143,2.64168332222962,9,1.00206398348813,0,0,1,0
3,A4c Causal-AoI,Stressed,0.157368764155924,0.224197368218857,0.397945380201765,0.249497426581895,9.07222222222222,3266,5.40555555555556,1946,0.598285364360073,0,0.0404164115125536,0.00796080832823025,0.951622780159216,0,0.201798800799405,0.2,0.370319709355128,0.73995114368199,2.66283588718632,13,1.00309278350515,0,0,1,0
