seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,HARDRATIO,ADAPTRATIO,REFRESHRATIO,CDBLOCKED,INFLBLOCKED,STALEACKDISC,FORMFAIL,SAFEFAIL
1,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
2,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
3,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
1,A4c Dual-mem,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
2,A4c Dual-mem,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
3,A4c Dual-mem,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0,0,0,0,0,0
1,A5c Innov-pri,Clean,0.0383171251773151,0.0496234471531398,0.55068721207118,0.0599818346957312,8.43888888888889,3038,8.43888888888889,3038,1,0,0.0704410796576695,0.00855826201448321,0.903884134298881,0,0.496052631578975,0.474999999999989,0.0800054495912814,0,0,0,1.00197889182058,0,0.0789993416721527,0.903884134298881,0.0171165240289664,0,0,0,0,0
2,A5c Innov-pri,Clean,0.0383171251773151,0.0496234471531398,0.55068721207118,0.0599818346957312,8.43888888888889,3038,8.43888888888889,3038,1,0,0.0704410796576695,0.00855826201448321,0.903884134298881,0,0.496052631578975,0.474999999999989,0.0800054495912814,0,0,0,1.00197889182058,0,0.0789993416721527,0.903884134298881,0.0171165240289664,0,0,0,0,0
3,A5c Innov-pri,Clean,0.0383171251773151,0.0496234471531398,0.55068721207118,0.0599818346957312,8.43888888888889,3038,8.43888888888889,3038,1,0,0.0704410796576695,0.00855826201448321,0.903884134298881,0,0.496052631578975,0.474999999999989,0.0800054495912814,0,0,0,1.00197889182058,0,0.0789993416721527,0.903884134298881,0.0171165240289664,0,0,0,0,0
1,P10,Moderate,0.0956711855142559,0.124983848331451,0.477283112110429,0.155034816833182,10,3600,0,0,0.798888888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,Moderate,0.0959031869099733,0.13367259594351,0.483957648974255,0.156669694217378,10,3600,0,0,0.793333333333333,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,Moderate,0.0940918073582001,0.123611028410415,0.484845012938182,0.153558885861338,10,3600,0,0,0.802222222222222,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,Moderate,0.0729358860101472,0.0944474013965605,0.507611325681648,0.118486224644263,20,7200,0,0,0.79625,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,Moderate,0.0730539013877547,0.09547215156598,0.510091240290732,0.1189842567363,20,7200,0,0,0.796388888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,Moderate,0.0724360727802756,0.0938716686990132,0.510754177867948,0.11802906448683,20,7200,0,0,0.799305555555555,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
