N,seed,forward,reverse,phase,link,blackout,extForce,noise,master
20,25000039,1.95140590994774e+15,2.97984399300796e+15,122505832636,2842094839410,122722522164,4820828.09726066,2227172083.7911,28290643182
20,25000040,2.86500751149859e+15,3.06458386051312e+15,138800000802,3102094839410,120722522164,6649810.06786205,2229703181.90291,37718452464
20,25000041,3.42214756143292e+15,2.72627248175395e+15,128376656850,2759094839410,121722522164,5135019.66498438,2230492040.46568,36354432938
20,25000042,8.8163753774703e+15,217167711707996,114983608597,2800094839410,112722522164,4648865.69399395,2231803658.3788,32836132214
20,25000043,451527888027996,8.21546564776073e+15,124308160047,3008094839410,120722522164,6162141.55587217,2225395534.8076,34163761708
20,25000044,1.234068540679e+15,3.65082046822128e+15,102918850019,2257094839410,129722522164,5674678.46677188,2229273184.38883,27546603016
20,25000045,2.4472404553839e+15,4.74874695846435e+15,109666987085,2571094839410,111722522164,4577910.73432578,2227411004.49203,35195395990
20,25000046,2.73646880850416e+15,1.41154641270307e+15,105271352848,2654094839410,125722522164,6981090.48468627,2225650609.85112,24820940678
20,25000047,3.53840448393046e+15,4.22433687084784e+15,140571220529,2363094839410,121722522164,5123421.75533057,2226324100.63783,32669714516
20,25000048,4.59713842114646e+15,886726285725532,148176892798,2611094839410,123722522164,7829547.64719868,2230641174.13451,31083388980
20,25000049,919354727528796,2.18056419622025e+15,102653483125,2463094839410,120722522164,5532404.64295576,2228691790.00337,43857245618
20,25000050,1.29442386666019e+15,1.24836634875068e+15,101229061634,2796094839410,111722522164,5475792.95682639,2227743455.36389,23680247732
50,25000001,1.46287685431917e+15,3.42081287924743e+15,632326891520,26851159797796,300779398299,5018088.52805224,14307877812.9762,24004737186
50,25000002,4.181998166141e+15,1.7587702535312e+15,585036166362,29710159797796,303779398299,5549867.37050704,14305830243.2596,23618144972
50,25000003,2.51702902349626e+15,5.1148689464505e+15,612066730325,29299159797796,273779398299,4533206.79536634,14320715363.0734,26749265596
50,25000004,1.20543525519162e+15,8.64728649860512e+15,625108471220,30879159797796,275779398299,6639451.03102946,14318889406.9235,20481628462
50,25000005,6.50629526623649e+15,315334007748678,585433952301,27466159797796,284779398299,5868259.56160325,14305552839.4916,31628297290
50,25000006,3.31538952653421e+15,6.56550766150253e+15,746560433579,29202159797796,290779398299,5698796.50519474,14328217105.7897,35554627036
50,25000007,4.58169077407956e+15,7.7027548095714e+15,773582988773,26909159797796,263779398299,6801657.01853736,14301141682.4731,28387979682
50,25000008,6.97454616748244e+15,1.25952426633428e+15,629373857894,27568159797796,272779398299,5598776.66875453,14304641371.7064,36005846670
50,25000009,1.82969967152954e+15,3.84960899374496e+15,614490998388,30481159797796,299779398299,6237324.03083215,14306989839.3679,17658829998
50,25000010,8.02759467261754e+15,1.41668798154145e+15,672997340928,33123159797796,268779398299,6340418.72528404,14307811703.8157,33171746034
50,25000011,3.16571642057325e+15,8.82328457291169e+15,802752417014,28227159797796,302779398299,6956482.10250211,14284819957.8331,25185196364
50,25000012,5.66662157290093e+15,4.01846909701127e+15,762228927674,28131159797796,286779398299,7002699.26194504,14294275389.8989,30206137628
50,25000013,1.0919319907472e+15,1.45911769668615e+15,555128490857,32456159797796,273779398299,4421275.25812189,14304220140.0263,26759714800
50,25000014,253031179024454,6.26675089820269e+15,553481713843,32664159797796,282779398299,4993036.32466334,14301018838.0566,32511674668
50,25000015,8.93900535233133e+15,5.33581158325255e+15,626215412530,30259159797796,307779398299,4530542.03943496,14303226914.7452,28632002802
50,25000016,304970533070918,969157919569989,633829733741,30526159797796,287779398299,6446418.82142952,14317145384.178,28543553132
50,25000017,3.8816682765497e+15,6.64357665639021e+15,639703444338,28380159797796,303779398299,4277439.2028578,14309199192.753,30264302542
50,25000018,2.52025932510625e+15,3.39178751062637e+15,650613683280,25112159797796,292779398299,6785288.08638088,14321617883.6296,20923437054
50,25000019,4.08346916372282e+15,118226460026950,623445177236,28333159797796,282779398299,6163648.33415842,14333880165.7906,18342663732
50,25000020,3.16955963161197e+15,324328978745414,754718493815,28779159797796,280779398299,6041727.31063248,14320670951.3828,33905380580
50,25000021,1.52471530080058e+15,2.69345889334279e+15,689301508486,32563159797796,266779398299,6480263.232253,14316680213.4062,23004424672
50,25000022,8.82440118922247e+15,15788934047814,722562342031,22827159797796,286779398299,5063583.8121332,14316867218.21,18942492682
50,25000023,7.1170102908089e+15,3.9196310988985e+15,611887383976,28945159797796,264779398299,6356362.15418035,14301567912.9002,39724190226
50,25000024,878871338768453,6.94104389625658e+15,617468724644,27876159797796,262779398299,6074811.71595189,14301782657.0679,47602065064
50,25000025,1.40758436173217e+15,6.78835764810349e+15,750623998762,24556159797796,306779398299,4973187.38988609,14326365592.6459,27691544404
50,25000026,6.17421565962042e+15,6.96707785364487e+15,694479790342,30422159797796,259779398299,4653521.74962382,14310893665.8047,48802107488
50,25000027,7.83173855853165e+15,1.13486528547437e+15,575136388495,24610159797796,276779398299,4901287.14866629,14325257894.1563,18837889628
50,25000028,8.36478543877127e+15,796748051294278,569148686140,25163159797796,264779398299,7049164.91779522,14297928550.2419,21150990760
50,25000029,4.71169256503917e+15,214620295936071,663479074702,31807159797796,286779398299,6744940.04524766,14327136409.0769,31595150356
50,25000030,7.77760727809031e+15,2.32623691704532e+15,779861307439,29353159797796,290779398299,4484376.40817787,14298855438.8935,30617908484
50,25000031,1.21042787115629e+15,1.73340189015456e+15,670501597186,32615159797796,297779398299,5000932.13579099,14328591260.2135,28446765420
50,25000032,220222956943430,7.83034595041901e+15,699787976811,28686159797796,288779398299,4206495.25585281,14313023001.2123,26863307378
50,25000033,4.59862467179117e+15,4.82018748477242e+15,674867322038,29400159797796,261779398299,4823370.2257692,14330510953.1782,30705099222
50,25000034,7.14746065380359e+15,7.30628002992749e+15,624586990127,29508159797796,304779398299,5155339.36419414,14307935733.2789,27785315392
50,25000035,5.33139657991584e+15,1.57485114761018e+15,605008523518,28478159797796,272779398299,5752127.7104211,14321161641.6579,31396965024
50,25000036,7.9197374685369e+15,5.63856617703226e+15,630908880663,26950159797796,303779398299,6343009.24697993,14305959730.8827,35068490840
50,25000037,6.80352403880557e+15,1.13666044163898e+15,646713842213,29450159797796,283779398299,5150440.78944159,14303561569.9965,37945678196
50,25000038,7.04183938416852e+15,2.08101997399047e+15,742337748097,27513159797796,260779398299,6037725.70504977,14298615736.6891,27344543806
50,25000039,7.06620129068039e+15,4.61017260962823e+15,664670969743,31234159797796,301779398299,4820828.09726066,14305355702.174,27367527150
50,25000040,6.00705543892384e+15,3.88802692951866e+15,743947468528,29306159797796,300779398299,6649810.06786205,14305271761.678,21608543472
50,25000041,2.80215322462829e+15,929658240030789,758990286092,27569159797796,301779398299,5135019.66498438,14323839052.9422,40434079658
50,25000042,8.57563504206855e+15,2.48776724284013e+15,767198046903,25879159797796,278779398299,4648865.69399395,14313617752.0497,33971462006
50,25000043,8.11927067365997e+15,5.51035855821831e+15,554550181124,28174159797796,301779398299,6162141.55587217,14304785456.3602,38073791020
50,25000044,1.16773095381613e+15,1.15727315594657e+15,640049422353,26241159797796,280779398299,5674678.46677188,14308665655.7405,29171258888
50,25000045,3.90003487914196e+15,6.20155207189101e+15,670484412980,31593159797796,302779398299,4577910.73432578,14321204782.6513,35959496854
50,25000046,8.22282652227386e+15,4.01487359619284e+15,735874855866,29097159797796,280779398299,6981090.48468627,14333542283.9496,33270948486
50,25000047,8.62623106625338e+15,7.11252352184532e+15,697997674772,31901159797796,269779398299,5123421.75533057,14296944327.8426,12371423316
50,25000048,496368972150854,8.03336705614036e+15,702317336501,26089159797796,271779398299,7829547.64719868,14313522835.5069,23414946612
50,25000049,603387536984134,8.13548087480941e+15,664670490206,32304159797796,268779398299,5532404.64295576,14281784408.7972,41427159986
50,25000050,2.31939654312557e+15,8.68629396607188e+15,585343079632,25263159797796,289779398299,5475792.95682639,14312548439.6401,22311295668
