arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-response-blackout-emergency,closure,response-blackout,16094104,1080777,12951561,12951561,0,1638512,610566,18528001664,50983476,656474498,303333646,303333646,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,0.863918185078117,1,0.104367027535717,0.181422818866405,0.0894687223377246,1,1,226,1,1,1,79,79,19,20,118,40,0,0,0,0,0,0,0,1004,1004,244,244,191,191,7526,0.240832,0.240832,1,8.88178419700125e-16,0,0,0.142959679683164,0.14272464447905,1.05148724024355,0,0,1.47455999999999,0.240832,0.163370666666666
closure-response-blackout-no-emergency,closure,response-blackout,16094104,1080777,12951561,12951561,0,1638512,610566,18528001664,50983476,485208304,303333646,303333646,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.79354723995826,0,0.311284008572959,0.565803188481054,0.527290196395408,1,1,226,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,886,886,204,204,191,191,7526,0.240832,0.240832,1,8.88178419700125e-16,0,0,0.253915110136875,0.263352775628611,0.665526637551095,0,0,1.23187199999999,0.240832,0.140257523809523
closure-prepare-blackout-emergency,closure,prepare-blackout,16094104,1080777,12951561,12951561,0,1638512,610566,18749273668,49571947,656736944,303333646,303333646,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.864241800052361,1,0.0959250242912793,0.181490778010996,0.0895345775369044,1,1,226,1,1,1,59,59,0,20,88,30,0,0,0,0,0,0,0,1007,1007,241,241,20,20,672,0.021504,0.021504,1,4.44089209850063e-16,0,0,0.138961152868654,0.148876966532706,1.05717722122617,0,0,1.47455999999999,0.021504,0.142482285714285
closure-commit-blackout-emergency,closure,commit-blackout,16094104,1080777,12951561,12951561,0,1638512,610566,18704967679,51177172,656150772,303333646,303333646,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,0.863928173986603,1,0.104531207819495,0.181424916537187,0.0894709298919615,1,1,226,1,1,1,66,66,7,20,99,33,0,0,0,0,0,0,0,1006,1006,242,242,121,121,4162,0.133184,0.133184,1,8.88178419700125e-16,0,0,0.142959177405989,0.14272434324294,1.05095830463155,0,0,1.47455999999999,0.133184,0.153118476190475
periodic-iid20,periodic,none,16094105,1527248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0993823478498073,0.0956872007627547,1.0571357110595,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094105,1527248,12462601,12462601,0,1432485,610566,18660267531,51636305,657184428,303364446,303364446,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,1.0263560045944,0,0.109164730565379,0.200658345994819,0.112899160505383,1,1,226,1,1,1,30,30,7,9,52,8,0,0,0,0,0,0,0,1008,1008,240,240,115,115,4020,0.12864,0.12864,1,4.44089209850063e-16,0,0,0.138641704039609,0.13650072424966,1.03412046693117,0,0,1.47455999999999,0.12864,0.152685714285713
closure-response-blackout-emergency,closure,response-blackout,16094105,1527248,12462601,12462601,0,1432485,610566,18412871039,50802156,656286805,303364446,303364446,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,1.03081370447664,0,0.109324101777551,0.200434798474875,0.11338950749243,1,1,226,1,1,1,80,80,20,20,137,23,0,0,0,0,0,0,0,1005,1005,243,243,188,188,7478,0.239296,0.239296,1,8.88178419700125e-16,0,0,0.138209367876791,0.136013191940991,1.03355972724901,0,0,1.47455999999999,0.239296,0.16322438095238
closure-response-blackout-no-emergency,closure,response-blackout,16094105,1527248,12462601,12462601,0,1432485,610566,18412871039,50802156,484211673,303364446,303364446,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.43667540105304,0,0.300525989857082,0.537083534427051,0.488034294115834,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,868,868,220,220,188,188,7478,0.239296,0.239296,1,8.88178419700125e-16,0,0,0.257923406128412,0.266968865255606,0.664121545933979,0,0,1.22879999999999,0.239296,0.139818666666666
closure-prepare-blackout-emergency,closure,prepare-blackout,16094105,1527248,12462601,12462601,0,1432485,610566,18632460553,49666497,657060488,303364446,303364446,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.01928565572589,0,0.113510512180504,0.199976122984464,0.112121422129848,1,1,226,1,1,1,60,60,0,20,104,16,0,0,0,0,0,0,0,1002,1002,246,246,21,21,696,0.022272,0.022272,1,4.44089209850063e-16,0,0,0.135544487933666,0.144241546470323,1.0647068123054,0,0,1.47455999999999,0.022272,0.142555428571428
closure-commit-blackout-emergency,closure,commit-blackout,16094105,1527248,12462601,12462601,0,1432485,610566,18595190019,50961586,656383123,303364446,303364446,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,1.03599540841284,0,0.10932360060734,0.200714991924597,0.113959494925412,1,1,226,1,1,1,67,67,7,20,115,19,0,0,0,0,0,0,0,1006,1006,242,242,118,118,4104,0.131328,0.131328,1,4.44089209850063e-16,0,0,0.138200169945839,0.136003105203896,1.03251870816087,0,0,1.47455999999999,0.131328,0.152941714285713
periodic-iid20,periodic,none,16094106,1283823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101168782427756,0.098031070326844,1.05843081496962,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094106,1283823,12969725,12969725,0,1525428,610566,18737673558,51154071,656763139,303350446,303350446,1,1,3,1,4,1,1,48,56,1,1,1,32,1,1,4,0,0,0,6.66488146117845,0.664881461178446,1,0.984979850575332,1,0.148045958380236,0.20250489466297,0.108347783563286,1,1,226,1,1,1,31,31,6,9,47,15,0,0,0,0,0,0,0,1011,1011,237,237,120,120,4196,0.134272,0.134272,1,1.11022302462516e-16,0,0,0.141504034703912,0.140898807995732,1.0081947830791,0,0,1.47455999999999,0.134272,0.153222095238094
closure-response-blackout-emergency,closure,response-blackout,16094106,1283823,12969725,12969725,0,1525428,610566,18490277066,50401811,657295617,303350446,303350446,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,0.985562512622288,1,0.147991806793921,0.202542844907069,0.108411876388452,1,1,226,1,1,1,78,78,18,20,123,33,0,0,0,0,0,0,0,1006,1006,242,242,193,193,7656,0.244992,0.244992,1,1.11022302462516e-16,0,0,0.139901634325165,0.139112194917939,1.03233885603967,0,0,1.47455999999999,0.244992,0.163766857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094106,1283823,12969725,12969725,0,1525428,610566,18490277066,50401811,488068475,303350446,303350446,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,4.7275856673939,0,0.332541528264474,0.558759958561684,0.520034423413329,1,1,226,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,883,883,209,209,193,193,7656,0.244992,0.244992,1,1.11022302462516e-16,0,0,0.246641318077661,0.255486745821956,0.659833624831842,0,0,1.23494399999999,0.244992,0.140946285714285
closure-prepare-blackout-emergency,closure,prepare-blackout,16094106,1283823,12969725,12969725,0,1525428,610566,18713936282,49848787,657533625,303350446,303350446,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.986788750490525,1,0.112066510121581,0.202687228978628,0.108546762553958,1,1,226,1,1,1,60,60,0,20,95,25,0,0,0,0,0,0,0,1008,1008,240,240,23,23,744,0.023808,0.023808,1,1.11022302462516e-16,0,0,0.135851818415419,0.145150731900153,1.03677546203407,0,0,1.47455999999999,0.023808,0.142701714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094106,1283823,12969725,12969725,0,1525428,610566,18672606469,51635309,657537335,303350446,303350446,1,1,3,1,4,1,1,48,56,1,1,1,32,1,0,1,3,0,1,6.66488146117845,0.664881461178446,1,0.985129846098828,1,0.147737138954322,0.202503421185865,0.108364283070871,1,1,226,1,1,1,66,66,8,20,102,30,0,0,0,0,0,0,0,1005,1005,243,243,124,124,4308,0.137856,0.137856,1,1.11022302462516e-16,0,0,0.141249526213377,0.140616543669843,1.0141736055852,0,0,1.47455999999999,0.137856,0.153563428571428
