seed,calibration,macType,pAccess,method,methodLabel,dataDurationSlots,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,MEAN_EST_AOI,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,COLLISION_FRAMES,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,DATA_RECIPIENT_ATTEMPTS,CHANNEL_UTIL,OFFERED_UTIL,MAX_QUEUE,MAX_HISTORY,historySize,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT
13013003,one-slot,csma,0.2,causal-broadcast,Causal-Broadcast,1,0.0539451340557658,0.532090309210623,0,0.0761465400271369,0.108792401628222,722,602,654,196,1212,385,1597,0.106499999999997,0.114666666666667,2,32,32,0,195381151625
13013003,one-slot,aloha,0.2,periodic,Periodic-P10,1,0.0533840734377192,0.530888187587799,0,0.0739936680235187,NaN,955,566,0,376,1148,953,2101,0.0628333333333332,0.0795833333333334,1,32,32,0,195381151625
13013003,one-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,1,0.0539451340557658,0.532090309210623,0,0.0761465400271369,0.108792401628222,722,602,654,196,1212,385,1597,0.106499999999997,0.114666666666667,2,32,32,0,195381151625
13013003,one-slot,csma,0.4,periodic,Periodic-P10,1,0.0726148941572751,0.506085497571729,0,0.105020352781547,NaN,1391,400,0,986,810,2235,3045,0.0669166666666667,0.115916666666663,1,32,32,0,195381151625
13013003,one-slot,csma,0.4,causal-broadcast,Causal-Broadcast,1,0.0533601059483849,0.531072427351333,0,0.0766711895070103,0.115440976933514,953,623,645,474,1250,865,2115,0.111916666666663,0.133166666666667,1,32,32,0,195381151625
13013003,one-slot,aloha,0.4,periodic,Periodic-P10,1,0.0726148941572751,0.506085497571729,0,0.105020352781547,NaN,1391,400,0,986,810,2235,3045,0.0669166666666667,0.115916666666663,1,32,32,0,195381151625
13013003,one-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,1,0.0533601059483849,0.531072427351333,0,0.0766711895070103,0.115440976933514,953,623,645,474,1250,865,2115,0.111916666666663,0.133166666666667,1,32,32,0,195381151625
13013003,multi-slot,csma,0.1,periodic,Periodic-P10,4,0.0600046153331442,0.521897610595538,0,0.085255540479421,NaN,766,593,0,167,1190,491,1681,0.226666666666649,0.255333333333334,1,32,32,0,195381151625
13013003,multi-slot,csma,0.1,causal-broadcast,Causal-Broadcast,4,0.0566428421182686,0.527028766310177,0,0.0813206693803707,0.122143826322931,686,624,573,96,1264,251,1515,0.281249999999975,0.29075,2,32,32,0,195381151625
13013003,multi-slot,aloha,0.1,periodic,Periodic-P10,4,0.11220439641958,0.453283628033833,0,0.183175033921302,NaN,1546,320,0,1223,643,2755,3398,0.329916666666635,0.515333333333314,1,32,32,0,195381151625
13013003,multi-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,4,0.0720322427251512,0.505353307141804,0,0.105255540479421,0.189380370872908,1809,507,353,1403,1012,2962,3974,0.462583333333342,0.640666666666637,2,32,32,0,195381151625
13013003,multi-slot,csma,0.2,periodic,Periodic-P10,4,0.0595405092748307,0.525358197932725,0,0.0861148801447308,NaN,987,568,0,413,1144,1032,2176,0.254333333333312,0.329,1,32,32,0,195381151625
13013003,multi-slot,csma,0.2,causal-broadcast,Causal-Broadcast,4,0.0536554769395291,0.532558821033412,0,0.0781004070556308,0.114473089099955,731,612,635,185,1236,372,1608,0.290499999999976,0.310916666666667,2,32,32,0,195381151625
13013003,multi-slot,aloha,0.2,periodic,Periodic-P10,4,0.422853543662666,0.163591132043566,1,0.714518317503393,NaN,1768,110,0,1658,216,3675,3891,0.278166666666642,0.589333333333305,1,32,32,0,195381151625
13013003,multi-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,4,0.0929254924424611,0.474179879093031,0,0.127037539574853,0.253387607417458,2263,445,373,1947,900,4117,5017,0.513166666666692,0.793499999999954,2,32,32,0,195381151625
13013003,multi-slot,csma,0.4,periodic,Periodic-P10,4,0.0818805797142707,0.495844172360282,0,0.119131614654003,NaN,1402,417,0,984,819,2267,3086,0.268999999999976,0.467333333333319,1,32,32,0,195381151625
13013003,multi-slot,csma,0.4,causal-broadcast,Causal-Broadcast,4,0.0546774510087614,0.530897476565536,0,0.0782270465852554,0.118417005879692,1000,622,619,521,1242,971,2213,0.329666666666638,0.40025,2,32,32,0,195381151625
13013003,multi-slot,aloha,0.4,periodic,Periodic-P10,4,0.766233546451761,0.370422714820709,1,1.48706467661691,NaN,1799,37,0,1761,75,3882,3957,0.196749999999986,0.599666666666638,1,32,32,0,195381151625
13013003,multi-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,4,0.11008726091603,0.434001969205717,0,0.212935323383084,0.390673903211217,2729,333,314,2546,669,5415,6084,0.534416666666703,0.939749999999937,2,32,32,0,195381151625
13013004,one-slot,csma,0.1,periodic,Periodic-P10,1,0.0544189293735403,0.531197074043616,0,0.0763907734056987,NaN,741,591,0,142,1183,449,1632,0.0556666666666662,0.06175,1,32,32,0,195115925922
13013004,one-slot,csma,0.1,causal-broadcast,Causal-Broadcast,1,0.0552277189518152,0.530032098092104,0,0.0797195838986883,0.116399819086386,701,625,642,135,1241,309,1550,0.106166666666663,0.111916666666667,2,32,32,0,195115925922
13013004,one-slot,aloha,0.1,periodic,Periodic-P10,1,0.0544189293735403,0.531197074043616,0,0.0763907734056987,NaN,741,591,0,142,1183,449,1632,0.0556666666666662,0.06175,1,32,32,0,195115925922
13013004,one-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,1,0.0552277189518152,0.530032098092104,0,0.0797195838986883,0.116399819086386,701,625,642,135,1241,309,1550,0.106166666666663,0.111916666666667,2,32,32,0,195115925922
13013004,one-slot,csma,0.2,periodic,Periodic-P10,1,0.0559056921542792,0.527739839712203,0,0.0778380823156941,NaN,938,567,0,367,1115,945,2060,0.0615833333333332,0.0781666666666667,1,32,32,0,195115925922
13013004,one-slot,csma,0.2,causal-broadcast,Causal-Broadcast,1,0.0524505763828918,0.533232158482211,0,0.0739755766621437,0.118154681139756,747,611,664,246,1235,414,1649,0.10708333333333,0.117583333333333,2,32,32,0,195115925922
13013004,one-slot,aloha,0.2,periodic,Periodic-P10,1,0.0559056921542792,0.527739839712203,0,0.0778380823156941,NaN,938,567,0,367,1115,945,2060,0.0615833333333332,0.0781666666666667,1,32,32,0,195115925922
13013004,one-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,1,0.0524505763828918,0.533232158482211,0,0.0739755766621437,0.118154681139756,747,611,664,246,1235,414,1649,0.10708333333333,0.117583333333333,2,32,32,0,195115925922
13013004,one-slot,csma,0.4,periodic,Periodic-P10,1,0.086326341080181,0.48982503572319,0,0.139303482587065,NaN,1439,393,0,1042,790,2380,3170,0.0680833333333334,0.119916666666663,1,32,32,0,195115925922
13013004,one-slot,csma,0.4,causal-broadcast,Causal-Broadcast,1,0.0529574876163531,0.532772464326519,0,0.0755676164631387,0.122406151062867,894,622,641,428,1253,736,1989,0.109083333333331,0.127916666666667,1,32,32,0,195115925922
13013004,one-slot,aloha,0.4,periodic,Periodic-P10,1,0.086326341080181,0.48982503572319,0,0.139303482587065,NaN,1439,393,0,1042,790,2380,3170,0.0680833333333334,0.119916666666663,1,32,32,0,195115925922
13013004,one-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,1,0.0529574876163531,0.532772464326519,0,0.0755676164631387,0.122406151062867,894,622,641,428,1253,736,1989,0.109083333333331,0.127916666666667,1,32,32,0,195115925922
13013004,multi-slot,csma,0.1,periodic,Periodic-P10,4,0.0591379303700901,0.526611604186878,0,0.085391225689733,NaN,748,590,0,150,1184,463,1647,0.223333333333315,0.249333333333334,1,32,32,0,195115925922
13013004,multi-slot,csma,0.1,causal-broadcast,Causal-Broadcast,4,0.0554780059378273,0.530091829265246,0,0.0818000904568067,0.12225237449118,696,630,568,112,1256,281,1537,0.281333333333309,0.292166666666667,2,32,32,0,195115925922
13013004,multi-slot,aloha,0.1,periodic,Periodic-P10,4,0.128029241868507,0.443219986702795,0,0.190366350067843,NaN,1542,322,0,1216,642,2760,3402,0.334416666666636,0.51399999999998,1,32,32,0,195115925922
13013004,multi-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,4,0.0649180743565318,0.514118359360547,0,0.0988692899140659,0.172229760289462,1760,538,371,1323,1095,2795,3890,0.460000000000008,0.626499999999972,2,32,32,0,195115925922
13013004,multi-slot,csma,0.2,periodic,Periodic-P10,4,0.0590483418257411,0.52567518769044,0,0.0875169606512889,NaN,921,570,0,346,1145,883,2028,0.244999999999979,0.307,1,32,32,0,195115925922
13013004,multi-slot,csma,0.2,causal-broadcast,Causal-Broadcast,4,0.0556801809440738,0.529106608286059,0,0.0796110357304386,0.11355947535052,767,608,635,248,1223,477,1700,0.293999999999975,0.321916666666667,2,32,32,0,195115925922
13013004,multi-slot,aloha,0.2,periodic,Periodic-P10,4,0.300030144597587,0.262267169751993,1,0.426458616010855,NaN,1768,136,0,1631,276,3615,3891,0.277333333333309,0.589333333333305,1,32,32,0,195115925922
13013004,multi-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,4,0.0768473133140421,0.47134173702724,0,0.151858887381275,0.258706467661691,2383,445,366,2081,902,4409,5311,0.532083333333365,0.832833333333283,2,32,32,0,195115925922
13013004,multi-slot,csma,0.4,periodic,Periodic-P10,4,0.083872055862421,0.486202130292084,0,0.136273179556762,NaN,1408,392,0,1012,795,2302,3097,0.26933333333331,0.469333333333319,1,32,32,0,195115925922
13013004,multi-slot,csma,0.4,causal-broadcast,Causal-Broadcast,4,0.0548998337735333,0.531459000394124,0,0.0765988240615104,0.115902306648575,861,615,634,355,1240,660,1900,0.311083333333308,0.355666666666667,2,32,32,0,195115925922
13013004,multi-slot,aloha,0.4,periodic,Periodic-P10,4,0.645569427119381,0.390576270431991,1,1.23889642695613,NaN,1798,41,0,1757,88,3868,3956,0.197333333333319,0.599333333333304,1,32,32,0,195115925922
13013004,multi-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,4,0.127485342639423,0.42176673062249,0,0.180027137042062,0.401619176843057,2810,337,293,2629,686,5525,6211,0.543166666666705,0.965666666666601,2,32,32,0,195115925922
