seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
8,10,0.2,0,0.049622197054266,0.0701328932054632,0.26771484333165,0.530256952294959,0.790277777777778,0.0757054193157736,0.790277777777778,120,0,0
9,10,0.2,0,0.0504478617236517,0.073263499772846,0.263576195971345,0.532337690785185,0.805,0.0755237662730851,0.805,120,0,0
10,10,0.2,0,0.0486065440947333,0.0666413704457489,0.269162191988038,0.539428521166209,0.802222222222222,0.0745473811686346,0.802222222222222,120,0,0
11,10,0.2,0,0.0480447361581259,0.0658349924061443,0.262614393883838,0.53692886904822,0.81,0.0733136542537088,0.81,120,0,0
12,10,0.2,0,0.0492151740302638,0.0739640911857806,0.264010491744549,0.540798815388073,0.798055555555556,0.0761671207992735,0.798055555555556,120,0,0
13,10,0.2,0,0.0477662695407407,0.0676255737606267,0.253174026656799,0.5327907045337,0.810555555555556,0.0721404783530124,0.810555555555556,120,0,0
14,10,0.2,0,0.0497434465299932,0.0757301921071732,0.261520477356294,0.536590119374191,0.800555555555556,0.0751377535573722,0.800555555555556,120,0,0
15,10,0.2,0,0.0487475461028753,0.0698067112916754,0.262364777546816,0.537468788239161,0.800833333333333,0.074925825007569,0.800833333333333,120,0,0
16,10,0.2,0,0.0499539190116449,0.0707938082016641,0.262895053962799,0.535154829900158,0.798611111111111,0.0761973963063882,0.798611111111111,120,0,0
17,10,0.2,0,0.0491287431791075,0.0714089019485745,0.26540031586754,0.531673323419226,0.795277777777778,0.075887072358462,0.795277777777778,120,0,0
18,10,0.2,0,0.0492950651318604,0.0683872599244455,0.26501073327398,0.537445443442492,0.801666666666667,0.0741386618225856,0.801666666666667,120,0,0
19,10,0.2,0,0.0500810183044978,0.069777732955604,0.269958764499969,0.534409167715856,0.793611111111111,0.0764623069936421,0.793611111111111,120,0,0
20,10,0.2,0,0.0483838342558548,0.0701031364476373,0.270686223941023,0.530342372686789,0.805277777777778,0.0730487435664548,0.805277777777778,120,0,0
1,20,0.2,0,0.0267634535075609,0.0376022959310709,0.265732623049529,0.564543759855032,0.799305555555555,0.0379185588858613,0.799305555555556,240,0,0
2,20,0.2,0,0.0272904266417299,0.0382376459235304,0.266222155490641,0.564401134819451,0.795555555555556,0.0387359975779595,0.795555555555556,240,0,0
