seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16045002,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113175113276,113175113276,1756965,4137522,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,10295,0,0,16,16,0,0,0,0,1,0.537216293166335,0.374816425232144,1,0,0
16045002,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113175113276,113175113276,2412835,4137522,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,9792,503,0,16,16,0,0,0,0,1,0.537216293166335,0.374816425232144,1,0,0
16045002,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113175113276,113175113276,2081331,4126041,504268854,NaN,NaN,NaN,NaN,NaN,3,3,1,1,12,0.98825,0,0,0,0,NaN,NaN,NaN,0,1981,1786,5616,3767,33903,32195,1708,0,3953,7,10291,10291,0,0,16,16,0,0,0,0,1,0.536770328172008,0.374370460237817,1,0,0
16045002,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113175113276,113175113276,1746049,732976,382875129,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,596,2798,2798,0,0,1307,1153,0,154,0,116,1,0.164149422911936,0.147580108122706,1,0,0
16045002,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113175113276,74537001670,1854906,4496521,501607650,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,76,9497,9497,0,0,154,154,0,0,0,0,1,0.516770513426416,0.395124984973809,1,0,0
16045002,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113175113276,113175113276,1757384,4137483,504265273,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,7,10291,10291,0,0,16,16,0,0,0,0,1,0.537044768168517,0.374850730231708,1,0,0
16045002,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113175113276,113175113276,1757387,4135071,504082988,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.94075,0,0,0,0,222,221,NaN,5,2015,1902,5876,3917,35253,35253,0,0,3763,37,9825,9825,0,0,87,81,0,6,0,4,1,0.525449678316013,0.376840420206398,1,0,0
16045003,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30419919710,30419919710,1062147,556703,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,5,4777,4777,0,0,11,9,0,2,0,2,1,0.486610822728919,0.486423159472949,1,0,0
16045003,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30419919710,30419919710,1718017,556703,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,5,4777,4551,226,0,11,9,0,2,0,2,1,0.486610822728919,0.486423159472949,1,0,0
16045003,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30419919710,30419919710,1386513,554475,177373229,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,789,1901,1785,7140,6778,362,0,1990,5,4777,4777,0,0,11,9,0,2,0,2,1,0.48604783296101,0.485860169705041,1,0,0
