arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-prepare-blackout-emergency,closure,prepare-blackout,16094210,515287,13929122,13929122,0,1784021,610566,18700605399,49439161,656455830,303398046,303398046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.990814587550167,1,0.990814587550167,1,9718,0.729218950875857,1,0.16573879653231,1,1,0.112782124738561,0.208071063385535,0.108587217987244,1,1,226,1,1,1,59,59,0,20,85,33,0,0,0,0,0,0,0,977,977,271,271,19,19,648,0.020736,0.020736,1,4.44089209850063e-16,0,0,0.140494171712858,0.149304860927828,1.04739209789321,0,0,1.47455999999999,0.020736,0.142409142857142
closure-commit-blackout-emergency,closure,commit-blackout,16094210,515287,13929122,13929122,0,1784021,610566,18658806134,49957418,656526456,303398046,303398046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,0.990269617252341,1,0.990269617252341,1,9718,0.729239220920919,1,0.165981101124766,1,1,0.113192632833725,0.207956619622992,0.108372148879825,1,1,226,1,1,1,77,77,18,20,112,42,0,0,0,0,0,0,0,974,974,274,274,24,24,768,0.024576,0.024576,1,4.44089209850063e-16,0,0,0.140915642955713,0.150073097571894,1.0453877262101,0,0,1.47455999999999,0.024576,0.142774857142856
periodic-iid20,periodic,none,16094211,987559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0998304664166964,0.0964952828724251,1.06253172731023,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094211,987559,12848523,12848523,0,1592210,610566,18750420858,51497253,656894999,303356046,303356046,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,0.894213130074773,1,0.894213130074773,1,9312,0.693920868603689,1,0.188162669589929,1,1,0.127579212281714,0.187784757315702,0.0942021429654164,1,1,226,1,1,1,25,25,6,7,43,7,0,0,0,0,0,0,0,1007,1007,241,241,109,109,3698,0.118336,0.118336,1,4.44089209850063e-16,0,0,0.132366990207886,0.131061489332187,1.05666275973226,0,0,1.47455999999999,0.118336,0.15170438095238
closure-response-blackout-emergency,closure,response-blackout,16094211,987559,12848523,12848523,0,1592210,610566,18503024366,50912292,657421975,303356046,303356046,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,0.88962813534646,1,0.88962813534646,1,9312,0.696993053121587,1,0.188162669589929,1,1,0.128180909368399,0.186821908422757,0.0936648895941877,1,1,226,1,1,1,80,80,20,20,124,36,0,0,0,0,0,0,0,1003,1003,245,245,188,188,7508,0.240256,0.240256,1,8.88178419700125e-16,0,0,0.132198065433351,0.130870737726453,1.05171737330924,0,0,1.47455999999999,0.240256,0.163315809523809
closure-response-blackout-no-emergency,closure,response-blackout,16094211,987559,12848523,12848523,0,1592210,610566,18503024366,50912292,484433285,303356046,303356046,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.51402337087084,0,4.51402337087084,0,9312,3.2866560748442,0,0.0721944025516874,1,0,0.287783164711972,0.544057144557847,0.496542570795793,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,879,879,209,209,188,188,7508,0.240256,0.240256,1,8.88178419700125e-16,0,0,0.247283091251783,0.256362655893444,0.669616560148571,0,0,1.22879999999999,0.240256,0.139910095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094211,987559,12848523,12848523,0,1592210,610566,18721680869,49666497,657400698,303356046,303356046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.891571509536135,1,0.891571509536135,1,9718,0.697041239337684,1,0.172111310255953,1,1,0.0964465799843691,0.187230017002588,0.0940485814856357,1,1,226,1,1,1,60,60,0,20,89,31,0,0,0,0,0,0,0,999,999,249,249,21,21,696,0.022272,0.022272,1,4.44089209850063e-16,0,0,0.128427047609304,0.13832993669188,1.06435901091735,0,0,1.47455999999999,0.022272,0.142555428571428
closure-commit-blackout-emergency,closure,commit-blackout,16094211,987559,12848523,12848523,0,1592210,610566,18675644770,50940505,657272927,303356046,303356046,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,0.888947132724549,1,0.888947132724549,1,9312,0.697002026587107,1,0.188162669589929,1,1,0.127725346656269,0.186678897872155,0.0934753522813152,1,1,226,1,1,1,66,66,6,20,105,27,0,0,0,0,0,0,0,1007,1007,241,241,113,113,3810,0.12192,0.12192,1,4.44089209850063e-16,0,0,0.132519470481507,0.131230142412375,1.0516581013259,0,0,1.47455999999999,0.12192,0.152045714285713
periodic-iid20,periodic,none,16094212,964512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0998479977556866,0.0973472276602549,1.06744904756849,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094212,964512,15085702,15085702,0,1694107,610566,18743418046,50936292,656957123,303356046,303356046,1,1,3,1,4,1,1,48,56,1,1,1,33,1,1,4,0,0,0,6.87987763734549,0.879877637345492,1,0.951687521420169,1,0.951687521420169,1,9354,0.689007737841193,1,0.182676001685073,1,1,0.141195832239125,0.191295573508612,0.104685627356219,1,1,226,1,1,1,28,28,7,7,42,14,0,0,0,0,0,0,0,995,995,253,253,110,110,3582,0.114624,0.114624,1,4.44089209850063e-16,0,0,0.140863642436326,0.14215590594231,1.02502729925096,0,0,1.47455999999999,0.114624,0.151350857142856
