armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,meanPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,scenarioId,costModel
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0.458070957298232,2,S5,C0
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0.572435081701726,1.24818181818182,S5,C0
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,NaN,NaN,5,0,0.102600733573189,12.4172727272727,S6,C0
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,NaN,NaN,5,0,0.1026090018239,12.4172727272727,S6,C0
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0.102574314984977,12.4163636363636,S6,C0
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,NaN,NaN,5,0,0.102545352103079,12.4018181818182,S6,C0
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,NaN,NaN,5,0,0.102407783947265,12.3918181818182,S6,C0
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,NaN,NaN,5,0,0.101890604137895,12.2272727272727,S6,C0
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,NaN,NaN,5,0,0.102979700619946,11.5572727272728,S6,C0
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,NaN,NaN,5,0,0.112154216744569,7.67090909090909,S6,C0
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,NaN,NaN,5,0,0.144593256262382,4.18181818181818,S6,C0
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0.222330294997625,2.10818181818182,S6,C0
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0.353854989290926,1.14090909090909,S6,C0
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0.619520786371142,0.518181818181818,S6,C0
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,1.04363001186386,0.189090909090909,S6,C0
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,1.59352391526709,0.0381818181818182,S6,C0
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0.0845276113750081,50,S6,C0
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0.0899306469997642,25,S6,C0
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0.0963522197436653,16.6663636363637,S6,C0
