seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant,emergencyEnabled,emergencySlot,emergencyOpportunities,emergencyExpectedSuccess,emergencyExpectedErasure,emergencyExpectedCollision,claimBackoffEnabled,claimDenseRetryFrames,claimMaxBackoffFrames,claimRetryAttemptLimit,claimOpportunityCount,claimScheduleHash,claimAttempts,lockProofAttempts,responseAttempts,retryBudgetExhausted,retryEntryFailureBound,retryUnionFailureBound
16088011,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,1649317,2364930,565053,1143518334,18726102810,144593280,593702,0.0818361823904257,0.507296663277397,0,0,0.237125333333331,2.67263999999998,0.172864,870,1821,441,0,0,1,1,1,0,7,9,45,48,1,50,0,193,5402,0.172864,193,0.172864,1821,441,0,1821,441,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,8,2,0,1,6,8,10,10,27974,3,180,9,0,6.50276694672842e-05,0.000585249025205558
16088011,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1649317,2364930,565053,1143606144,18528356121,170660414,593702,0.0821248222932121,0.507284187882871,0,0,0.252607999999998,2.67263999999998,0.358656,870,1817,445,0,0,1,1,1,0,7,9,45,48,0,NaN,1,380,11208,0.358656,380,0.358656,1817,445,0,1817,445,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,67,19,0,0,NaN,1,Inf,40,30145,40,180,159,0,1.04889763931541e-14,9.44007875383873e-14
16088011,migration-backoff-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1649317,2364930,565053,1143466888,18528356121,149533824,593702,0.0821248222932121,0.507284187882871,0,0,0.240346666666665,2.67263999999998,0.21152,870,1817,445,0,0,1,1,1,0,7,9,45,48,0,NaN,1,232,6610,0.21152,232,0.21152,1817,445,0,1817,445,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,67,19,0,1,6,8,10,10,27974,10,180,41,1,6.50276694672842e-05,0.000585249025205558
16088011,migration-backoff-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,1649317,2364930,565053,1143233105,18720761066,144593280,593702,0.0818361823904257,0.507296663277397,0,0,0.237125333333331,2.67263999999998,0.172864,870,1821,441,0,0,1,1,1,0,7,9,45,48,1,50,0,193,5402,0.172864,193,0.172864,1821,441,0,1821,441,0,0,0,0,1,0,0,0,27645,27456,1,0,0,1,10,5,8,2,0,1,6,8,10,10,27974,3,180,9,0,6.50276694672842e-05,0.000585249025205558
16088012,periodic-iid20,periodic,iid20,0.2,0,258185,2364930,565053,NaN,NaN,NaN,593702,0.0860185120261422,0.497893316066482,0,0,0.255999999999998,3.07199999999997,0,1000,2080,520,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088012,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,258185,2364930,565053,1143030681,18624294123,144088786,593702,0.0874636093491632,0.494300486598452,0,0,0.237055999999998,2.67263999999998,0.172032,870,1796,466,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1796,466,0,1796,466,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,8,2,0,0,NaN,1,Inf,40,30145,3,180,8,0,1.04889763931541e-14,9.44007875383873e-14
16088012,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,258185,2364930,565053,1143669481,18624294123,144312242,593702,0.0874636093491632,0.494300486598452,0,0,0.237055999999998,2.67263999999998,0.172032,870,1796,466,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1796,466,0,1796,466,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,8,2,0,1,6,8,10,10,27974,3,180,8,0,6.50276694672842e-05,0.000585249025205558
16088012,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,258185,2364930,565053,1142950962,18416648820,172136666,593702,0.087779528511637,0.494272083111105,0,0,0.252922666666665,2.67263999999998,0.362432,870,1790,472,0,0,1,1,1,0,7,9,45,48,0,NaN,1,383,11326,0.362432,383,0.362432,1790,472,0,1790,472,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,65,21,0,0,NaN,1,Inf,40,30145,40,180,162,0,1.04889763931541e-14,9.44007875383873e-14
16088012,migration-backoff-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,258185,2364930,565053,1143320177,18416648820,150347850,593702,0.087779528511637,0.494272083111105,0,0,0.240522666666665,2.67263999999998,0.213632,870,1790,472,0,0,1,1,1,0,7,9,45,48,0,NaN,1,233,6676,0.213632,233,0.213632,1790,472,0,1790,472,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,65,21,0,1,6,8,10,10,27974,10,180,42,1,6.50276694672842e-05,0.000585249025205558
16088012,migration-backoff-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,258185,2364930,565053,1143766017,18617907003,144312242,593702,0.0874636093491632,0.494300486598452,0,0,0.237055999999998,2.67263999999998,0.172032,870,1796,466,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1796,466,0,1796,466,0,0,0,0,1,0,0,0,27645,27456,1,0,0,1,10,5,8,2,0,1,6,8,10,10,27974,3,180,8,0,6.50276694672842e-05,0.000585249025205558
