N,interferenceMode,source,linkErasureProbability,parentPlanHash,currentPlanHash,planHashExact,repetitionExact,reliabilityExact,boundExact,durationExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,reservedDurationSec,attemptExact,byteExact,airtimeExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
10,complete-interference-upper-bound,8,0.05,790950,790950,1,1,1,1,1,64297,16,1536,0.049152,0.095553856074243,1,1,1,1,0,0,0
10,complete-interference-upper-bound,8,0.2,790950,790950,1,1,1,1,1,64297,24,2304,0.073728,0.143330784111364,1,1,1,1,0,0,0
10,complete-interference-upper-bound,8,0.3,790950,790950,1,1,1,1,1,64297,32,3072,0.098304,0.191107712148486,1,1,1,1,0,0,0
10,complete-interference-upper-bound,9,0.05,800627,800627,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,9,0.2,800627,800627,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,9,0.3,800627,800627,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
10,complete-interference-upper-bound,10,0.05,798225,798225,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,10,0.2,798225,798225,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,10,0.3,798225,798225,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,1,0.05,10450484,10450484,1,1,1,1,1,64297,40,3840,0.12288,0.0477769280371215,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,1,0.2,10450484,10450484,1,1,1,1,1,64297,70,6720,0.21504,0.0836096240649626,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,1,0.3,10450484,10450484,1,1,1,1,1,64297,90,8640,0.27648,0.107498088083523,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,2,0.05,10475866,10475866,1,1,1,1,1,64297,40,3840,0.12288,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,2,0.2,10475866,10475866,1,1,1,1,1,64297,70,6720,0.21504,0.125414436097444,1,1,1,1,0,0,0
