seed,controller,method,topology,N,scenario,RMSE,MINEVAL,NDATA,MISSION,SAFEFAIL
2,normalized,P10,ring2,50,Moderate,0.193022212773295,0.403142604039905,36900,30,0
3,normalized,P10,ring2,50,Moderate,0.19331172496714,0.404713471451079,36900,30,0
1,original,Causal-v3,ring2,50,Moderate,0.175852844914002,0.421277675808667,48522,30,0
2,original,Causal-v3,ring2,50,Moderate,0.175456711751472,0.420404526355999,48543,30,0
3,original,Causal-v3,ring2,50,Moderate,0.175197891673116,0.420882315464036,48507,30,0
1,normalized,Causal-v3,ring2,50,Moderate,0.175852844914002,0.421277675808667,48522,30,0
2,normalized,Causal-v3,ring2,50,Moderate,0.175456711751472,0.420404526355999,48543,30,0
3,normalized,Causal-v3,ring2,50,Moderate,0.175197891673116,0.420882315464036,48507,30,0
1,original,P10,sparse4,50,Moderate,0.311831594044356,0.336131166360579,66300,30,0
2,original,P10,sparse4,50,Moderate,0.3129196661266,0.336554384310918,66300,30,0
3,original,P10,sparse4,50,Moderate,0.312655340456881,0.332458836167996,66300,30,0
1,normalized,P10,sparse4,50,Moderate,0.205910979506869,0.402823872038451,66300,30,0
2,normalized,P10,sparse4,50,Moderate,0.206383965612028,0.402458983641719,66300,30,0
3,normalized,P10,sparse4,50,Moderate,0.206251073137872,0.398580732926767,66300,30,0
1,original,Causal-v3,sparse4,50,Moderate,0.292959812273314,0.352378019322764,81894,30,0
2,original,Causal-v3,sparse4,50,Moderate,0.294233269323576,0.353157597812775,82208,30,0
3,original,Causal-v3,sparse4,50,Moderate,0.293868250509787,0.352956204203718,82070,30,0
1,normalized,Causal-v3,sparse4,50,Moderate,0.187666070244802,0.416835454830662,87226,30,0
2,normalized,Causal-v3,sparse4,50,Moderate,0.188016566032065,0.421440577247601,87406,30,0
3,normalized,Causal-v3,sparse4,50,Moderate,0.188121449395751,0.41793114539649,87289,30,0
1,original,P10,sparse6,50,Moderate,0.3864997639084,0.292430693477187,95700,30,0
2,original,P10,sparse6,50,Moderate,0.387740009235672,0.29322305706018,95700,30,0
3,original,P10,sparse6,50,Moderate,0.386218633918259,0.298136670077354,95700,30,0
1,normalized,P10,sparse6,50,Moderate,0.195113536984983,0.413608548628542,95700,30,0
2,normalized,P10,sparse6,50,Moderate,0.195749396224307,0.418234424377296,95700,30,0
3,normalized,P10,sparse6,50,Moderate,0.195018965580907,0.416582165451758,95700,30,0
1,original,Causal-v3,sparse6,50,Moderate,0.367476883427069,0.310574825109402,117133,30,0
2,original,Causal-v3,sparse6,50,Moderate,0.367296342318595,0.31154061293868,116946,30,0
3,original,Causal-v3,sparse6,50,Moderate,0.36754424227495,0.309519830350766,117046,30,0
1,normalized,Causal-v3,sparse6,50,Moderate,0.178044925443804,0.430300875222765,126454,30,0
2,normalized,Causal-v3,sparse6,50,Moderate,0.1775448263431,0.432324011579374,126474,30,0
3,normalized,Causal-v3,sparse6,50,Moderate,0.177777215778059,0.430881004834594,126450,30,0
1,original,P10,geometric,50,Moderate,0.252237403553334,0.372198459545237,54300,30,0
2,original,P10,geometric,50,Moderate,0.251528010974042,0.375408777850381,54300,30,0
3,original,P10,geometric,50,Moderate,0.251621461155582,0.377477376192448,54300,30,0
1,normalized,P10,geometric,50,Moderate,0.19803287926253,0.41830590681756,54300,30,0
2,normalized,P10,geometric,50,Moderate,0.197691532316908,0.417521577205668,54300,30,0
3,normalized,P10,geometric,50,Moderate,0.197640920792918,0.419889730060603,54300,30,0
1,original,Causal-v3,geometric,50,Moderate,0.233577897249921,0.396254822267741,69244,30,0
2,original,Causal-v3,geometric,50,Moderate,0.232941622524442,0.395697748806397,69157,30,0
3,original,Causal-v3,geometric,50,Moderate,0.232759563078494,0.397393621525017,69081,30,0
1,normalized,Causal-v3,geometric,50,Moderate,0.180290029635784,0.43541049901413,71702,30,0
2,normalized,Causal-v3,geometric,50,Moderate,0.180036427513715,0.434708163394573,71760,30,0
3,normalized,Causal-v3,geometric,50,Moderate,0.179682965917849,0.434734233610232,71580,30,0
1,original,P10,ring2,10,Stressed,0.225676685763561,0.310307393186793,6900,30,0
2,original,P10,ring2,10,Stressed,0.229682621688728,0.303051530389962,6900,30,0
3,original,P10,ring2,10,Stressed,0.228843642252748,0.302718904759847,6900,30,0
1,normalized,P10,ring2,10,Stressed,0.225676685763561,0.310307393186793,6900,30,0
2,normalized,P10,ring2,10,Stressed,0.229682621688728,0.303051530389962,6900,30,0
3,normalized,P10,ring2,10,Stressed,0.228843642252748,0.302718904759847,6900,30,0
1,original,Causal-v3,ring2,10,Stressed,0.184179719327157,0.366224640878504,12182,30,0
2,original,Causal-v3,ring2,10,Stressed,0.184585220263129,0.357394508580692,12191,30,0
3,original,Causal-v3,ring2,10,Stressed,0.184436423083692,0.363324630628585,12183,30,0
