cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,DATA_ATTEMPTED,2116.75,2185,-3.12356979405034,-68.25,-204.87284055114,68.3728405511399,8,0,1
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,ACK_ATTEMPTED,311.375,314,-0.835987261146497,-2.625,-35.7747619361076,30.5247619361076,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,RMSE,0.0739977669421914,0.0739977669421914,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,MEAN_TRUE_AOI,0.104169430624654,0.104169430624654,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,OFFERED_UTIL,0.757614583333291,0.757614583333291,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,CHANNEL_UTIL,0.491270833333352,0.491270833333352,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,COLLISION_FRAMES,1835.875,1835.875,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,DATA_ATTEMPTED,2168.375,2168.375,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,ACK_ATTEMPTED,333.25,333.25,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,RMSE,0.076317844126175,0.076317844126175,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,MEAN_TRUE_AOI,0.108718905472637,0.108718905472637,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,OFFERED_UTIL,0.738177083333293,0.738177083333293,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,CHANNEL_UTIL,0.474635416666681,0.474635416666681,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,COLLISION_FRAMES,1786.125,1786.125,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,DATA_ATTEMPTED,2116.75,2116.75,0,0,0,0,8,0,1
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,ACK_ATTEMPTED,311.375,311.375,0,0,0,0,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,RMSE,0.076317844126175,0.0739977669421914,3.13533405108852,0.00232007718398365,-0.00791182397567614,0.0125519783436434,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,MEAN_TRUE_AOI,0.108718905472637,0.104169430624654,4.36737997001734,0.00454947484798225,-0.00956379920458209,0.0186627489005466,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,OFFERED_UTIL,0.738177083333293,0.757614583333291,-2.56561851205114,-0.019437499999998,-0.0706979066616961,0.0318229066617001,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,CHANNEL_UTIL,0.474635416666681,0.491270833333352,-3.3862007548459,-0.0166354166666718,-0.0381742719304128,0.00490343859706926,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,COLLISION_FRAMES,1786.125,1835.875,-2.70987948525907,-49.75,-236.917222108074,137.417222108074,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,DATA_ATTEMPTED,2116.75,2168.375,-2.38081512653485,-51.625,-217.843318844127,114.593318844127,8,0,1
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,ACK_ATTEMPTED,311.375,333.25,-6.56414103525881,-21.875,-58.1472368753082,14.3972368753082,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,RMSE,0.076317844126175,0.0739977669421914,3.13533405108852,0.00232007718398365,-0.00791182397567614,0.0125519783436434,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,MEAN_TRUE_AOI,0.108718905472637,0.104169430624654,4.36737997001734,0.00454947484798225,-0.00956379920458209,0.0186627489005466,8,0,1
