seed,jitterStd,RMSE,MAXERR,MINFULL,MINEVAL,AOI,AOIP95,AOIMAX,PDR,ARRIVALRATIO,STALEDISCARD,EFFECTIVEUPDATE,SAFETYFAIL,FORMATIONFAIL
1,0.12,0.0836006849696965,0.112526087443538,0.260464405062156,0.488244173148264,0.133902512867091,0.173333333333334,0.224999999999999,1,0.994444444444444,0.241899441340782,0.753888888888889,0,0
2,0.12,0.0847179271763717,0.111541864191466,0.256845818347802,0.497772382693729,0.135923402967,0.176666666666668,0.203333333333338,1,0.995833333333333,0.237935843793584,0.758888888888889,0,0
3,0.12,0.0860685765537512,0.117353492072503,0.253631073099018,0.487127559242813,0.136301846805934,0.173333333333335,0.2,1,0.995833333333333,0.237377963737796,0.759444444444444,0,0
4,0.12,0.0836801639377911,0.112915287136713,0.246902977012369,0.493792133308117,0.132941265516197,0.174999999999999,0.215000000000002,1,0.995833333333333,0.239888423988842,0.756944444444444,0,0
5,0.12,0.0847003329928307,0.114668830515543,0.267091525020373,0.493989226523583,0.136044504995459,0.174999999999999,0.203333333333334,1,0.995833333333333,0.236541143654114,0.760277777777778,0,0
6,0.12,0.0843261297323863,0.112469900466698,0.252771285136208,0.48861535252757,0.135128670905238,0.172416666666666,0.206666666666666,1,0.996111111111111,0.229224762967094,0.767777777777778,0,0
7,0.12,0.083597255997235,0.113281532711831,0.258026743241649,0.489874958378381,0.133206176203451,0.168333333333334,0.206666666666667,1,0.995555555555556,0.243303571428571,0.753333333333333,0,0
8,0.12,0.0833195146818436,0.113839808341338,0.253110280209982,0.489877914512059,0.132683923705722,0.17,0.201666666666665,1,0.994444444444444,0.243296089385475,0.7525,0,0
9,0.12,0.0825688865902291,0.113542712240416,0.251667907480296,0.500672395581275,0.133758704208296,0.173333333333333,0.213333333333335,1,0.995833333333333,0.235146443514644,0.761666666666667,0,0
10,0.12,0.0838451082420728,0.111785763074213,0.23888697644269,0.492150927827192,0.135310323947926,0.175,0.233333333333333,1,0.995833333333333,0.241562064156206,0.755277777777778,0,0
11,0.12,0.0844584191531414,0.114526587461738,0.245830322432462,0.494878945634405,0.135855283075992,0.173333333333333,0.22,1,0.995,0.256002233389168,0.740277777777778,0,0
12,0.12,0.0844244302965107,0.11529051415293,0.240000885456396,0.487119032306013,0.134682107175295,0.173333333333333,0.209999999999999,1,0.995555555555556,0.245256696428571,0.751388888888889,0,0
13,0.12,0.0845779775352938,0.11899455765363,0.255950652221907,0.493609486458921,0.135537390251287,0.174999999999999,0.224999999999999,1,0.993611111111111,0.233994967850154,0.761111111111111,0,0
14,0.12,0.0850299033631439,0.114541014546013,0.266072729738317,0.485512374849964,0.135983953981229,0.174083333333335,0.198333333333333,1,0.995277777777778,0.237789561819704,0.758611111111111,0,0
15,0.12,0.0849978159880923,0.111177901080393,0.242723520249611,0.494889719887379,0.137194974265819,0.173333333333333,0.203333333333333,1,0.996111111111111,0.234244283324038,0.762777777777778,0,0
16,0.12,0.0869790429856387,0.116778467503198,0.262923704670853,0.487409064821577,0.137633969118983,0.178333333333333,0.203333333333334,1,0.995833333333333,0.241283124128312,0.755555555555556,0,0
17,0.12,0.0842020193332041,0.115293406763989,0.264192714133567,0.496804967168623,0.136294277929155,0.175,0.223333333333334,1,0.995555555555556,0.243303571428571,0.753333333333333,0,0
18,0.12,0.0835189667374495,0.118971127180772,0.263729225342016,0.496291202920213,0.13356191341205,0.175750000000001,0.203333333333333,1,0.994722222222222,0.235129851996649,0.760833333333333,0,0
19,0.12,0.0855901325885364,0.115584618082999,0.251442854341028,0.489661334266907,0.136551619739631,0.175,0.206666666666665,1,0.994444444444444,0.235474860335196,0.760277777777778,0,0
20,0.12,0.082458702948771,0.111943153285687,0.25367325046849,0.497957883915229,0.133690584317287,0.173333333333333,0.196666666666665,1,0.995833333333333,0.235425383542538,0.761388888888889,0,0
