caseId,caseKind,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,slotChanged,actualSubsetUnion,reacquired,firstReacquiredFrame,finalSuppressed,dataTransitionExact,fixedProofAfterReacquisition,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,revokeMapped,claimMapped,proofMapped,responseMapped,kernelRevokeAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,maxControlPacketBytes,kernelCollisionFrames,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeDataAttempts,physicalDataAttempts,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
response-blackout,response-blackout,affine-clock,16085047,5,1,55956,3139327705,16770228,579590177,978801168,109889281,1,1,1,0,NaN,1,1,0,135,135,3686,3686,0.117952,0.117952,540,540,403,403,137,137,1,49,40,45,1,49,40,45,28,0,0,1,0,0.00241093442881812,0.000375780568400125,247,247,135,0.0844617400696028,5.16770440417617,0.718085106382979,0.727883096366509,0,0
incomplete-union,incomplete-union,zero-clock,16085047,5,0,55956,3260502512,14243879,407592374,705239042,113441113,1,1,0,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,52,104,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
incomplete-union,incomplete-union,affine-clock,16085047,5,1,55956,3260502512,14243879,407592374,701971760,113441113,1,1,0,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,52,104,1,0,0.00241093442881812,0.000375780568400125,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
zero-loss-valid,valid,zero-clock,16085047,10,0,511308,1174228485,51409492,1012471715,1720526617,715603723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,396,396,396,396,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.38777878078145e-17,0.00290011600463913,0,596,596,44,0.168923480139206,10.2354088083523,0.234042553191489,0.241706161137441,0,0
zero-loss-valid,valid,affine-clock,16085047,10,1,511308,1174228485,51409492,1012471715,1726142438,715603723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,396,396,396,396,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.38777878078145e-17,0.00224123094545448,0.000792398079875412,596,596,44,0.168923480139206,10.2354088083523,0.234042553191489,0.241706161137441,0,0
iid20-valid,valid,zero-clock,16085047,10,0,511308,12855604331,51514778,1004853504,1733676485,713775193,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,405,405,311,311,94,94,1,2,40,2,1,2,40,2,28,0,0,1,1.38777878078145e-17,0.00290011600463913,0,595,595,45,0.168923480139206,10.2354088083523,0.23936170212766,0.247235387045814,0,0
iid20-valid,valid,affine-clock,16085047,10,1,511308,12855604331,51514778,1004853504,1747093245,713775193,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,405,405,311,311,94,94,1,2,40,2,1,2,40,2,28,0,0,1,1.38777878078145e-17,0.00224123094545448,0.000792398079875412,595,595,45,0.168923480139206,10.2354088083523,0.23936170212766,0.247235387045814,0,0
iid40-valid,valid,zero-clock,16085047,10,0,511308,12855604331,52026867,1006507988,1737581161,709001207,1,1,1,1,16,0,1,1,49,49,1362,1362,0.043584,0.043584,441,441,252,252,189,189,1,5,40,3,1,5,40,3,28,0,0,1,1.38777878078145e-17,0.00290011600463913,0,592,592,49,0.168923480139206,10.2354088083523,0.26063829787234,0.268957345971564,0,0
iid40-valid,valid,affine-clock,16085047,10,1,511308,12855604331,52026867,1006507988,1756755876,709001207,1,1,1,1,16,0,1,1,49,49,1362,1362,0.043584,0.043584,441,441,252,252,189,189,1,5,40,3,1,5,40,3,28,0,0,1,1.38777878078145e-17,0.00224123094545448,0.000792398079875412,592,592,49,0.168923480139206,10.2354088083523,0.26063829787234,0.268957345971564,0,0
revoke-blackout,revoke-blackout,zero-clock,16085047,10,0,511308,12850331200,51514778,1005340686,1734296877,713775193,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,405,405,305,305,100,100,1,2,40,2,1,2,40,2,28,0,0,1,1.38777878078145e-17,0.00290011600463913,0,595,595,45,0.168923480139206,10.2354088083523,0.23936170212766,0.247235387045814,0,0
revoke-blackout,revoke-blackout,affine-clock,16085047,10,1,511308,12850331200,51514778,1005340686,1747713637,713775193,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,405,405,305,305,100,100,1,2,40,2,1,2,40,2,28,0,0,1,1.38777878078145e-17,0.00224123094545448,0.000792398079875412,595,595,45,0.168923480139206,10.2354088083523,0.23936170212766,0.247235387045814,0,0
response-blackout,response-blackout,zero-clock,16085047,10,0,511308,12621167194,56204274,1175345952,1904090893,668078294,1,1,1,0,NaN,1,1,0,133,133,3634,3634,0.116288,0.116288,1197,1197,910,910,287,287,1,49,40,43,1,49,40,43,28,0,0,1,8.88178419700125e-16,0.00290011600463913,0,547,547,133,0.168923480139206,10.2354088083523,0.707446808510638,0.717614533965245,0,0
response-blackout,response-blackout,affine-clock,16085047,10,1,511308,12621167194,56204274,1175345952,1924969483,668078294,1,1,1,0,NaN,1,1,0,133,133,3634,3634,0.116288,0.116288,1197,1197,910,910,287,287,1,49,40,43,1,49,40,43,28,0,0,1,8.88178419700125e-16,0.00238398761529623,0.000792398079875412,547,547,133,0.168923480139206,10.2354088083523,0.707446808510638,0.717614533965245,0,0
